,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.719855003700517,15.20552684795571,0.0438311085155938,4,3.0,7,3,4,s_q_exc_2_5,"[[2], [5]]",1.570796326794886
2,2,-7.757371535421087,0.0375165317205699,0.006314576795023896,2,6.0,14,3,4,s_q_exc_3_11,"[[3], [11]]",0.23339211371711505
3,3,-7.763033778736958,0.005662243315870619,0.0006523334791532776,11,9.0,21,6,7,s_q_exc_5_11,"[[5], [11]]",0.14238256643778902
4,4,-7.763201672560269,0.00016789382331161562,0.00048443965584166193,12,22.0,54,12,16,"d_q_exc_[0, 11]_[5, 10]","[[0, 11], [5, 10]]",0.0819221710942639
5,5,-7.7632986302579265,9.695769765727391e-05,0.000387481958184388,105,25.0,61,15,19,s_q_exc_1_11,"[[1], [11]]",-0.006759510116012611
6,6,-7.76338163592273,8.300566480379246e-05,0.00030447629338059556,68,38.0,94,22,29,"d_q_exc_[0, 11]_[4, 5]","[[0, 11], [4, 5]]",0.04665652509928879
7,7,-7.763431693915953,5.0057993222552e-05,0.00025441830015804356,32,51.0,127,26,30,"d_q_exc_[5, 10]_[6, 7]","[[5, 10], [6, 7]]",0.5156484655100139
8,8,-7.763477350704319,4.565678836598863e-05,0.00020876151179205493,34,64.0,160,33,39,"d_q_exc_[0, 11]_[2, 5]","[[0, 11], [2, 5]]",0.036023051032070014
9,9,-7.763527573712508,5.0223008188687857e-05,0.00015853850360336708,48,77.0,193,41,47,"d_q_exc_[5, 10]_[8, 9]","[[5, 10], [8, 9]]",0.5505224190234524
10,10,-7.763548428233947,2.085452143951727e-05,0.0001376839821638498,30,90.0,226,45,53,"d_q_exc_[0, 1]_[2, 5]","[[0, 1], [2, 5]]",-0.014447587109189973
11,11,-7.7635685973979465,2.0169163999383954e-05,0.00011751481816446585,51,103.0,259,55,55,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.002613241065553438
12,12,-7.7635886421897755,2.0044791829043618e-05,9.747002633542223e-05,53,116.0,292,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0025011645140924073
13,13,-7.763606285202918,1.7643013142887298e-05,7.982701319253493e-05,54,129.0,325,77,77,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.002818057886822894
14,14,-7.763628459336744,2.217413382599176e-05,5.7652879366543175e-05,98,142.0,358,77,77,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.48052079733255976
15,15,-7.763647874142781,1.9414806036621712e-05,3.823807332992146e-05,68,155.0,391,77,77,"d_q_exc_[3, 10]_[8, 9]","[[3, 10], [8, 9]]",-0.16526004092886576
16,16,-7.763666383884351,1.8509741569694427e-05,1.9728331760227036e-05,101,168.0,424,77,77,"d_q_exc_[3, 10]_[4, 5]","[[3, 10], [4, 5]]",-1.2340522254438542
17,17,-7.76367268853204,6.3046476892481e-06,1.3423684070978936e-05,89,181.0,457,88,88,"d_q_exc_[0, 5]_[3, 4]","[[0, 5], [3, 4]]",-0.005668006372888128
18,18,-7.7636790882667555,6.3997347155009265e-06,7.02394935547801e-06,120,194.0,490,88,88,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.6557956037265629
19,19,-7.763682724890561,3.636623805647332e-06,3.3873255498306776e-06,120,207.0,523,88,88,"d_q_exc_[1, 11]_[3, 5]","[[1, 11], [3, 5]]",-0.5646394109681345
20,20,-7.763684214411527,1.4895209661247577e-06,1.8978045837059199e-06,120,220.0,556,99,99,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0010876897991331078
21,21,-7.763684813099271,5.986877438246552e-07,1.2991168398812647e-06,127,233.0,589,99,99,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.2736023793492733
22,22,-7.76368534041387,5.273145990969397e-07,7.71802240784325e-07,126,246.0,622,110,110,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.00045881932466454087
23,23,-7.763685536235697,1.9582182719801722e-07,5.759804135863078e-07,187,259.0,655,110,110,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.05087020694251635
24,24,-7.763685995933545,4.5969784778776557e-07,1.1628256579854224e-07,174,272.0,688,110,110,"d_q_exc_[3, 4]_[8, 9]","[[3, 4], [8, 9]]",-0.1662229001336984
25,25,-7.763686057016164,6.108261896287104e-08,5.51999468356712e-08,76,285.0,721,110,110,"d_q_exc_[2, 11]_[3, 10]","[[2, 11], [3, 10]]",0.01202805763165704
26,26,-7.7636860811317865,2.4115622387910207e-08,3.108432444776099e-08,184,298.0,754,110,110,"d_q_exc_[1, 5]_[3, 11]","[[1, 5], [3, 11]]",-0.005243205862353226
27,27,-7.763686098518663,1.7386876827174547e-08,1.3697447620586445e-08,163,311.0,787,110,110,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",0.008157111146077421
28,28,-7.763686112215133,1.3696469736146355e-08,9.778844400898379e-13,186,324.0,820,110,113,"d_q_exc_[2, 5]_[8, 9]","[[2, 5], [8, 9]]",-0.03995352556759224
29,29,-7.763686112215289,1.5631940186722204e-13,8.215650382226158e-13,69,337.0,853,110,119,"d_q_exc_[1, 11]_[3, 5]","[[1, 11], [3, 5]]",-5.480976263969621e-05
