,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.719855003700532,15.205527546405571,0,0.043831108515692385,3,3.0,7,3,4,s_q_exc_3_4,"[[3], [4]]",1.5707963322533094
1,2,-7.757371535421101,0.03751653172056901,0,0.006314576795123372,1,6.0,14,3,4,s_q_exc_2_10,"[[2], [10]]",0.27263578662640764
2,3,-7.763033778736973,0.005662243315871507,1,0.0006523334792518654,53,9.0,21,6,8,s_q_exc_2_4,"[[2], [4]]",-0.5376096280376239
3,4,-7.763204264335498,0.00017048559852561596,0,0.0004818478807262494,11,12.0,28,6,8,s_q_exc_1_11,"[[1], [11]]",-0.009724436032705572
4,5,-7.763301051531164,9.678719566519334e-05,1,0.00038506068506105606,20,15.0,35,9,9,s_q_exc_0_4,"[[0], [4]]",0.08806090083100182
5,6,-7.763385687587243,8.463605607911262e-05,2,0.00030042462898194344,32,28.0,68,14,15,"d_q_exc_[0, 5]_[1, 10]","[[0, 5], [1, 10]]",-0.8205174517118807
6,7,-7.7634359789545115,5.0291367268862075e-05,3,0.00025013326171308137,44,41.0,101,20,20,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.8270550167754782
7,8,-7.763485538231726,4.9559277214505926e-05,5,0.00020057398449857544,44,54.0,134,20,20,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",-0.807343014375497
8,9,-7.763534927099752,4.938886802552389e-05,2,0.00015118511647305155,56,67.0,167,25,26,"d_q_exc_[0, 3]_[1, 10]","[[0, 3], [1, 10]]",-0.6635412517834228
9,10,-7.763562370738997,2.7443639245561258e-05,0,0.0001237414772274903,78,80.0,200,36,37,"d_q_exc_[0, 11]_[3, 4]","[[0, 11], [3, 4]]",2.249937984202419
10,11,-7.763582717419713,2.0346680716265553e-05,1,0.00010339479651122474,100,93.0,233,47,48,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.002497705179839123
11,12,-7.763602937922453,2.0220502739753954e-05,0,8.317429377147079e-05,61,106.0,266,58,59,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.002521556864864324
12,13,-7.763620418044942,1.748012248903308e-05,1,6.569417128243771e-05,137,119.0,299,58,59,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0025006207677664284
13,14,-7.763637682872511,1.7264827568475027e-05,0,4.842934371396268e-05,77,132.0,332,58,59,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.002078076546785306
14,15,-7.763652378263192,1.4695390681218612e-05,0,3.373395303274407e-05,85,145.0,365,69,70,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",-0.011355178389487616
15,16,-7.763663405962662,1.1027699470034236e-05,0,2.2706253562709833e-05,101,158.0,398,69,70,"d_q_exc_[2, 11]_[5, 10]","[[2, 11], [5, 10]]",0.29645882613392843
16,17,-7.763670044112053,6.6381493910583345e-06,6,1.6068104171651498e-05,99,171.0,431,80,81,"d_q_exc_[0, 10]_[2, 4]","[[0, 10], [2, 4]]",-0.5315815490084272
17,18,-7.763676519813471,6.475701417762991e-06,0,9.592402753888507e-06,120,184.0,464,80,81,"d_q_exc_[4, 11]_[5, 10]","[[4, 11], [5, 10]]",-0.28154360749145607
18,19,-7.763680997008175,4.477194703866871e-06,5,5.115208050021636e-06,149,197.0,497,80,81,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.5402358688077346
19,20,-7.763685089351635,4.092343460548875e-06,0,1.0228645894727606e-06,167,210.0,530,91,92,"d_q_exc_[0, 11]_[3, 10]","[[0, 11], [3, 10]]",0.11194334022552731
20,21,-7.76368570451681,6.151651747998699e-07,9,4.076994146728907e-07,198,223.0,563,91,92,"d_q_exc_[5, 10]_[8, 9]","[[5, 10], [8, 9]]",0.18995846375502798
21,22,-7.763686006321844,3.018050342973311e-07,0,1.0589438037555965e-07,158,236.0,596,102,103,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",0.0363449616754108
22,23,-7.763686069872263,6.355041914929416e-08,8,4.234396122626549e-08,276,249.0,629,113,114,"d_q_exc_[0, 3]_[2, 5]","[[0, 3], [2, 5]]",-0.502687928549222
23,24,-7.763686100369752,3.0497488978653564e-08,9,1.1846472247611928e-08,204,262.0,662,113,114,"d_q_exc_[4, 11]_[6, 7]","[[4, 11], [6, 7]]",-0.025378415315976195
24,25,-7.763686110284456,9.914703724689389e-09,2,1.931768522922539e-09,271,275.0,695,113,114,"d_q_exc_[3, 4]_[8, 9]","[[3, 4], [8, 9]]",-0.012055287360738662
25,26,-7.763686111768164,1.483708267357997e-09,8,4.480602555645419e-10,250,288.0,728,113,114,"d_q_exc_[4, 11]_[8, 9]","[[4, 11], [8, 9]]",-0.010158281241165532
26,27,-7.7636861121718495,4.036850853594842e-10,13,4.437517020505766e-11,331,301.0,761,124,125,"d_q_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",0.0023651066689555243
27,28,-7.763686112198577,2.672795318403587e-11,18,1.7647217021021788e-11,76,314.0,794,124,125,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.0007070710820068054
28,29,-7.763686112207167,8.589573496919911e-12,7,9.057643524101877e-12,109,327.0,827,135,136,"d_q_exc_[0, 3]_[2, 11]","[[0, 3], [2, 11]]",-0.000991109614452825
29,30,-7.763686112210342,3.1752378504279477e-12,0,5.8824056736739294e-12,49,340.0,860,146,147,"d_q_exc_[0, 4]_[2, 10]","[[0, 4], [2, 10]]",0.00021184549294774797
30,31,-7.763686112211276,9.334755191048316e-13,0,4.948930154569098e-12,45,353.0,893,157,158,"d_q_exc_[0, 11]_[5, 10]","[[0, 11], [5, 10]]",-4.8092599946011456e-05
