,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.719855003700522,15.205526847955841,0.043831108515629325,3,3.0,7,3,4,s_q_exc_2_5,"[[2], [5]]",1.5707963266954446
1,2,-7.7573715354210915,0.0375165317205699,0.006314576795059423,1,6.0,14,3,4,s_q_exc_3_11,"[[3], [11]]",0.2725274961102451
2,3,-7.763033778736961,0.0056622433158697305,0.0006523334791896929,13,9.0,21,6,8,s_q_exc_3_5,"[[3], [5]]",-0.5354607535854845
3,4,-7.763201672560274,0.0001678938233125038,0.00048443965587718907,15,22.0,54,11,14,"d_q_exc_[0, 11]_[10, 3]","[[0, 11], [10, 3]]",0.043287349474719225
4,5,-7.763298630257928,9.695769765460938e-05,0.0003874819582225797,15,25.0,61,12,16,s_q_exc_1_11,"[[1], [11]]",-0.012184349422769466
5,6,-7.763382032885621,8.340262769301887e-05,0.0003040793305295608,32,38.0,94,22,26,"d_q_exc_[0, 11]_[4, 1]","[[0, 11], [4, 1]]",-0.9827952555543547
6,7,-7.7634321850100925,5.01521244711256e-05,0.0002539272060584352,39,51.0,127,22,26,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.9373708743861537
7,8,-7.763481605101306,4.942009121311486e-05,0.00020450711484532036,40,64.0,160,22,26,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",-0.8412116927735028
8,9,-7.7635293592136465,4.77541123409253e-05,0.00015675300250439506,44,67.0,167,22,26,s_q_exc_2_10,"[[2], [10]]",-0.5491325232299886
9,10,-7.763549787428983,2.0428215336210087e-05,0.00013632478716818497,56,80.0,200,33,33,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0027412525183908745
10,11,-7.7635700889802095,2.0301551226786785e-05,0.00011602323594139818,59,93.0,233,44,44,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.002519691594825553
11,12,-7.763589476210804,1.938723059424774e-05,9.663600534715044e-05,58,106.0,266,44,44,"d_q_exc_[1, 10]_[2, 11]","[[1, 10], [2, 11]]",-0.2291183976000247
12,13,-7.763607121625938,1.7645415134381892e-05,7.899059021276855e-05,77,119.0,299,55,55,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.003994748096213286
13,14,-7.763628808070299,2.1686444361179724e-05,5.730414585158883e-05,92,132.0,332,55,55,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.5939443773029104
14,15,-7.7636481330391955,1.9324968896228256e-05,3.797917695536057e-05,101,145.0,365,55,55,"d_q_exc_[3, 10]_[9, 8]","[[3, 10], [9, 8]]",-0.17494048076473936
15,16,-7.763666510082787,1.8377043591755182e-05,1.960213336360539e-05,223,158.0,398,55,55,"d_q_exc_[3, 10]_[5, 4]","[[3, 10], [5, 4]]",-1.3130435097010005
16,17,-7.763674229107383,7.719024595509438e-06,1.1883108768095951e-05,178,171.0,431,55,55,"d_q_exc_[4, 11]_[9, 8]","[[4, 11], [9, 8]]",0.3412212417778267
17,18,-7.763680073594924,5.8444875410401664e-06,6.038621227055785e-06,152,184.0,464,55,56,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.6085791642660344
18,19,-7.76368382394595,3.7503510261771567e-06,2.288270200878628e-06,156,197.0,497,55,62,"d_q_exc_[1, 11]_[5, 3]","[[1, 11], [5, 3]]",-0.3809820705766128
19,20,-7.7636849445877845,1.1206418344400504e-06,1.1676283664385778e-06,174,210.0,530,55,68,"d_q_exc_[1, 10]_[4, 3]","[[1, 10], [4, 3]]",0.28075614499579055
20,21,-7.763685685154886,7.405671018645421e-07,4.270612645740357e-07,173,223.0,563,63,79,"d_q_exc_[3, 4]_[6, 7]","[[3, 4], [6, 7]]",0.1306469337888139
21,22,-7.763685863604927,1.7845004052219338e-07,2.4861122405184233e-07,183,236.0,596,63,79,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.04760938549738288
22,23,-7.763685978801498,1.1519657139302808e-07,1.3341465265881425e-07,173,249.0,629,74,85,"d_q_exc_[1, 4]_[3, 10]","[[1, 4], [3, 10]]",0.07898867675746583
23,24,-7.7636860404403985,6.163890020616236e-08,7.177575245265189e-08,114,262.0,662,74,91,"d_q_exc_[2, 5]_[4, 3]","[[2, 5], [4, 3]]",-0.11344216887656211
24,25,-7.763686091016394,5.057599583579986e-08,2.1199756616852028e-08,218,275.0,695,85,96,"d_q_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",0.04242711507331054
25,26,-7.763686107773684,1.6757289778013273e-08,4.4424668388387545e-09,169,288.0,728,96,107,"d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.02505232923941779
26,27,-7.763686112172005,4.3983208186659795e-09,4.4146020172775025e-11,265,301.0,761,96,107,"d_q_exc_[2, 5]_[6, 7]","[[2, 5], [6, 7]]",0.015656847897429927
27,28,-7.76368611221265,4.064482084231713e-11,3.5011993304578937e-12,97,314.0,794,96,107,"d_q_exc_[3, 4]_[10, 11]","[[3, 4], [10, 11]]",-0.0010595664698217096
28,29,-7.763686112213251,6.012967901369848e-13,2.899902540320909e-12,9,327.0,827,96,113,"d_q_exc_[3, 4]_[8, 9]","[[3, 4], [8, 9]]",7.031226442942475e-05
