,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.719855003700517,15.205526847955849,0.043831108515653305,4,7.0,11,5,8,eff_s_f_exc_5_2,"[[2], [5]]",1.5707963267372915
2,2,-7.757371535421086,0.03751653172056901,0.006314576795084292,56,24.0,22,7,8,eff_s_f_exc_11_3,"[[3], [11]]",0.23346743153030294
3,3,-7.763033778736952,0.005662243315866178,0.0006523334792181146,10,37.0,33,12,11,eff_s_f_exc_11_5,"[[5], [11]]",-0.14165554851490011
4,4,-7.763204264335479,0.00017048559852650413,0.00048184788069161044,11,58.0,44,16,11,eff_s_f_exc_10_0,"[[0], [10]]",0.008967883786523276
5,5,-7.763298991269856,9.472693437739821e-05,0.00038712094631421223,13,79.0,55,20,11,eff_s_f_exc_11_1,"[[1], [11]]",0.006761235214776015
6,6,-7.7633858411163175,8.684984646123439e-05,0.00030027109985297784,129,88.0,66,20,16,eff_s_f_exc_4_0,"[[0], [4]]",-0.006648553342846717
7,7,-7.763440958954908,5.511783859013519e-05,0.00024515326126284265,105,109.0,101,26,27,"eff_d_f_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",-0.005137074082708506
8,8,-7.763495297028396,5.433807348875774e-05,0.0001908151877740849,91,130.0,136,36,38,"eff_d_f_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",-0.005137140207552739
9,9,-7.76354396542659,4.866839819328561e-05,0.0001421467895807993,19,159.0,171,49,49,"eff_d_f_exc_[0, 11]_[3, 2]","[[0, 11], [3, 2]]",0.02227093241817332
10,10,-7.763571800261742,2.783483515234053e-05,0.00011431195442845876,39,184.0,206,49,49,"eff_d_f_exc_[1, 11]_[5, 3]","[[1, 11], [5, 3]]",0.36314882480565
11,11,-7.763598689468224,2.688920648186155e-05,8.742274794659721e-05,69,205.0,241,49,49,"eff_d_f_exc_[1, 10]_[5, 2]","[[1, 10], [5, 2]]",2.3367872854480303
12,12,-7.7636234804242585,2.4790956034692613e-05,6.26317919119046e-05,110,230.0,276,54,49,"eff_d_f_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",-3.201733576937223
13,13,-7.763639836773276,1.6356349017421223e-05,4.6275442894483376e-05,75,247.0,311,62,60,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.002513359996065109
14,14,-7.763656089294683,1.6252521406912024e-05,3.0022921487571352e-05,75,264.0,346,75,71,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0025133687854084017
15,15,-7.763660921563621,4.832268937882134e-06,2.519065254968922e-05,74,289.0,381,75,71,"eff_d_f_exc_[2, 11]_[5, 4]","[[2, 11], [5, 4]]",-0.22164675554509475
16,16,-7.763667500301929,6.5787383078941275e-06,1.861191424179509e-05,107,306.0,416,75,71,"eff_d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",-0.2732650810653414
17,17,-7.763672285814724,4.7855127949247844e-06,1.3826401446870307e-05,102,319.0,449,82,71,"eff_d_f_exc_[1, 10]_[2, 11]","[[1, 10], [2, 11]]",0.12977965291087007
18,18,-7.763676812868978,4.527054254133134e-06,9.299347192737173e-06,79,332.0,482,88,82,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0015338617442959876
19,19,-7.76368384561782,7.03274884195082e-06,2.266598350786353e-06,101,345.0,515,97,93,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0015338643449663032
20,20,-7.763684918189067,1.072571246929499e-06,1.194027103856854e-06,139,358.0,548,97,93,"eff_d_f_exc_[4, 11]_[10, 5]","[[4, 11], [10, 5]]",0.08060464316809103
21,21,-7.763685369378418,4.51189351657888e-07,7.42837752198966e-07,194,375.0,583,107,94,"eff_d_f_exc_[1, 10]_[4, 11]","[[1, 10], [4, 11]]",0.033465420722003814
22,22,-7.763685801977975,4.325995570653163e-07,3.102381951336497e-07,107,388.0,616,107,94,"eff_d_f_exc_[3, 10]_[4, 11]","[[3, 10], [4, 11]]",0.04673299031768571
23,23,-7.763685947964044,1.459860685670833e-07,1.642521265665664e-07,144,405.0,651,110,104,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.00023590476293898174
24,24,-7.76368600808726,6.012321573933832e-08,1.0412891082722808e-07,170,426.0,686,110,104,"eff_d_f_exc_[2, 5]_[3, 10]","[[2, 5], [3, 10]]",-0.18494087346359417
25,25,-7.763686098649863,9.056260363848878e-08,1.3566307188739302e-08,169,451.0,721,122,105,"eff_d_f_exc_[1, 5]_[3, 11]","[[1, 5], [3, 11]]",-0.0514816814046792
26,26,-7.763686112214709,1.3564846135238895e-08,1.461053500406706e-12,179,476.0,756,135,116,"eff_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",0.010385694476748168
27,27,-7.763686112215708,9.983125437429408e-13,4.627409566637652e-13,105,497.0,791,135,116,"eff_d_f_exc_[2, 5]_[3, 10]","[[2, 5], [3, 10]]",-0.0007285232613772039
