,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.719855003700517,15.205526847955849,0.043831108515653305,4,2.0,5,2,3,1j [X2 Y5],[],1.5707963267890255
2,2,-7.757371535421086,0.03751653172056901,0.006314576795084292,49,4.0,10,2,3,1j [X3 Y11],[],-0.23952757052128326
3,3,-7.762145779629537,0.004774244208451073,0.0015403325866332196,80,6.0,15,4,6,1j [X5 Y11],[],-0.13421954776264647
4,4,-7.763033778736954,0.0008879991074168814,0.0006523334792163382,11,8.0,20,6,8,1j [X3 Y5],[],0.033046590640923156
5,5,-7.763170850452776,0.00013707171582222344,0.0005152617633941148,13,10.0,25,6,8,1j [X0 Y10],[],-0.007602752626281575
6,6,-7.763258489639749,8.763918697241024e-05,0.00042762257642170454,14,12.0,30,6,9,1j [X1 Y11],[],0.0008432689421984033
7,7,-7.763314414651746,5.5925011997359775e-05,0.00037169756442434476,16,14.0,35,6,9,1j [X0 Y4],[],-0.005135348414757237
8,8,-7.763359512547705,4.5097895958967626e-05,0.00032659966846537714,24,20.0,44,8,12,1j [X0 X3 X10 Y11],[],0.0041200338432237065
9,9,-7.7633977802932375,3.8267745532394315e-05,0.0002883319229329828,20,26.0,53,10,12,1j [Y0 Y5 X6 Y7],[],0.00016543151408759648
10,10,-7.76343653779051,3.875749727288991e-05,0.0002495744256600929,20,28.0,58,10,12,1j [X0 Y2],[],-0.0047526364707958565
11,11,-7.7634749550184186,3.841722790820512e-05,0.0002111571977518878,23,34.0,67,14,12,1j [Y0 Y5 X8 Y9],[],0.004342058227471658
12,12,-7.763503979573413,2.9024554994094842e-05,0.00018213264275779295,24,40.0,76,14,15,1j [Y0 X3 Y4 Y11],[],0.0032532925607487934
13,13,-7.76352365559481,1.9676021397074805e-05,0.00016245662136071815,21,46.0,85,16,16,1j [Y0 X1 X8 X9],[],-0.0019424033530155494
14,14,-7.763543359727112,1.970413230267809e-05,0.00014275248905804006,27,52.0,94,18,18,1j [X0 Y3 X8 X9],[],-0.01083317037846983
15,15,-7.7635629113602045,1.9551633092085297e-05,0.00012320085596595476,27,58.0,103,20,20,1j [X0 X1 X6 Y7],[],0.0019494064659729127
16,16,-7.7635823748887205,1.946352851600608e-05,0.00010373732744994868,80,64.0,112,22,22,1j [Y0 Y3 X6 Y7],[],-0.018419077401113773
17,17,-7.763600635223466,1.8260334745612283e-05,8.54769927043364e-05,71,70.0,121,24,24,1j [X0 X1 X2 Y11],[],0.0010224941776878279
18,18,-7.763615920740132,1.528551666574174e-05,7.019147603859466e-05,49,76.0,130,26,26,1j [Y0 X1 Y10 Y11],[],0.0009121117302605328
19,19,-7.763629383029631,1.3462289499166502e-05,5.6729186539428156e-05,74,82.0,139,28,28,1j [X0 X4 Y5 X11],[],-0.002349670711610055
20,20,-7.763639947708949,1.0564679318036951e-05,4.6164507221391204e-05,28,88.0,148,30,30,1j [Y0 Y2 Y5 X11],[],-0.002067002386290209
21,21,-7.76364733711997,7.389411020852776e-06,3.877509620053843e-05,81,90.0,153,30,30,1j [Y1 X3],[],-0.0015363259487472638
22,22,-7.763651965866704,4.628746734347544e-06,3.4146349466190884e-05,88,96.0,162,32,32,1j [Y0 Y2 X3 Y11],[],0.0013387798997637227
23,23,-7.763653814419132,1.8485524275746457e-06,3.229779703861624e-05,182,98.0,167,32,32,1j [Y1 X5],[],-0.00083074572690191
24,24,-7.763654986748745,1.1723296129417804e-06,3.112546742567446e-05,85,104.0,176,34,34,1j [X0 Y1 X2 X3],[],-1.0006274488402887e-05
25,25,-7.763656067263116,1.0805143713099596e-06,3.0044953054364498e-05,72,110.0,185,36,36,1j [X0 X3 X5 Y10],[],0.0006060678858558463
26,26,-7.763656921971307,8.547081913334864e-07,2.9190244863031012e-05,68,116.0,194,38,38,1j [Y0 X1 X3 X10],[],0.00022373569388036872
27,27,-7.763657569683302,6.477119942616127e-07,2.85425328687694e-05,55,122.0,203,40,40,1j [Y0 Y1 Y4 X11],[],0.00026377863414395484
28,28,-7.763658122068897,5.523855950428924e-07,2.7990147273726507e-05,215,128.0,212,40,40,1j [X1 X3 X5 Y11],[],-0.0005396130567832769
29,29,-7.7636585110438965,3.889749997654235e-07,2.7601172273961083e-05,70,134.0,221,42,42,1j [X0 Y1 X2 X5],[],-0.0002710078712944393
30,30,-7.763658795665174,2.84621277657493e-07,2.731655099630359e-05,26,140.0,230,44,44,1j [Y0 Y1 X5 Y10],[],-1.682812744813383e-05
31,31,-7.763659069300202,2.7363502752564273e-07,2.7042915968777947e-05,46,146.0,239,46,46,1j [X0 X2 Y3 X5],[],0.0003015821765266687
32,32,-7.763659187011349,1.177111474959247e-07,2.6925204821282023e-05,76,152.0,248,48,48,1j [X0 X6 X7 Y11],[],0.02051207419952352
33,33,-7.763671988951585,1.280194023589587e-05,1.4123264585386153e-05,49,158.0,257,50,50,1j [Y0 X6 X7 X11],[],0.014291107350373974
34,34,-7.763672179763904,1.9081231883433247e-07,1.393245226655182e-05,95,164.0,266,50,50,1j [X6 Y7 Y10 Y11],[],0.00017054965070013812
35,35,-7.763672278105055,9.834115122231424e-08,1.3834111115329506e-05,135,170.0,275,50,50,1j [X2 X6 X7 Y11],[],-0.0002859587827884698
36,36,-7.763672370006543,9.190148819726573e-08,1.374220962713224e-05,134,176.0,284,50,51,1j [Y4 Y6 X7 Y11],[],0.00035328654117107325
37,37,-7.763672486915816,1.1690927248508842e-07,1.3625300354647152e-05,66,182.0,293,52,54,1j [Y0 Y8 X9 Y11],[],0.018647126459042315
38,38,-7.763685014089221,1.2527173405274539e-05,1.0981269493726131e-06,54,188.0,302,54,57,1j [X0 Y8 X9 X11],[],-0.016076705280154847
39,39,-7.763685196966305,1.8287708414277404e-07,9.152498652298391e-07,64,194.0,311,54,60,1j [X8 X9 X10 Y11],[],0.00038398061273623574
40,40,-7.763685289875061,9.290875535583609e-08,8.22341109874003e-07,80,200.0,320,54,60,1j [X6 Y7 X8 X9],[],0.0002620323542916987
41,41,-7.763685380064816,9.018975521968287e-08,7.321513546543201e-07,36,206.0,329,54,63,1j [X4 X8 X9 Y11],[],0.0004549242277055878
42,42,-7.763685455963549,7.589873352031873e-08,6.562526211340014e-07,77,212.0,338,54,66,1j [Y2 Y8 X9 Y11],[],2.781039889865324e-05
43,43,-7.763685488718724,3.2755174572685064e-08,6.234974465613163e-07,38,218.0,347,56,66,1j [X0 Y3 X4 X5],[],9.975450200983471e-05
44,44,-7.763685513330437,2.4611713556055292e-08,5.98885733005261e-07,22,224.0,356,58,66,1j [X0 Y1 Y3 Y4],[],-1.8504795157386212e-05
45,45,-7.763685535197308,2.186687098060247e-08,5.770188620246586e-07,104,230.0,365,60,66,1j [X0 Y1 Y4 Y5],[],-1.282075359500004e-05
46,46,-7.7636855466627,1.1465391303033812e-08,5.655534707216248e-07,81,236.0,374,62,69,1j [X0 X5 X10 Y11],[],6.482326763385083e-05
47,47,-7.763685548989319,2.326618897541266e-09,5.632268518240835e-07,18,242.0,383,62,69,1j [X1 Y6 X7 X10],[],-2.4705047301491142e-05
48,48,-7.763685551283409,2.2940902510981687e-09,5.609327615729853e-07,110,244.0,388,62,69,1j [X4 Y10],[],5.2949273766834544e-05
49,49,-7.7636855530937865,1.810377625588444e-09,5.591223839473969e-07,83,246.0,393,62,69,1j [X2 Y10],[],3.7286292791025605e-05
50,50,-7.763685555131008,2.037221946693535e-09,5.570851620007033e-07,98,252.0,402,62,69,1j [Y5 Y8 X9 Y10],[],7.921459012154001e-06
51,51,-7.763685660497051,1.0536604300170893e-07,4.517191189989944e-07,70,258.0,411,64,72,1j [Y0 Y1 Y2 X11],[],-0.0009394278805857517
52,52,-7.763685725022264,6.452521272848344e-08,3.87193906270511e-07,86,264.0,420,66,75,1j [X0 Y1 X10 X11],[],-0.000788981234992505
53,53,-7.763685725865887,8.436229492758685e-10,3.863502833212351e-07,68,266.0,425,66,75,1j [X2 Y4],[],3.243348008726179e-05
54,54,-7.763685726778246,9.123590771764611e-10,3.8543792424405865e-07,34,272.0,434,66,75,1j [Y5 X6 X7 X10],[],6.1828663232615625e-06
55,55,-7.763685727607697,8.294511744111333e-10,3.846084730696475e-07,30,278.0,443,66,75,1j [X3 Y8 X9 X10],[],3.248969206420056e-05
56,56,-7.763685728397372,7.896749920632828e-10,3.8381879807758423e-07,87,284.0,452,66,75,1j [X1 Y2 X8 X9],[],1.99379795084059e-05
57,57,-7.7636857291740275,7.766551846088987e-10,3.8304214289297533e-07,74,290.0,461,66,75,1j [X4 X5 X6 Y7],[],0.0001180218009313926
58,58,-7.763685729924868,7.508402788403146e-10,3.82291302614135e-07,76,296.0,470,66,75,1j [Y4 Y5 X8 Y9],[],5.6675194648591484e-05
59,59,-7.763685730578228,6.533600327429667e-10,3.8163794258139205e-07,59,302.0,479,66,75,1j [X3 X6 X7 Y10],[],5.8523282368115504e-05
60,60,-7.763685731053606,4.753779592192586e-10,3.811625646221728e-07,66,308.0,488,66,78,1j [Y2 Y5 X10 Y11],[],1.8885588240473407e-05
