,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.719855003700517,15.205526847955849,0.043831108515653305,4,3.0,7,3,4,s_q_exc_2_5,"[[2], [5]]",1.570796326794736
2,2,-7.757371535421086,0.03751653172056901,0.006314576795084292,4,6.0,14,3,4,s_q_exc_3_11,"[[3], [11]]",0.23339217085818567
3,3,-7.763033778736958,0.005662243315871507,0.0006523334792127855,11,9.0,21,6,7,s_q_exc_5_11,"[[5], [11]]",0.1423824883666429
4,4,-7.763201672560268,0.00016789382331072744,0.00048443965590205806,13,22.0,54,12,16,"d_q_exc_[0, 11]_[10, 5]","[[0, 11], [10, 5]]",0.08192312532960641
5,5,-7.763298630257923,9.695769765460938e-05,0.0003874819582474487,17,25.0,61,15,19,s_q_exc_1_11,"[[1], [11]]",-0.0067595090805591595
6,6,-7.763381635922728,8.300566480468063e-05,0.00030447629344276805,104,38.0,94,22,29,"d_q_exc_[0, 11]_[5, 4]","[[0, 11], [5, 4]]",0.04665249398158203
7,7,-7.76343169391595,5.0057993222552e-05,0.00025441830022021605,89,51.0,127,26,30,"d_q_exc_[5, 10]_[7, 6]","[[5, 10], [7, 6]]",0.5156814871193675
8,8,-7.763477350704308,4.5656788357995026e-05,0.00020876151186222103,36,64.0,160,33,39,"d_q_exc_[0, 11]_[5, 2]","[[0, 11], [5, 2]]",0.0360248842287842
9,9,-7.7635275737124925,5.0223008184246964e-05,0.00015853850367797406,48,77.0,193,42,47,"d_q_exc_[5, 10]_[9, 8]","[[5, 10], [9, 8]]",0.5504862654560406
10,10,-7.763548428233952,2.0854521459945374e-05,0.0001376839822180287,78,90.0,226,46,53,"d_q_exc_[0, 1]_[2, 5]","[[0, 1], [2, 5]]",-0.014447759559029048
11,11,-7.763568597397938,2.01691639851731e-05,0.00011751481823285559,51,103.0,259,55,55,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0026130352853166307
12,12,-7.763588642189762,2.0044791824602726e-05,9.747002640825286e-05,52,116.0,292,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0025012870263901657
13,13,-7.763606285202889,1.7643013126900087e-05,7.982701328135278e-05,54,129.0,325,77,77,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0028182786182782004
14,14,-7.763628459336759,2.2174133869512502e-05,5.7652879411840274e-05,162,142.0,358,77,77,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.48061108021457827
15,15,-7.763647874142738,1.9414805979778293e-05,3.823807343206198e-05,69,155.0,391,77,77,"d_q_exc_[3, 10]_[9, 8]","[[3, 10], [9, 8]]",-0.16547854776244558
16,16,-7.763666383884332,1.8509741593675244e-05,1.9728331838386737e-05,99,168.0,424,77,77,"d_q_exc_[3, 10]_[5, 4]","[[3, 10], [5, 4]]",-1.2340520413946607
17,17,-7.763672688532042,6.304647709676203e-06,1.3423684128710534e-05,109,181.0,457,88,88,"d_q_exc_[0, 5]_[4, 3]","[[0, 5], [4, 3]]",-0.005670776623939148
18,18,-7.763679088204254,6.399672212609175e-06,7.024011916101358e-06,170,194.0,490,88,88,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.6554242807622132
19,19,-7.763682724746305,3.6365420506001556e-06,3.3874698655012025e-06,159,207.0,523,88,88,"d_q_exc_[1, 11]_[5, 3]","[[1, 11], [5, 3]]",-0.5642801758910916
20,20,-7.7636842144116835,1.4896653786067304e-06,1.8978044868944721e-06,119,220.0,556,99,99,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0010873501413925066
21,21,-7.763684813048644,5.98636960447152e-07,1.2991675264473201e-06,146,233.0,589,99,99,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.27444124678550297
22,22,-7.763685340411328,5.273626841884038e-07,7.718048422589163e-07,186,246.0,622,110,110,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.00045848838511734937
23,23,-7.763685536201431,1.9579010324122237e-07,5.76014739017694e-07,148,259.0,655,110,110,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.05082077743046625
24,24,-7.763685995882582,4.596811509216536e-07,1.1633358809604033e-07,182,272.0,688,110,110,"d_q_exc_[3, 4]_[8, 9]","[[3, 4], [8, 9]]",-0.16583557115836214
25,25,-7.763686056985262,6.110267936065839e-08,5.5230908735381945e-08,154,285.0,721,110,110,"d_q_exc_[2, 11]_[10, 3]","[[2, 11], [10, 3]]",0.01202206070835169
26,26,-7.7636860810815795,2.4096317829958025e-08,3.113459090542392e-08,92,298.0,754,110,110,"d_q_exc_[1, 5]_[3, 11]","[[1, 5], [3, 11]]",-0.0052500671565647835
27,27,-7.763686098518851,1.7437271182529912e-08,1.3697319722894008e-08,290,311.0,787,110,110,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",0.008164874438152512
28,28,-7.7636861121986955,1.3679844812486408e-08,1.7474910407599964e-11,209,324.0,820,110,113,"d_q_exc_[2, 5]_[8, 9]","[[2, 5], [8, 9]]",-0.03989842376260506
29,29,-7.7636861122090215,1.0325962307433656e-11,7.148948100166308e-12,87,337.0,853,110,119,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.0009355484381767285
30,30,-7.763686112211519,2.497557716196752e-12,4.651390383969556e-12,63,350.0,886,110,125,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.0004110718083702797
31,31,-7.763686112212564,1.0453859999870474e-12,3.6060043839825084e-12,48,363.0,919,110,125,"d_q_exc_[3, 4]_[8, 9]","[[3, 4], [8, 9]]",-9.204078131648137e-05
32,32,-7.763686112213504,9.396927680427325e-13,2.666311615939776e-12,92,376.0,952,110,131,"d_q_exc_[1, 11]_[5, 3]","[[1, 11], [5, 3]]",-0.00013085966732869522
