,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.678273779235957,13.334973118986586,0,0.09987743287793815,3,3.0,7,3,4,s_q_exc_3_5,"[[3], [5]]",1.7761129369204542
1,2,-7.710767845140717,0.03249406590475967,3,0.06738336697317848,19,16.0,40,11,14,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-1.5707020634863842
2,3,-7.737288756183734,0.02652091104301668,3,0.0408624559301618,14,29.0,73,22,22,"d_q_exc_[2, 5]_[3, 4]","[[2, 5], [3, 4]]",0.8070802091166558
3,4,-7.764977925123674,0.02768916893993989,0,0.01317328699022191,73,32.0,80,22,24,s_q_exc_3_11,"[[3], [11]]",0.2923608603186675
4,5,-7.768079644417187,0.0031017192935136606,0,0.01007156769670825,17,45.0,113,33,33,"d_q_exc_[2, 11]_[3, 4]","[[2, 11], [3, 4]]",-0.32781700673870756
5,6,-7.777598533304667,0.009518888887479982,0,0.0005526788092282686,20,58.0,146,44,44,"d_q_exc_[2, 5]_[3, 10]","[[2, 5], [3, 10]]",0.3276280313189907
6,7,-7.777701118986401,0.00010258568173338034,0,0.0004500931274948883,18,61.0,153,44,44,s_q_exc_1_11,"[[1], [11]]",-0.015723807232087543
7,8,-7.777796889811185,9.577082478440246e-05,1,0.0003543223027104858,31,74.0,186,44,44,"d_q_exc_[0, 11]_[1, 10]","[[0, 11], [1, 10]]",-0.4989862525187044
8,9,-7.777834183286429,3.7293475243949104e-05,0,0.0003170288274665367,31,87.0,219,44,46,"d_q_exc_[0, 3]_[1, 4]","[[0, 3], [1, 4]]",2.39757262382015
9,10,-7.777857284075179,2.310078875034094e-05,0,0.00029392803871619577,38,100.0,252,44,46,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0024510683283282928
10,11,-7.777893847776914,3.656370173477086e-05,0,0.0002573643369814249,65,113.0,285,44,46,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.06286572740954133
11,12,-7.777928589499448,3.474172253348229e-05,1,0.00022262261444794262,63,126.0,318,44,46,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",0.5289165211481723
12,13,-7.777956818130432,2.8228630984727943e-05,0,0.00019439398346321468,80,139.0,351,48,50,"d_q_exc_[0, 5]_[1, 2]","[[0, 5], [1, 2]]",0.27359358450362037
13,14,-7.777977619043568,2.0800913135943233e-05,0,0.00017359307032727145,81,152.0,384,55,56,"d_q_exc_[0, 10]_[2, 4]","[[0, 10], [2, 4]]",0.03336801820070765
14,15,-7.777998883667876,2.1264624307626434e-05,0,0.00015232844601964501,64,165.0,417,55,56,"d_q_exc_[1, 11]_[3, 5]","[[1, 11], [3, 5]]",0.028530920086178385
15,16,-7.7780204632201775,2.1579552301531635e-05,4,0.00013074889371811338,117,178.0,450,55,56,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.7278189977285418
16,17,-7.778044580415726,2.4117195548178927e-05,0,0.00010663169816993445,135,191.0,483,66,66,"d_q_exc_[0, 11]_[1, 2]","[[0, 11], [1, 2]]",0.3741053314169857
17,18,-7.778069863120155,2.528270442958558e-05,2,8.134899374034887e-05,152,204.0,516,66,66,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",1.1802099463062172
18,19,-7.778083022176509,1.3159056353906351e-05,0,6.818993738644252e-05,158,217.0,549,77,77,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.005698478131917339
19,20,-7.778094689186432,1.1667009922611271e-05,0,5.652292746383125e-05,150,230.0,582,88,88,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.0069621643235729625
20,21,-7.778109668909513,1.4979723081509633e-05,3,4.154320438232162e-05,157,243.0,615,99,99,"d_q_exc_[0, 11]_[5, 10]","[[0, 11], [5, 10]]",0.01558728350933247
