,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.7794214040028855,0.012059268016354707,0.005038876264169545,7,13.0,33,11,11,"spin_d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.048315744627441586
2,2,-7.780423140354297,0.0010017363514114308,0.004037139912758114,8,26.0,66,22,22,"spin_d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.018249465872966386
3,3,-7.781372291429748,0.0009491510754511268,0.0030879888373069875,10,39.0,99,33,33,"spin_d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.018261715702388926
4,4,-7.781443124547422,7.083311767352996e-05,0.0030171557196334575,10,52.0,132,33,33,"spin_d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.001545727745510072
5,5,-7.782576037910602,0.0011329133631807764,0.0018842423564526811,74,78.0,198,50,54,"spin_d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.043399474601650556
6,6,-7.783637345373538,0.0010613074629359787,0.0008229348935167025,23,104.0,264,67,75,"spin_d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",0.043576491555095624
7,7,-7.7838196293406865,0.00018228396714814465,0.0006406509263685578,17,117.0,297,78,86,"spin_d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.010330728202556939
8,8,-7.783833328059496,1.369871880907425e-05,0.0006269522075594836,57,130.0,330,78,86,"spin_d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0009728370627658023
9,9,-7.783846912714366,1.3584654870335555e-05,0.000613367552689148,102,143.0,363,78,86,"spin_d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0009730549130459871
10,10,-7.783900792654367,5.3879940001166915e-05,0.0005594876126879811,22,169.0,429,84,96,"spin_d_q_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",0.0037197994353607585
11,11,-7.783954782713706,5.39900593388154e-05,0.0005054975533491657,85,195.0,495,90,106,"spin_d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",0.006942957183445365
