,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.5667565414159,0.005934828817098,0.028490044304666,6,13,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.002219570219546
1,2,-15.5709352034737,0.004178662057862,0.024311382246804,78,26,144,48,40,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.0481712823405
2,3,-15.5752161820493,0.004280978575586,0.020030403671218,10,47,216,80,40,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.048124591834723
3,4,-15.5780930270553,0.002876845006032,0.017153558665186,10,60,288,96,48,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.801783631696687
4,5,-15.5823175357732,0.004224508717861,0.012929049947324,11,73,360,96,64,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.037427477309599
5,6,-15.5848673372237,0.002549801450481,0.010379248496843,206,90,432,128,72,"d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.058191192404071
6,7,-15.5876532348672,0.002785897643552,0.007593350853291,20,107,504,160,80,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.058254978456011
7,8,-15.5893892109186,0.001735976051343,0.005857374801948,60,120,576,160,96,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.014281656036007
8,9,-15.5918962702013,0.002507059282753,0.003350315519196,21,133,648,192,96,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.021964654103853
9,10,-15.5942613653594,0.002365095158089,0.000985220361107,20,146,720,224,96,"d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.021934836193926
10,11,-15.5943033400822,4.19747228246337E-05,0.000943245638283,68,159,792,224,104,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.00040370708389
11,12,-15.5943390125281,3.5672445829249E-05,0.000907573192453,97,172,864,224,120,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.002498919044254
12,13,-15.5943594941608,2.04816327791235E-05,0.000887091559674,89,185,936,224,120,"d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.006960708118871
13,14,-15.5943797752847,2.02811238612099E-05,0.000866810435813,113,198,1008,224,120,"d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.00693370342197
14,15,-15.5944238642521,4.40889674013789E-05,0.000822721468412,129,211,1080,224,120,"d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.00116709974798
15,16,-15.5944679225073,4.40582551828328E-05,0.000778663213229,87,228,1152,256,120,"d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-5.17009390700507E-05
16,17,-15.594511093841,4.31713337167849E-05,0.000735491879512,84,245,1224,288,128,"d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-4.53411647897973E-05
17,18,-15.5945542414872,4.31476462292579E-05,0.000692344233283,56,258,1296,288,128,"d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.001165940931567
18,19,-15.5946025133871,4.82718998640053E-05,0.000644072333419,88,275,1368,320,144,"d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.009081473316954
19,20,-15.5946544072833,5.18938962272841E-05,0.000592178437191,32,292,1440,336,144,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.008821118935639
20,21,-15.5946633903605,8.98307719054969E-06,0.000583195360001,51,309,1512,368,168,"d_f_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",-0.00260513890842
21,22,-15.5946723008415,8.91048101436809E-06,0.000574284878986,20,322,1584,368,192,"d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.023450179057701
22,23,-15.5947558996712,8.35988296454815E-05,0.000490686049341,178,341,1594,372,192,s_f_exc_3_11,"[3, 11]",-0.010216897062503
23,24,-15.5947894590584,3.35593872087259E-05,0.000457126662132,42,360,1604,372,192,s_f_exc_4_12,"[4, 12]",-0.020607277394674
24,25,-15.5948375324981,4.80734397658722E-05,0.000409053222366,64,379,1614,380,192,s_f_exc_2_10,"[2, 10]",-0.009441197033257
25,26,-15.5948565870923,1.90545941691767E-05,0.000389998628197,62,398,1624,380,198,s_f_exc_5_13,"[5, 13]",0.026969215234641
26,27,-15.5948595588695,2.97177716390706E-06,0.000387026851033,53,415,1696,412,198,"d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.000816960724937
27,28,-15.5948625038455,2.94497604969024E-06,0.000384081874984,59,428,1768,412,198,"d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.00818901013427
28,29,-15.5948637083694,1.2045238584335E-06,0.000382877351125,106,453,1840,444,222,"d_f_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",-0.001702840852089
