,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.567249581999564,0.0064278694006869586,0.027997003720996005,6,34.0,68,13,11,"spin_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04833822977390628
2,2,-15.575185326774921,0.007935744775357634,0.02006125894563837,8,47.0,101,21,21,"spin_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.07943217861473564
3,3,-15.578650298109611,0.003464971334690148,0.016596287610948224,10,81.0,171,31,33,"spin_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.042178891250654056
4,4,-15.582195135619347,0.0035448375097359985,0.013051450101212225,12,94.0,204,42,44,"spin_d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.04059625887985214
5,5,-15.587634058203587,0.005438922584239947,0.007612527516972278,14,107.0,237,42,44,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.05778166303717168
6,6,-15.589389210918688,0.0017551527151002944,0.005857374801871984,16,120.0,270,48,44,"spin_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.02758721770416261
7,7,-15.591896270201497,0.002507059282809365,0.003350315519062619,61,133.0,303,59,55,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.05763819437174516
8,8,-15.594261365359575,0.0023650951580780344,0.0009852203609845844,21,146.0,336,70,66,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.05665642795713707
9,9,-15.594346039044359,8.467368478370929e-05,0.0009005466762008751,64,176.0,404,80,78,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.003082708148885231
10,10,-15.594429759203223,8.37201588641534e-05,0.0008168265173367217,89,206.0,472,90,90,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.003076283073513437
11,11,-15.594471739270022,4.198006679878574e-05,0.000774846450537936,67,219.0,505,90,90,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-8.638516360018045e-05
12,12,-15.594507391616004,3.5652345982128963e-05,0.000739194104555807,72,232.0,538,90,90,"spin_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0007595351146955772
13,13,-15.594607563490763,0.00010017187475952483,0.0006390222297962822,27,266.0,608,103,101,"spin_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",-0.00046394319380847526
14,14,-15.594631101095128,2.3537604365131415e-05,0.0006154846254311508,28,279.0,641,103,101,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0017285665953191232
15,15,-15.594654408905052,2.3307809923878153e-05,0.0005921768155072726,89,292.0,674,103,101,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.00011978913644154621
16,16,-15.59467232783385,1.7918928797655553e-05,0.0005742578867096171,100,322.0,742,113,113,"spin_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0014994176385649427
17,17,-15.594810079159393,0.00013775132554272318,0.0004365065611668939,185,356.0,764,118,121,spin_s_f_exc_11_3,"[[3], [11]]",-0.006032435356705206
18,18,-15.594856614147488,4.6534988095814356e-05,0.00038997157307107955,97,390.0,786,118,121,spin_s_f_exc_13_5,"[[5], [13]]",0.012198379783158991
19,19,-15.59486251249129,5.898343800936345e-06,0.0003840732292701432,142,420.0,854,128,133,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0017164907022050508
20,20,-15.594864917759491,2.4052682014996662e-06,0.00038166796106864354,58,462.0,924,134,133,"spin_d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.0002970919410792453
21,21,-15.594867011177364,2.0934178728282404e-06,0.0003795745431958153,144,504.0,994,140,133,"spin_d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-0.0005923110254558028
22,22,-15.594868305376929,1.2941995652937521e-06,0.00037828034363052154,156,546.0,1016,146,133,spin_s_f_exc_11_1,"[[1], [11]]",0.0009470117424951889
23,23,-15.595030129556811,0.00016182417988197528,0.00021645616374854626,46,592.0,1086,159,144,"spin_d_f_exc_[3, 10]_[7, 6]","[[3, 10], [7, 6]]",0.11036756085439306
24,24,-15.595187619808858,0.0001574902520466992,5.896591170184706e-05,44,638.0,1156,172,155,"spin_d_f_exc_[3, 10]_[9, 8]","[[3, 10], [9, 8]]",0.10196912849693732
25,25,-15.595212765341708,2.514553285060117e-05,3.382037885124589e-05,109,692.0,1226,185,166,"spin_d_f_exc_[3, 10]_[12, 13]","[[3, 10], [12, 13]]",0.04236464551586669
26,26,-15.595214993474388,2.2281326792494838e-06,3.159224617199641e-05,125,705.0,1259,185,166,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.002332816953759929
27,27,-15.59521939484642,4.401372033058237e-06,2.719087413893817e-05,82,759.0,1329,191,166,"spin_d_f_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",-0.00279431543394848
28,28,-15.59522375575374,4.360907318812224e-06,2.2829966820125946e-05,84,813.0,1399,197,166,"spin_d_f_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",-0.0022069763999964763
29,29,-15.595235738879849,1.1983126109171849e-05,1.0846840710954098e-05,106,867.0,1469,223,188,"spin_d_f_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",0.06953886108514276
30,30,-15.595236542951408,8.040715595569736e-07,1.0042769151397124e-05,111,925.0,1539,233,198,"spin_d_f_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",0.0006552739141168075
31,31,-15.595237829647498,1.2866960901192215e-06,8.756073061277903e-06,138,959.0,1609,246,209,"spin_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.007312313549831683
32,32,-15.595238162501726,3.3285422773587925e-07,8.423218833542023e-06,117,1017.0,1679,253,215,"spin_d_f_exc_[1, 4]_[3, 12]","[[1, 4], [3, 12]]",0.0010349908903597867
33,33,-15.59523816590947,3.407743420780207e-09,8.419811090121243e-06,104,1059.0,1749,259,215,"spin_d_f_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",-1.9303614369367228e-06
34,34,-15.595238209411598,4.350212812198606e-08,8.376308961999257e-06,82,1072.0,1782,259,215,"spin_d_f_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.00048364417137043827
35,35,-15.595238480068707,2.706571091692922e-07,8.105651852829965e-06,171,1134.0,1852,265,215,"spin_d_f_exc_[1, 10]_[12, 13]","[[1, 10], [12, 13]]",0.0034036554503322942
36,36,-15.595238832162737,3.52094030375838e-07,7.753557822454127e-06,54,1192.0,1922,274,221,"spin_d_f_exc_[1, 4]_[2, 13]","[[1, 4], [2, 13]]",0.0002273306336702681
37,37,-15.59523887204937,3.988663266341064e-08,7.713671189790716e-06,108,1205.0,1955,274,221,"spin_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.0005465583101018065
38,38,-15.595239153002748,2.8095337789579844e-07,7.432717811894918e-06,129,1263.0,2025,281,227,"spin_d_f_exc_[1, 5]_[3, 13]","[[1, 5], [3, 13]]",-0.004291222728138585
39,39,-15.595239303487405,1.5048465762390606e-07,7.282233154271012e-06,89,1293.0,2093,291,239,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0008972850541719592
40,40,-15.595239480428539,1.7694113374489007e-07,7.105292020526122e-06,83,1351.0,2163,301,249,"spin_d_f_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",0.00047016419745006576
41,41,-15.595239549291133,6.886259384941695e-08,7.036429426676705e-06,96,1393.0,2233,307,250,"spin_d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",0.00014909690256767152
42,42,-15.595239879936972,3.306458395968548e-07,6.70578358707985e-06,56,1406.0,2266,318,260,"spin_d_f_exc_[2, 11]_[10, 3]","[[2, 11], [10, 3]]",8.238993232675791e-05
43,43,-15.595239890290268,1.0353295110121508e-08,6.695430291969728e-06,85,1460.0,2336,318,272,"spin_d_f_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",-0.0006950096040996481
44,44,-15.59523995557371,6.528344265177566e-08,6.630146849317953e-06,134,1518.0,2406,326,283,"spin_d_f_exc_[1, 3]_[5, 13]","[[1, 3], [5, 13]]",0.0034580559016408117
45,45,-15.595244449945184,4.49437147409526e-06,2.1357753752226927e-06,283,1564.0,2476,326,283,"spin_d_f_exc_[5, 12]_[11, 10]","[[5, 12], [11, 10]]",-0.1184528492318997
46,46,-15.595245385435428,9.354902434921541e-07,1.2002851317305385e-06,142,1577.0,2509,331,294,"spin_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0015901431313176358
47,47,-15.59524622257347,8.371380424421204e-07,3.631470892884181e-07,160,1631.0,2579,344,294,"spin_d_f_exc_[2, 5]_[3, 12]","[[2, 5], [3, 12]]",0.03838478665400878
48,48,-15.595246254527403,3.1953932833062026e-08,3.311931564553561e-07,216,1685.0,2649,357,316,"spin_d_f_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-0.0007462511183622721
49,49,-15.595246380366374,1.2583897124329724e-07,2.0535418521205884e-07,128,1743.0,2719,370,327,"spin_d_f_exc_[1, 5]_[3, 13]","[[1, 5], [3, 13]]",0.007748707500521404
50,50,-15.595246427587886,4.722151203395697e-08,1.5813267317810187e-07,151,1756.0,2752,381,338,"spin_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.003646916692639883
51,51,-15.59524642971405,2.1261641336423054e-09,1.5600650904445956e-07,108,1769.0,2785,381,338,"spin_d_f_exc_[10, 13]_[12, 11]","[[10, 13], [12, 11]]",-0.0007596157277366474
52,52,-15.595246446306831,1.6592780482937997e-08,1.3941372856152157e-07,196,1782.0,2818,381,338,"spin_d_f_exc_[4, 13]_[12, 5]","[[4, 13], [12, 5]]",0.011632853560893828
53,53,-15.595246450027345,3.7205136749207668e-09,1.356932148866008e-07,194,1795.0,2851,381,338,"spin_d_f_exc_[2, 5]_[4, 3]","[[2, 5], [4, 3]]",0.0007825023363015921
54,54,-15.595246478295403,2.8268058116509565e-08,1.0742515677009123e-07,207,1841.0,2921,385,338,"spin_d_f_exc_[3, 10]_[5, 4]","[[3, 10], [5, 4]]",-0.00451638386871869
55,55,-15.595246483625385,5.329981789259364e-09,1.0209517498083187e-07,137,1903.0,2991,394,349,"spin_d_f_exc_[1, 12]_[10, 13]","[[1, 12], [10, 13]]",0.0034178446091504455
56,56,-15.595246488405005,4.779620255135342e-09,9.731555472569653e-08,205,1933.0,3059,407,360,"spin_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-0.0001975139397676347
57,57,-15.595246497237998,8.832993003693446e-09,8.848256172200308e-08,200,1946.0,3092,418,371,"spin_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.002301275459518094
58,58,-15.595246503955693,6.717694844837752e-09,8.176486687716533e-08,251,1980.0,3162,418,371,"spin_d_f_exc_[3, 10]_[5, 12]","[[3, 10], [5, 12]]",0.0025368969885729716
59,59,-15.595246540618694,3.666300152360691e-08,4.5101865353558424e-08,200,2014.0,3184,419,371,spin_s_f_exc_11_3,"[[3], [11]]",-0.016456056367271685
60,60,-15.59524654711209,6.493396043083521e-09,3.86084693104749e-08,215,2060.0,3254,432,371,"spin_d_f_exc_[3, 10]_[7, 6]","[[3, 10], [7, 6]]",-0.009680339606784771
61,61,-15.595246548837736,1.7256454043490521e-09,3.688282390612585e-08,239,2073.0,3287,432,382,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0016075138929231888
62,62,-15.595246548950332,1.1259615462222428e-10,3.6770227751503626e-08,65,2103.0,3355,442,393,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",1.9939930104761185e-05
63,63,-15.595246552036011,3.0856792676559053e-09,3.368454848384772e-08,227,2149.0,3425,442,393,"spin_d_f_exc_[5, 12]_[9, 8]","[[5, 12], [9, 8]]",0.019108248095222304
64,64,-15.59524655289146,8.554490449341756e-10,3.2829099438913545e-08,213,2203.0,3495,455,404,"spin_d_f_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",-0.0019307189913942472
65,65,-15.59524655705904,4.167580058833664e-09,2.866151938007988e-08,275,2249.0,3565,455,404,"spin_d_f_exc_[5, 12]_[7, 6]","[[5, 12], [7, 6]]",0.016838691587120546
66,66,-15.59524655925478,2.1957404783279344e-09,2.6465778901751946e-08,292,2262.0,3598,466,415,"spin_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.001163996274233739
67,67,-15.595246559516246,2.6146551590500167e-10,2.6204313385846945e-08,175,2304.0,3668,479,426,"spin_d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.0001787047875588174
68,68,-15.595246559910386,3.9413983188296697e-10,2.5810173553963978e-08,242,2358.0,3738,492,437,"spin_d_f_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",-0.0013071236591549406
69,69,-15.59524655991039,3.552713678800501e-15,2.58101700012503e-08,79,2400.0,3808,505,448,"spin_d_f_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",3.904651647736458e-08
