,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.45934905640528,0.003681282885768411,0.022392013525522003,6,34.0,68,13,11,"spin_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.030525055696683654
2,2,-15.461864574968912,0.0025155185636318578,0.019876494961890145,8,68.0,138,28,22,"spin_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.02823183998238961
3,3,-15.46808395367816,0.006219378709248602,0.013657116252641543,10,81.0,171,31,33,"spin_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.06730727258258866
4,4,-15.469935591021297,0.0018516373431367583,0.011805478909504785,12,94.0,204,42,44,"spin_d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.023830408865087332
5,5,-15.47347301812559,0.003537427104292945,0.00826805180521184,14,107.0,237,42,44,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.1379326747315634
6,6,-15.474573926536323,0.001100908410732515,0.007167143394479325,16,120.0,270,48,44,"spin_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.055826481157041065
7,7,-15.477838244321273,0.003264317784950066,0.003902825609529259,18,133.0,303,59,55,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.06052210699286171
8,8,-15.480909631032556,0.003071386711283708,0.0008314388982455512,20,146.0,336,70,66,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.05989064811851758
9,9,-15.481004298273659,9.46672411021865e-05,0.0007367716571433647,82,176.0,404,80,78,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0016503791343482762
10,10,-15.481097905193021,9.360691936244336e-05,0.0006431647377809213,75,206.0,472,90,90,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.003307672148667145
11,11,-15.48113464847579,3.674328276837002e-05,0.0006064214550125513,109,219.0,505,90,90,"spin_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.001796057698073297
12,12,-15.481286973645583,0.00015232516979324373,0.00045409628521930756,98,253.0,527,95,98,spin_s_f_exc_11_3,"[3, 11]",-0.018942859937296722
13,13,-15.481308756169776,2.1782524193270092e-05,0.00043231376102603747,142,266.0,560,95,98,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0017213911801775776
14,14,-15.481330285417181,2.152924740528306e-05,0.0004107845136207544,47,279.0,593,95,98,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0017210517904689088
15,15,-15.481345312175195,1.5026758013902963e-05,0.00039575775560685145,76,321.0,663,101,98,"spin_d_f_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",-0.0027066978781619395
16,16,-15.481357108678951,1.179650375604524e-05,0.0003839612518508062,84,363.0,733,107,98,"spin_d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-0.0011147751335000187
17,17,-15.481397842927178,4.073424822692573e-05,0.0003432270036238805,48,397.0,755,107,98,spin_s_f_exc_13_5,"[5, 13]",0.0036130471785577388
18,18,-15.481402967305938,5.124378759546744e-06,0.00033810262486433373,92,427.0,823,117,110,"spin_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0005964901577078717
19,19,-15.481415214284818,1.2246978879915105e-05,0.00032585564598441863,95,461.0,893,130,121,"spin_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",-0.00036459689921467697
20,20,-15.481418625685706,3.411400887998184e-06,0.00032244424509642045,183,474.0,926,130,121,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0005584467178615049
21,21,-15.481447945190995,2.9319505289393533e-05,0.0002931247398070269,140,487.0,959,130,121,"spin_d_f_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.007002064329735537
22,22,-15.481475564881917,2.7619690921909523e-05,0.0002655050488851174,94,500.0,992,130,121,"spin_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.00699697467315976
23,23,-15.481476664773597,1.0998916799564995e-06,0.0002644051572051609,69,542.0,1014,136,121,spin_s_f_exc_11_1,"[1, 11]",-1.081659302812858e-05
24,24,-15.481477296831269,6.320576719787141e-07,0.0002637730995331822,84,572.0,1082,146,133,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0023235927862239416
25,25,-15.481626964769323,0.00014966793805371026,0.00011410516147947192,77,618.0,1152,159,144,"spin_d_f_exc_[3, 10]_[5, 4]","[[3, 10], [5, 4]]",0.009930247659633351
26,26,-15.481627154350207,1.89580884324414e-07,0.0001139155805951475,96,660.0,1222,165,144,"spin_d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",-0.0004093581836995414
27,27,-15.481672857948919,4.57035987118104e-05,6.82119818833371e-05,64,673.0,1255,176,155,"spin_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.06416394302949048
28,28,-15.481676606918324,3.748969405137359e-06,6.446301247819974e-05,115,731.0,1325,183,161,"spin_d_f_exc_[1, 5]_[3, 13]","[[1, 5], [3, 13]]",0.0007427097241146649
29,29,-15.481678709918075,2.1029997512300724e-06,6.236001272696967e-05,94,789.0,1395,192,167,"spin_d_f_exc_[1, 4]_[2, 13]","[[1, 4], [2, 13]]",-4.414237084744459e-06
30,30,-15.481692389572265,1.3679654189857615e-05,4.8680358537112056e-05,134,835.0,1465,205,178,"spin_d_f_exc_[3, 10]_[9, 8]","[[3, 10], [9, 8]]",0.07796913259230949
31,31,-15.481728597191047,3.620761878231349e-05,1.2472739754798567e-05,101,881.0,1535,218,189,"spin_d_f_exc_[3, 10]_[7, 6]","[[3, 10], [7, 6]]",0.07799839559937041
32,32,-15.481730149823253,1.552632205914506e-06,1.0920107548884062e-05,60,911.0,1603,228,201,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0020611970863901184
33,33,-15.481735652725863,5.502902610032834e-06,5.417204938851228e-06,124,965.0,1673,254,223,"spin_d_f_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",0.015675929785353898
34,34,-15.481736225850673,5.731248098328479e-07,4.84408012901838e-06,81,978.0,1706,254,223,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-3.484316603115737e-05
35,35,-15.481736759474495,5.336238224629142e-07,4.310456306555466e-06,66,1040.0,1776,260,223,"spin_d_f_exc_[1, 10]_[12, 13]","[[1, 10], [12, 13]]",0.0008196354230572385
36,36,-15.481736897228554,1.3775405882654468e-07,4.172702247728921e-06,89,1094.0,1846,260,223,"spin_d_f_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",-0.000916269061302955
37,37,-15.481737106619192,2.0939063816172165e-07,3.963311609567199e-06,71,1148.0,1916,266,223,"spin_d_f_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",-0.0031585465210844164
38,38,-15.481737473423461,3.668042687365869e-07,3.5965073408306125e-06,156,1202.0,1986,272,228,"spin_d_f_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",-0.0029472822146391123
39,39,-15.481737777746881,3.043234197974698e-07,3.2921839210331427e-06,90,1260.0,2056,282,239,"spin_d_f_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",0.0016967391073216115
40,40,-15.481737917451719,1.3970483792036248e-07,3.1524790831127802e-06,110,1318.0,2126,290,250,"spin_d_f_exc_[1, 3]_[5, 13]","[[1, 3], [5, 13]]",0.0026835313156543354
41,41,-15.481737947968657,3.051693830968816e-08,3.121962144803092e-06,109,1376.0,2196,297,261,"spin_d_f_exc_[1, 4]_[3, 12]","[[1, 4], [3, 12]]",0.00020277331251595144
42,42,-15.481738013703946,6.573528921194338e-08,3.0562268555911487e-06,86,1418.0,2266,307,272,"spin_d_f_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",0.0015670551095514317
43,43,-15.481739045711036,1.0320070895630806e-06,2.024219766028068e-06,125,1431.0,2299,314,272,"spin_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.04388182656708061
44,44,-15.481739579811043,5.341000068881385e-07,1.4901197591399296e-06,107,1444.0,2332,325,272,"spin_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.009058159223723682
45,45,-15.481740497262438,9.174513948551066e-07,5.726683642848229e-07,132,1457.0,2365,336,282,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.09885128319243663
46,46,-15.481740504792075,7.529637358061336e-09,5.651387269267616e-07,87,1491.0,2435,349,293,"spin_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.002254261714806514
47,47,-15.48174051067213,5.880055553575403e-09,5.592586713731862e-07,111,1533.0,2505,355,293,"spin_d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.00027791733131852934
48,48,-15.481740510997852,3.2572167185662693e-10,5.589329497013296e-07,98,1575.0,2527,361,293,spin_s_f_exc_11_1,"[1, 11]",0.0007177410979969567
49,49,-15.481740520564918,9.567065362148242e-09,5.493658843391813e-07,91,1617.0,2597,367,302,"spin_d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",0.00010618873637097221
50,50,-15.481740552849077,3.228415934586337e-08,5.17081724993318e-07,112,1630.0,2630,372,313,"spin_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.003903799949681065
51,51,-15.481740555886445,3.0373676906947367e-09,5.140443573026232e-07,99,1684.0,2700,385,313,"spin_d_f_exc_[3, 10]_[12, 13]","[[3, 10], [12, 13]]",0.023797442348418144
52,52,-15.48174056128109,5.394644730927212e-09,5.08649712571696e-07,62,1714.0,2768,395,324,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0016534437832036455
53,53,-15.481740854209113,2.929280231711573e-07,2.157216894005387e-07,177,1768.0,2838,413,339,"spin_d_f_exc_[2, 5]_[3, 12]","[[2, 5], [3, 12]]",0.039038680955581134
54,54,-15.481740873398405,1.918929193323038e-08,1.9653239746730833e-07,97,1781.0,2871,413,339,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.001349110823178709
55,55,-15.48174087459675,1.1983463110709636e-09,1.9533405115623736e-07,70,1835.0,2941,419,346,"spin_d_f_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",-0.0004511651110193562
