,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.192544301979325,0.16833429623513751,0.1442599340975903,7,13.0,33,11,11,"spin_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.7676269976836376
2,2,-15.26583555499486,0.07329125301553496,0.07096868108205534,57,63.0,103,21,21,"spin_d_f_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",0.11319043257515156
3,3,-15.278207406203078,0.012371851208218487,0.05859682987383685,8,76.0,136,24,22,"spin_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.15454567920387582
4,4,-15.282659829842524,0.004452423639445868,0.054144406234390985,10,94.0,158,29,30,spin_s_f_exc_7_3,"[[3], [7]]",-0.4267737918179193
5,5,-15.303564703601435,0.02090487375891037,0.033239532475480615,15,128.0,180,32,30,spin_s_f_exc_13_5,"[[5], [13]]",0.32594535506205985
6,6,-15.312744187293637,0.00917948369220234,0.024060048783278276,121,141.0,213,40,41,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.1478509677207817
7,7,-15.318821589836801,0.006077402543164467,0.01798264624011381,62,179.0,283,53,52,"spin_d_f_exc_[3, 6]_[10, 11]","[[3, 6], [10, 11]]",-0.06333741192499821
8,8,-15.32663972642828,0.007818136591478009,0.0101645096486358,34,192.0,316,64,63,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.13823572994321076
9,9,-15.331675752416384,0.005036025988104598,0.005128483660531202,85,230.0,386,77,74,"spin_d_f_exc_[3, 6]_[8, 9]","[[3, 6], [8, 9]]",0.009473670970779955
10,10,-15.331767984268655,9.223185227114072e-05,0.005036251808260062,66,260.0,454,87,86,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0033120381515168444
11,11,-15.33185849226293,9.050799427434697e-05,0.004945743813985715,81,290.0,522,97,98,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0028508437865373912
12,12,-15.333444483482435,0.0015859912195050896,0.003359752594480625,94,303.0,555,97,98,"spin_d_f_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",0.03388754167088522
13,13,-15.334832206008656,0.0013877225262213244,0.0019720300682593006,99,316.0,588,97,98,"spin_d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.12585796451674808
14,14,-15.334907889028539,7.568301988314374e-05,0.0018963470483761569,59,346.0,656,107,110,"spin_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.002959628017095744
15,15,-15.335207184459172,0.00029929543063289543,0.0015970516177432614,40,400.0,726,133,132,"spin_d_f_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",0.02410806436950279
16,16,-15.336084425065389,0.0008772406062167448,0.0007198110115265166,57,430.0,794,146,143,"spin_d_f_exc_[3, 6]_[5, 4]","[[3, 6], [5, 4]]",0.02394961617193535
17,17,-15.33609394963069,9.524565301788357e-06,0.0007102864462247283,69,443.0,827,146,143,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.00029666168689379454
18,18,-15.336102789229367,8.83959867614692e-06,0.0007014468475485813,64,456.0,860,146,143,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-1.8519982935386044e-06
19,19,-15.33611149323834,8.704008973126065e-06,0.0006927428385754553,76,469.0,893,146,143,"spin_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.00014734007175650193
20,20,-15.336123850540847,1.2357302507481904e-05,0.0006803855360679734,61,515.0,963,152,143,"spin_d_f_exc_[1, 6]_[10, 11]","[[1, 6], [10, 11]]",0.0015460474373771905
21,21,-15.336135333790088,1.1483249240384907e-05,0.0006689022868275885,73,561.0,1033,158,143,"spin_d_f_exc_[1, 6]_[8, 9]","[[1, 6], [8, 9]]",-0.0005934293058304618
22,22,-15.336349093239669,0.0002137594495810191,0.00045514283724656934,58,611.0,1103,171,154,"spin_d_f_exc_[3, 6]_[4, 13]","[[3, 6], [4, 13]]",-0.12569370467301852
