,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.19254430197932,0.16833429623513751,0.14425993409774485,7,13.0,33,11,11,"spin_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.7493585924869275
2,2,-15.265835554994853,0.07329125301553319,0.07096868108221166,8,63.0,103,21,21,"spin_d_f_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",0.07902921687481283
3,3,-15.278207406203073,0.012371851208220264,0.058596829873991396,8,76.0,136,24,22,"spin_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.1442094931831634
4,4,-15.28265982984254,0.0044524236394671846,0.05414440623452421,10,94.0,158,29,30,spin_s_f_exc_7_3,"[[3], [7]]",-0.4223086861272308
5,5,-15.303564703601454,0.020904873758913922,0.03323953247561029,15,128.0,180,32,30,spin_s_f_exc_13_5,"[[5], [13]]",0.2821810326299194
6,6,-15.31274418729363,0.009179483692175694,0.024060048783434596,13,141.0,213,40,41,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.13827794731364365
7,7,-15.318821590289692,0.006077402996062631,0.017982645787371965,14,179.0,283,53,52,"spin_d_f_exc_[3, 6]_[10, 11]","[[3, 6], [10, 11]]",-0.057032951214726596
8,8,-15.326639726764814,0.007818136475121307,0.010164509312250658,13,192.0,316,64,63,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.1450135873993889
9,9,-15.331675754215206,0.005036027450392666,0.005128481861857992,260,230.0,386,77,74,"spin_d_f_exc_[3, 6]_[8, 9]","[[3, 6], [8, 9]]",-0.01416891403903881
10,10,-15.331767985168469,9.223095326227337e-05,0.0050362509085957186,13,260.0,454,87,86,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.003284181371420549
11,11,-15.331858493123132,9.050795466336581e-05,0.004945742953932353,60,290.0,522,97,98,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.002107336838074639
12,12,-15.333444486466401,0.0015859933432693651,0.0033597496106629876,55,303.0,555,97,98,"spin_d_f_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",0.07662738197830829
13,13,-15.33483221063614,0.0013877241697386467,0.001972025440924341,90,316.0,588,97,98,"spin_d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.04275402904692318
14,14,-15.334907892878876,7.568224273590829e-05,0.0018963431981884327,85,346.0,656,107,110,"spin_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.002132524763581544
15,15,-15.335207189809344,0.00029929693046781836,0.0015970462677206143,20,400.0,726,133,132,"spin_d_f_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",-0.01930617245979707
16,16,-15.336084429429077,0.0008772396197329613,0.000719806647987653,145,430.0,794,146,143,"spin_d_f_exc_[3, 6]_[5, 4]","[[3, 6], [5, 4]]",0.054449999447725175
17,17,-15.336093953755181,9.52432610468179e-06,0.0007102823218829712,24,443.0,827,146,143,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.00037094196902805415
18,18,-15.33610279373139,8.839976208818712e-06,0.0007014423456741525,25,456.0,860,146,143,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0005790714662685293
19,19,-15.336111497690357,8.703958966904679e-06,0.0006927383867072479,133,469.0,893,146,143,"spin_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-2.3123193007553535e-05
20,20,-15.336123852874763,1.2355184406231956e-05,0.0006803832023010159,83,515.0,963,152,143,"spin_d_f_exc_[1, 6]_[10, 11]","[[1, 6], [10, 11]]",-0.0001349324147876973
21,21,-15.336135336539002,1.1483664238198799e-05,0.0006688995380628171,31,561.0,1033,158,143,"spin_d_f_exc_[1, 6]_[8, 9]","[[1, 6], [8, 9]]",0.000192171775545556
22,22,-15.336349098105682,0.0002137615666804038,0.0004551379713824133,176,611.0,1103,171,154,"spin_d_f_exc_[3, 6]_[4, 13]","[[3, 6], [4, 13]]",-0.06928597431218644
23,23,-15.336360305068528,1.1206962845733415e-05,0.0004439310085366799,32,657.0,1173,177,154,"spin_d_f_exc_[1, 6]_[12, 13]","[[1, 6], [12, 13]]",-0.0010090949059743724
24,24,-15.33648034521423,0.00012004014570266008,0.0003238908628340198,33,670.0,1206,177,154,"spin_d_f_exc_[6, 7]_[12, 13]","[[6, 7], [12, 13]]",0.018178942061251924
25,25,-15.33674332690654,0.0002629816923089834,6.0909170525036416e-05,35,720.0,1276,190,165,"spin_d_f_exc_[3, 7]_[5, 13]","[[3, 7], [5, 13]]",0.04449634089454994
26,26,-15.336750090351131,6.76344459193956e-06,5.4145725933096855e-05,105,778.0,1346,200,175,"spin_d_f_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",-7.981404247622602e-05
27,27,-15.336755092715254,5.002364122930203e-06,4.914336181016665e-05,72,808.0,1414,210,187,"spin_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.00017888971976650912
28,28,-15.336760370813087,5.278097832572826e-06,4.386526397759383e-05,36,866.0,1484,220,197,"spin_d_f_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",-0.00010767111755332194
29,29,-15.336763085013981,2.7142008942604434e-06,4.1151063083333383e-05,38,924.0,1554,226,197,"spin_d_f_exc_[1, 6]_[4, 13]","[[1, 6], [4, 13]]",0.002221660831419734
30,30,-15.336763801995113,7.169811322427222e-07,4.043408195109066e-05,60,978.0,1624,226,197,"spin_d_f_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",2.3787237873674057e-05
31,31,-15.336765192398918,1.3904038045353673e-06,3.9043678146555294e-05,36,1036.0,1694,232,197,"spin_d_f_exc_[1, 6]_[5, 12]","[[1, 6], [5, 12]]",0.0006657210545547339
32,32,-15.33677887407502,1.368167610138471e-05,2.5362002045170584e-05,150,1074.0,1764,245,208,"spin_d_f_exc_[3, 6]_[12, 13]","[[3, 6], [12, 13]]",0.012788568039805196
33,33,-15.336779068584901,1.945098819788882e-07,2.5167492163191696e-05,40,1112.0,1834,250,214,"spin_d_f_exc_[0, 1]_[3, 6]","[[0, 1], [3, 6]]",-0.00013233460788653832
34,34,-15.33677988282586,8.142409591016531e-07,2.4353251204090043e-05,94,1125.0,1867,250,214,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.00037751108909851814
35,35,-15.336780999356797,1.1165309370397836e-06,2.323672026705026e-05,40,1138.0,1900,255,220,"spin_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",2.4551060676589136e-05
36,36,-15.336783113138633,2.1137818357885862e-06,2.1122938431261673e-05,47,1151.0,1933,266,231,"spin_d_f_exc_[2, 7]_[6, 3]","[[2, 7], [6, 3]]",0.004419729039660208
37,37,-15.33679114517803,8.032039396255186e-06,1.3090899035006487e-05,71,1201.0,2003,279,242,"spin_d_f_exc_[3, 6]_[5, 12]","[[3, 6], [5, 12]]",0.02022448295879751
38,38,-15.336791169829445,2.4651415131415888e-08,1.3066247619875071e-05,71,1259.0,2073,285,242,"spin_d_f_exc_[1, 7]_[5, 13]","[[1, 7], [5, 13]]",-0.0008308906638138743
39,39,-15.336798518775812,7.348946367002895e-06,5.717301252872176e-06,58,1309.0,2143,298,253,"spin_d_f_exc_[3, 5]_[7, 13]","[[3, 5], [7, 13]]",-0.0021334365072737675
40,40,-15.336798604424558,8.564874676153522e-08,5.63165250611064e-06,119,1339.0,2211,308,265,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0007288509946608136
41,41,-15.336798606229188,1.8046293348561449e-09,5.629847876775784e-06,132,1377.0,2281,314,265,"spin_d_f_exc_[1, 6]_[5, 4]","[[1, 6], [5, 4]]",-0.0002536802628681454
