,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.566756541415844,0.005934828817094839,0.028490044304716022,6,13.0,33,11,11,"eff_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.0671028685713201
1,2,-15.57521618204935,0.008459640633507348,0.020030403671208674,41,47.0,101,21,21,"eff_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04877875085711734
2,2,-15.57521618204935,0.008459640633507348,0.020030403671208674,41,47.0,101,21,21,"eff_d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.048638708677295146
3,3,-15.578093027055386,0.0028768450060354667,0.017153558665173207,10,60.0,134,32,32,"eff_d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.04060529333227049
4,4,-15.582317535773228,0.004224508717841857,0.01292904994733135,11,73.0,167,32,32,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.0958211996662707
5,5,-15.587653234867282,0.0053356990940542914,0.007593350853277059,14,107.0,237,42,44,"eff_d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.04243552602023087
6,5,-15.587653234867282,0.0053356990940542914,0.007593350853277059,14,107.0,237,42,44,"eff_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.042435488878737715
7,6,-15.589389210918654,0.001735976051371324,0.005857374801905735,18,120.0,270,48,44,"eff_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.02891650052512901
8,7,-15.591896270201461,0.002507059282807589,0.003350315519098146,21,133.0,303,59,55,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.061678459644982836
9,8,-15.594261365359559,0.0023650951580975743,0.0009852203610005716,88,146.0,336,70,66,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.061164471588593096
10,9,-15.594303340082366,4.197472280687009e-05,0.0009432456381937016,116,159.0,369,70,66,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0008919451313641196
11,10,-15.594339012528186,3.5672445820367216e-05,0.0009075731923733343,23,172.0,402,70,66,"eff_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0023389599331887605
12,11,-15.594359494161004,2.0481632818203366e-05,0.000887091559555131,93,185.0,435,70,66,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0017338070216759423
13,12,-15.594379775284876,2.028112387186809e-05,0.0008668104356832629,40,198.0,468,70,66,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0012338637890023467
