,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.5667565414158,0.005934828816979,0.028490044304682,6,6,9,4,3,1j [Y4 Y5 Y10 X11],[],-0.018775270887172
2,2,-15.5709173644609,0.004160823045034,0.024329221259649,8,12,18,6,5,1j [Y3 Y4 Y11 X12],[],-0.050357918544455
3,3,-15.5752042133962,0.004286848935294,0.020042372324355,10,18,27,8,5,1j [Y2 Y5 Y10 X13],[],-0.041635937123294
4,4,-15.5780258619569,0.002821648560772,0.017220723763583,12,24,36,12,6,1j [Y4 X5 Y12 Y13],[],0.045382130252875
5,5,-15.5822181909103,0.004192328953337,0.013028394810245,15,30,45,12,8,1j [Y2 Y3 X10 Y11],[],-0.05926870375272
6,6,-15.5847418086622,0.002523617751944,0.010504777058301,17,36,54,16,9,1j [Y3 Y4 X10 Y13],[],0.041308184586541
7,7,-15.5875403007102,0.002798492047948,0.007706285010354,19,42,63,16,10,1j [Y2 X5 Y11 Y12],[],-0.021377194478876
8,8,-15.5892709250539,0.001730624343693,0.00597566066666,68,48,72,16,12,1j [Y2 Y3 X12 Y13],[],-0.005164981673817
9,9,-15.5916756495303,0.002404724476429,0.003570936190231,50,54,81,16,12,1j [Y2 X3 Y8 Y9],[],0.03221488259247
10,10,-15.5939329935374,0.002257344007111,0.00131359218312,84,60,90,20,12,1j [X2 Y3 Y6 Y7],[],0.012310558168144
11,11,-15.5939747054037,4.17118662916494E-05,0.001271880316828,72,66,99,20,13,1j [Y0 Y1 X10 Y11],[],0.000185006489715
12,12,-15.5940900579937,0.000115352589965,0.001156527726863,78,72,108,24,14,1j [Y2 Y3 Y4 X5],[],0.004145575676084
13,13,-15.594125640562,3.55825683957534E-05,0.001120945158467,20,78,117,24,15,1j [Y0 Y1 X12 Y13],[],-0.00018838375825
14,14,-15.5941461537458,2.05131837098804E-05,0.001100431974757,77,84,126,24,15,1j [Y0 X1 Y6 Y7],[],0.002950343339325
