,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.192544301979256,0.168334296278017,0.14425993409751392,7,6.0,9,4,3,1j [Y4 Y5 Y6 X7],[],-0.8532477828811423
2,2,-15.226758564638505,0.03421426265924943,0.11004567143826449,9,12.0,18,6,5,1j [Y3 Y4 Y7 X12],[],-0.05354668549966413
3,3,-15.273760970964009,0.0470024063255039,0.0630432651127606,49,18.0,27,8,5,1j [Y2 Y5 Y6 X13],[],-0.13752715681801417
4,4,-15.27614525090788,0.002384279943871803,0.06065898516888879,8,24.0,36,8,5,1j [Y2 Y3 Y10 X11],[],0.08248666067705845
5,5,-15.27858897517926,0.0024437242713784,0.05821526089751039,9,30.0,45,10,6,1j [X2 X3 Y8 X9],[],-0.019660759172838115
6,6,-15.281572480654155,0.00298350547489612,0.05523175542261427,67,32.0,50,10,8,1j [X2 Y6],1j [X2 Y6],0.3264886112038174
7,7,-15.288244627174512,0.006672146520356748,0.04855960890225752,12,34.0,55,12,10,1j [Y2 X6],1j [Y2 X6],-0.11008834013502028
8,8,-15.290296079527394,0.002051452352882066,0.04650815654937546,15,40.0,64,14,12,1j [Y2 Y3 Y8 X9],[],0.010389866687336791
9,9,-15.29097941651412,0.0006833369867251804,0.045824819562650276,77,46.0,73,14,12,1j [Y8 X9 Y12 Y13],[],0.0012395030418996566
10,10,-15.292830053629599,0.0018506371154796142,0.04397418244717066,49,52.0,82,18,14,1j [X2 X3 Y10 X11],[],0.07007640570724606
11,11,-15.293410547865943,0.0005804942363436538,0.04339368821082701,16,58.0,91,18,14,1j [Y10 X11 X12 X13],[],0.002718981306535624
12,12,-15.295538866970531,0.0021283191045888827,0.041265369106238126,18,64.0,100,22,16,1j [Y2 Y3 X12 Y13],[],-0.12410944474819814
13,13,-15.29575690373039,0.00021803675985943016,0.041047332346378695,19,70.0,109,22,16,1j [Y8 X9 Y10 Y11],[],-0.0020617124214274
14,14,-15.296329894108386,0.0005729903779947421,0.04047434196838395,21,76.0,118,24,16,1j [Y3 X6 Y8 Y9],[],-0.00013509381734428316
15,15,-15.297496223321268,0.0011663292128822889,0.039308012755501665,76,82.0,127,26,16,1j [X3 Y5 X7 X13],[],0.1046233863052692
16,16,-15.303779220511894,0.00628299719062575,0.033025015564875915,25,88.0,136,26,18,1j [X2 X4 Y6 X12],[],-0.14844696731142557
17,17,-15.305158646080745,0.001379425568851289,0.031645589996024626,23,90.0,141,28,18,1j [X3 Y7],1j [X3 Y7],-0.13582811356142757
18,18,-15.307686669377892,0.002528023297147186,0.02911756669887744,25,96.0,150,30,20,1j [Y3 X4 Y5 Y6],[],-0.14654129449277625
19,19,-15.310023163309001,0.0023364939311090183,0.02678107276776842,28,102.0,159,34,22,1j [Y2 Y3 Y10 X11],[],-0.09093773182844374
