,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.192544301979295,0.16833429623513751,0.14425993409751392,7,6.0,9,4,3,1j [Y4 Y5 Y6 X7],[],-0.8509951836536734
2,2,-15.226758564638542,0.03421426265924765,0.11004567143826627,9,12.0,18,6,5,1j [Y3 Y4 Y7 X12],[],-0.050592944759847935
3,3,-15.273760970964045,0.04700240632550212,0.06304326511276415,11,18.0,27,8,5,1j [Y2 Y5 Y6 X13],[],-0.1395100145958023
4,4,-15.27614525090792,0.002384279943875356,0.06065898516888879,8,24.0,36,8,5,1j [Y2 Y3 Y10 X11],[],0.08803708489892575
5,5,-15.278588975179298,0.0024437242713784,0.05821526089751039,9,30.0,45,10,6,1j [X2 X3 Y8 X9],[],-0.020840742739293063
6,6,-15.281572480654185,0.002983505474887238,0.05523175542262315,12,32.0,50,10,8,1j [X2 Y6],[],0.3208572954422332
7,7,-15.288244627174558,0.006672146520372735,0.04855960890225042,12,34.0,55,12,10,1j [Y2 X6],[],-0.1081912762158553
8,8,-15.290296079527442,0.0020514523528838424,0.046508156549366575,88,40.0,64,14,12,1j [Y2 Y3 Y8 X9],[],0.0004941733357438216
9,9,-15.29097941651416,0.000683336986718075,0.0458248195626485,15,46.0,73,14,12,1j [Y8 X9 Y12 Y13],[],0.0063291782813373176
10,10,-15.292830053629642,0.0018506371154813905,0.04397418244716711,17,52.0,82,18,14,1j [X2 X3 Y10 X11],[],0.07011993055780617
11,11,-15.293410547865985,0.0005804942363436538,0.043393688210823456,16,58.0,91,18,14,1j [Y10 X11 X12 X13],[],0.0013859669549296607
12,12,-15.295538866970585,0.002128319104599541,0.041265369106223915,152,64.0,100,22,16,1j [Y2 Y3 X12 Y13],[],-0.1321965411723011
13,13,-15.295756903730446,0.00021803675986120652,0.04104733234636271,19,70.0,109,22,16,1j [Y8 X9 Y10 Y11],[],-0.001011764857252436
14,14,-15.296329894108428,0.0005729903779823076,0.0404743419683804,86,76.0,118,24,16,1j [Y3 X6 Y8 Y9],[],-0.0031748013589434835
15,15,-15.297496223321325,0.0011663292128964997,0.0393080127554839,66,82.0,127,26,16,1j [X3 Y5 X7 X13],[],0.11130993625622308
16,16,-15.303779220511942,0.006282997190616868,0.03302501556486703,25,88.0,136,26,18,1j [X2 X4 Y6 X12],[],-0.15453910488562167
17,17,-15.30515864608078,0.0013794255688388546,0.03164558999602818,23,90.0,141,28,18,1j [X3 Y7],[],-0.14008279442478722
18,18,-15.307686669377963,0.0025280232971827132,0.029117566698845465,100,96.0,150,30,20,1j [Y3 X4 Y5 Y6],[],-0.13977438794171168
19,19,-15.310023163309062,0.00233649393109836,0.026781072767747105,26,102.0,159,34,22,1j [Y2 Y3 Y10 X11],[],-0.08676852886654329
20,20,-15.310724288258422,0.0007011249493604765,0.02607994781838663,30,108.0,168,34,22,1j [Y2 X7 Y10 Y11],[],0.09022458634922115
21,21,-15.3111174509957,0.0003931627372786295,0.025686785081108,98,114.0,177,34,24,1j [Y2 X7 Y8 Y9],[],0.011678528611136366
22,22,-15.311665247888056,0.0005477968923557341,0.025138988188752265,31,120.0,186,34,26,1j [Y2 Y7 Y8 X9],[],0.0006220356662768857
23,23,-15.312291068585825,0.0006258206977687308,0.024513167490983534,30,126.0,195,38,28,1j [X2 X3 X4 Y5],[],0.11425752840223502
24,24,-15.312529067084434,0.00023799849860850486,0.02427516899237503,40,132.0,204,38,28,1j [Y6 X7 Y10 Y11],[],0.05855982210598549
25,25,-15.31292790309326,0.00039883600882717474,0.023876332983547854,33,138.0,213,38,30,1j [X2 Y7 Y10 Y11],[],0.002391873975126777
26,26,-15.314110688090837,0.0011827849975762916,0.022693547985971563,100,144.0,222,42,32,1j [Y2 X3 Y8 Y9],[],0.059844568019750896
27,27,-15.314402261131411,0.0002915730405739225,0.02240197494539764,59,150.0,231,42,32,1j [X6 X7 Y8 X9],[],-0.01622933418424295
28,28,-15.31494982060803,0.0005475594766188863,0.021854415468778754,77,156.0,240,42,32,1j [Y6 X7 Y8 Y9],[],0.11284007360587449
29,29,-15.315741225520595,0.0007914049125652411,0.021063010556213513,113,162.0,249,46,34,1j [X2 Y3 Y4 Y5],[],0.06711995000011083
30,30,-15.316257157127424,0.0005159316068290565,0.020547078949384456,104,168.0,258,46,34,1j [Y6 Y7 Y10 X11],[],-0.029093209434792766
31,31,-15.316640559697198,0.00038340256977420495,0.02016367637961025,93,174.0,267,48,34,1j [X3 X6 Y10 X11],[],-0.057262950702755944
32,32,-15.31701038998828,0.0003698302910812856,0.019793846088528966,100,180.0,276,50,34,1j [Y3 Y6 Y8 X9],[],0.026110024743872074
33,33,-15.318056241833457,0.001045851845177026,0.01874799424335194,68,186.0,285,50,34,1j [Y4 X5 Y8 Y9],[],0.06246198007628766
34,34,-15.319409954033206,0.0013537121997497792,0.01739428204360216,90,192.0,294,52,34,1j [X3 X4 Y7 X12],[],0.10334838527766822
35,35,-15.319856526769751,0.0004465727365445815,0.01694770930705758,57,198.0,303,52,36,1j [Y2 Y7 Y12 X13],[],0.0011553712178045273
36,36,-15.321451769024131,0.0015952422543801248,0.015352467052677454,86,204.0,312,56,38,1j [X2 X4 Y7 X13],[],0.05127270720090166
37,37,-15.322641208031714,0.0011894390075823935,0.01416302804509506,118,210.0,321,60,38,1j [Y4 Y6 Y7 X13],[],0.0765764453613854
38,38,-15.323513339320973,0.00087213128925967,0.01329089675583539,114,216.0,330,60,40,1j [Y2 X3 Y5 Y12],[],-0.1001165793623541
39,39,-15.323752448330703,0.00023910900972978766,0.013051787746105603,91,222.0,339,60,40,1j [X5 Y8 Y9 Y12],[],0.05565437075506798
40,40,-15.324320954639477,0.0005685063087739195,0.012483281437331684,44,228.0,348,60,42,1j [X2 Y4 Y6 Y12],[],-0.14442258028603777
41,41,-15.325261955880771,0.0009410012412942592,0.011542280196037424,102,234.0,357,60,42,1j [Y3 Y4 Y6 X13],[],-0.04592263460872834
42,42,-15.32592749405409,0.0006655381733189358,0.010876742022718489,106,240.0,366,62,44,1j [X2 X3 X5 Y12],[],-0.02556156560704203
43,43,-15.326862735840333,0.0009352417862427131,0.009941500236475775,63,246.0,375,64,44,1j [Y4 X6 Y7 Y13],[],-0.10310482922663286
44,44,-15.327004080221743,0.00014134438140978034,0.009800155855065995,45,252.0,384,64,44,1j [X4 X8 Y9 X13],[],-0.010101583415728619
45,45,-15.327341959581329,0.0003378793595860685,0.009462276495479927,122,258.0,393,68,46,1j [Y2 X7 X12 X13],[],0.07117476513473756
46,46,-15.327634940150332,0.00029298056900373126,0.009169295926476195,165,264.0,402,72,46,1j [X6 X7 X12 Y13],[],0.029344616783384105
47,47,-15.328202241299243,0.0005673011489104596,0.008601994777565736,47,270.0,411,76,46,1j [X6 Y7 X12 X13],[],-0.06879336955441827
48,48,-15.328849715180707,0.0006474738814645775,0.007954520896101158,49,276.0,420,76,48,1j [X2 X3 Y4 X13],[],0.047466241604949146
49,49,-15.328895964935393,4.6249754685590005e-05,0.007908271141415568,111,282.0,429,76,50,1j [X1 X2 Y10 X11],[],0.00023232819040352784
50,50,-15.32894154499108,4.55800556871111e-05,0.007862691085728457,101,288.0,438,76,52,1j [Y1 Y2 Y8 X9],[],1.9968792747961974e-05
51,51,-15.329870741910753,0.0009291969196727479,0.006933494166055709,68,294.0,447,76,54,1j [Y2 Y3 Y10 X11],[],-0.03656753450172521
52,52,-15.330271004930724,0.00040026301997109215,0.006533231146084617,54,296.0,452,76,54,1j [Y4 X12],[],0.07781239495734324
53,53,-15.330302224095282,3.1219164558393686e-05,0.006502011981526223,205,302.0,461,76,56,1j [X1 Y2 Y12 Y13],[],0.00012201746991436132
54,54,-15.330331564052322,2.933995703990888e-05,0.0064726720244863145,45,308.0,470,76,56,1j [X0 X3 Y8 X9],[],9.946069168350862e-05
