,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415842,0.00593482881708951,0.02849004430482438,6,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.0004540270316654758
2,2,-15.570935203473734,0.004178662057892524,0.024311382246931856,8,26.0,66,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.04748956543746832
3,3,-15.575216182049312,0.004280978575577521,0.020030403671354335,10,39.0,99,17,21,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.047110845675971944
4,4,-15.578093027055386,0.0028768450060745465,0.01715355866527979,10,52.0,132,28,32,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.3970748746366701
5,5,-15.582317535773234,0.004224508717847186,0.012929049947432603,11,65.0,165,28,32,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.007092584308629917
6,6,-15.584867337223749,0.002549801450514977,0.010379248496917626,17,78.0,198,34,42,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.046828641358511454
7,7,-15.587653234867297,0.0027858976435481964,0.007593350853369429,19,91.0,231,34,42,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.03530627290443754
8,8,-15.589389210918691,0.0017359760513944167,0.005857374801975013,18,104.0,264,44,44,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.058328757595477995
9,9,-15.591896270201463,0.0025070592827720617,0.003350315519202951,21,117.0,297,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.056492568199609704
10,10,-15.594261365359543,0.0023650951580798107,0.0009852203611231403,49,130.0,330,66,66,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.05651962463182194
11,11,-15.594303340082416,4.1974722872595294e-05,0.000943245638250545,73,143.0,363,66,66,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",6.606173061429312e-06
12,12,-15.594339012528176,3.567244575997108e-05,0.0009075731924905739,60,156.0,396,66,66,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0014764550812952472
13,13,-15.594359494161045,2.0481632869717714e-05,0.0008870915596208562,110,169.0,429,66,66,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.001874542187935044
