,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415842,0.0059348288170859576,0.02849004430475688,5,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.5104207847279045
2,2,-15.570935203473734,0.004178662057892524,0.024311382246864355,7,26.0,66,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.01671577718723297
3,3,-15.575216182049312,0.004280978575577521,0.020030403671286834,9,39.0,99,17,21,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.05567593715771204
4,4,-15.579277222736515,0.0040610406872030325,0.0159693629840838,8,52.0,132,22,22,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.024557225727563026
5,5,-15.583848267372641,0.004571044636126231,0.01139831834795757,87,65.0,165,26,29,"d_q_exc_[10, 11]_[12, 13]","[[10, 11], [12, 13]]",1.6226256675667485
6,6,-15.586451265286247,0.0026029979136055204,0.00879532043435205,17,78.0,198,31,35,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.009123695224458236
7,7,-15.589290142121362,0.0028388768351153004,0.005956443599236749,51,91.0,231,33,35,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.035870805505674695
8,8,-15.591809952964635,0.002519810843272907,0.003436632755963842,19,104.0,264,44,44,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.05210084640258116
9,9,-15.594185487451247,0.0023755344866120964,0.0010610982693517457,74,117.0,297,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.05254644712558964
10,10,-15.594292296151933,0.00010680870068568993,0.0009542895686660557,42,130.0,330,60,61,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.026357305027093596
11,11,-15.594361897893435,6.96017415027228e-05,0.0008846878271633329,152,133.0,337,60,62,s_q_exc_3_11,"[3, 11]",0.028362486705575115
12,12,-15.594430637618956,6.873972552057239e-05,0.0008159481016427605,25,136.0,344,63,65,s_q_exc_2_10,"[2, 10]",0.07843999023977884
13,13,-15.594487582757983,5.6945139027320124e-05,0.0007590029626154404,24,149.0,377,74,76,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.024871677252591352
14,14,-15.59454802874918,6.0445991197255466e-05,0.000698556971418185,24,162.0,410,74,76,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",-0.07335416652201691
15,15,-15.594593448332104,4.5419582923145185e-05,0.0006531373884950398,67,165.0,417,74,76,s_q_exc_1_3,"[1, 3]",0.06131981259687697
16,16,-15.594636175559778,4.272722767417747e-05,0.0006104101608208623,25,178.0,450,74,86,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0020001042493778777
17,17,-15.594678486348936,4.231078915850617e-05,0.0005680993716623561,77,191.0,483,74,96,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.001998410846198172
18,18,-15.59470833141749,2.9845068553413512e-05,0.0005382543031089426,144,204.0,516,80,96,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.006759364007787197
19,19,-15.594722578786298,1.4247368808284477e-05,0.0005240069343006581,94,207.0,523,80,96,s_q_exc_5_13,"[5, 13]",0.0014908381278511556
20,20,-15.594736706900038,1.4128113740241588e-05,0.0005098788205604166,35,210.0,530,80,96,s_q_exc_4_12,"[4, 12]",0.04993841747975218
21,21,-15.59474826251653,1.1555616492131549e-05,0.000498323204068285,113,223.0,563,80,96,"d_q_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",-0.004030392805554595
22,22,-15.5947612573788,1.2994862268911334e-05,0.0004853283417993737,107,236.0,596,80,96,"d_q_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",0.22605564875523831
