,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.460520785305597,0.0048530117860874356,0.021220284625442787,6,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.038551579273364604
1,2,-15.464172004797188,0.0036512194915907514,0.017569065133852035,8,26.0,66,11,11,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.06888130082651214
2,3,-15.467587588827369,0.0034155840301810514,0.014153481103670984,10,39.0,99,22,22,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.06928934874048373
3,4,-15.472223195304764,0.004635606477394916,0.009517874626276068,67,65.0,165,33,33,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.03036859452179919
4,4,-15.472223195304764,0.004635606477394916,0.009517874626276068,67,65.0,165,33,33,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.030788826274145576
5,5,-15.474529069959003,0.0023058746542385933,0.007211999972037475,14,78.0,198,44,44,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.042462495114999915
6,6,-15.477045598140345,0.0025165281813421814,0.004695471790695294,86,91.0,231,44,44,"d_q_exc_[10, 11]_[12, 13]","[[10, 11], [12, 13]]",-0.14968852047691622
7,7,-15.480887290632133,0.003841692491787896,0.0008537792989073978,29,117.0,297,55,55,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.028934329051967456
8,7,-15.480887290632133,0.003841692491787896,0.0008537792989073978,29,117.0,297,55,55,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.028844027149777345
9,8,-15.481043635375135,0.00015634474300263435,0.0006974345559047634,79,123.0,311,58,59,s_q_exc_3_11,"[3, 11]",-0.12698404454762346
10,8,-15.481043635375135,0.00015634474300263435,0.0006974345559047634,79,123.0,311,58,59,s_q_exc_2_10,"[2, 10]",-0.0027826503891209445
11,9,-15.481139185459904,9.555008476880289e-05,0.0006018844711359606,93,149.0,377,64,69,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.002066751761801694
12,9,-15.481139185459904,9.555008476880289e-05,0.0006018844711359606,93,149.0,377,64,69,"d_q_exc_[0, 3]_[9, 8]","[[0, 3], [9, 8]]",0.0051809280401898875
13,10,-15.481194782768178,5.559730827364717e-05,0.0005462871628623134,138,162.0,410,69,75,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.002345140643553829
14,11,-15.481293122347376,9.833957919802572e-05,0.00044794758366428766,236,188.0,476,75,85,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0020407160407038866
15,11,-15.481293122347376,9.833957919802572e-05,0.00044794758366428766,236,188.0,476,75,85,"d_q_exc_[0, 3]_[7, 6]","[[0, 3], [7, 6]]",0.005230379404511137
16,12,-15.481459542042495,0.00016641969511965726,0.0002815278885446304,95,214.0,542,86,96,"d_q_exc_[3, 10]_[5, 4]","[[3, 10], [5, 4]]",0.008833401967626005
17,12,-15.481459542042495,0.00016641969511965726,0.0002815278885446304,95,214.0,542,86,96,"d_q_exc_[2, 11]_[4, 5]","[[2, 11], [4, 5]]",-0.2381754240071496
18,13,-15.481484753222144,2.5211179648820803e-05,0.0002563167088958096,95,227.0,575,86,96,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.006699672057751403
19,14,-15.481508507199143,2.3753976998719395e-05,0.0002325627318970902,98,240.0,608,86,96,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.0066961568956678775
20,15,-15.481552183649828,4.367645068548143e-05,0.00018888628121160878,86,266.0,674,97,107,"d_q_exc_[2, 11]_[12, 13]","[[2, 11], [12, 13]]",0.03706487251520663
21,15,-15.481552183649828,4.367645068548143e-05,0.00018888628121160878,86,266.0,674,97,107,"d_q_exc_[3, 10]_[13, 12]","[[3, 10], [13, 12]]",0.07258085843569904
22,16,-15.481573428108586,2.12444587575078e-05,0.00016764182245410097,46,279.0,707,97,107,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.010002844612302553
23,17,-15.481597251669985,2.382356139918329e-05,0.00014381826105491768,125,285.0,721,97,107,s_q_exc_4_12,"[4, 12]",0.0019146172535010218
24,17,-15.481597251669985,2.382356139918329e-05,0.00014381826105491768,125,285.0,721,97,107,s_q_exc_5_13,"[5, 13]",-0.0022007651997463028
25,18,-15.481612707824185,1.5456154200066408e-05,0.00012836210685485128,136,311.0,787,97,107,"d_q_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",0.009447388394696147
