,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.192544301979286,0.16833429627804186,0.14425993409765425,7,13.0,33,11,11,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.3208216958722125
1,2,-15.265835554994839,0.07329125301555273,0.07096868108210153,10,39.0,99,17,21,"d_q_exc_[2, 5]_[6, 13]","[[2, 5], [6, 13]]",0.6050850599242411
2,2,-15.265835554994839,0.07329125301555273,0.07096868108210153,10,39.0,99,17,21,"d_q_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",-0.023739359144284943
3,3,-15.284908723292615,0.019073168297776277,0.05189551278432525,10,45.0,113,17,21,s_q_exc_2_6,"[2, 6]",-0.5848534567040307
4,3,-15.284908723292615,0.019073168297776277,0.05189551278432525,10,45.0,113,17,21,s_q_exc_3_7,"[3, 7]",0.2858455070689363
5,4,-15.293250279772986,0.008341556480370826,0.04355395630395442,11,58.0,146,25,26,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.2483429093177007
6,5,-15.300718332740505,0.007468052967519512,0.03608590333643491,12,71.0,179,36,37,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.25637802186399405
7,6,-15.307332116967729,0.006613784227223363,0.029472119109211548,40,84.0,212,47,48,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.36336371919204263
8,7,-15.309245710346595,0.0019135933788660964,0.02755852573034545,18,110.0,278,47,48,"d_q_exc_[5, 12]_[7, 6]","[[5, 12], [7, 6]]",0.8703152052592346
9,7,-15.309245710346595,0.0019135933788660964,0.02755852573034545,18,110.0,278,47,48,"d_q_exc_[4, 13]_[6, 7]","[[4, 13], [6, 7]]",-0.9011281540589817
10,8,-15.312451348543963,0.003205638197368188,0.024352887532977263,64,136.0,344,58,59,"d_q_exc_[2, 7]_[4, 13]","[[2, 7], [4, 13]]",1.2558638939474485
11,8,-15.312451348543963,0.003205638197368188,0.024352887532977263,64,136.0,344,58,59,"d_q_exc_[3, 6]_[5, 12]","[[3, 6], [5, 12]]",0.860093455476633
12,9,-15.317014660414447,0.004563311870484199,0.019789575662493064,103,142.0,358,61,63,s_q_exc_3_7,"[3, 7]",0.12962741189575858
13,9,-15.317014660414447,0.004563311870484199,0.019789575662493064,103,142.0,358,61,63,s_q_exc_2_6,"[2, 6]",0.6450917548668094
14,10,-15.318600945901773,0.001586285487325867,0.018203290175167197,37,155.0,391,61,63,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.13790190680273817
15,11,-15.326940869231324,0.008339923329550913,0.009863366845616284,116,181.0,457,72,74,"d_q_exc_[2, 12]_[6, 4]","[[2, 12], [6, 4]]",-1.0113061847406442
16,11,-15.326940869231324,0.008339923329550913,0.009863366845616284,116,181.0,457,72,74,"d_q_exc_[3, 13]_[7, 5]","[[3, 13], [7, 5]]",0.06270647842288055
17,12,-15.33120045271442,0.004259583483095852,0.005603783362520431,118,194.0,490,83,85,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.3800340895525103
18,13,-15.333871132772835,0.002670680058415087,0.0029331033041053445,187,220.0,556,83,85,"d_q_exc_[4, 13]_[12, 5]","[[4, 13], [12, 5]]",0.16736486236615936
19,13,-15.333871132772835,0.002670680058415087,0.0029331033041053445,187,220.0,556,83,85,"d_q_exc_[5, 12]_[13, 4]","[[5, 12], [13, 4]]",-0.16736486213085267
20,14,-15.33523675603169,0.0013656232588559192,0.0015674800452494253,174,233.0,589,83,89,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.126017273697062
21,15,-15.33567916986197,0.00044241383027987524,0.00112506621496955,100,259.0,655,94,101,"d_q_exc_[2, 7]_[5, 4]","[[2, 7], [5, 4]]",-0.053055076925592456
22,15,-15.33567916986197,0.00044241383027987524,0.00112506621496955,100,259.0,655,94,101,"d_q_exc_[3, 6]_[4, 5]","[[3, 6], [4, 5]]",0.24947643486268428
23,16,-15.33598204639627,0.0003028765342989459,0.0008221896806706042,146,285.0,721,105,107,"d_q_exc_[2, 7]_[5, 12]","[[2, 7], [5, 12]]",-0.015500414074351425
24,16,-15.33598204639627,0.0003028765342989459,0.0008221896806706042,146,285.0,721,105,107,"d_q_exc_[3, 6]_[4, 13]","[[3, 6], [4, 13]]",0.04339128074098214
25,17,-15.336108771723538,0.00012672532726831776,0.0006954643534022864,84,291.0,735,108,110,s_q_exc_0_2,"[0, 2]",-0.011305544604128338
26,17,-15.336108771723538,0.00012672532726831776,0.0006954643534022864,84,291.0,735,108,110,s_q_exc_1_3,"[1, 3]",-0.001205480225503451
27,18,-15.336208265896095,9.949417255761261e-05,0.0005959701808446738,74,317.0,801,113,116,"d_q_exc_[1, 6]_[2, 7]","[[1, 6], [2, 7]]",0.04441153364325005
28,18,-15.336208265896095,9.949417255761261e-05,0.0005959701808446738,74,317.0,801,113,116,"d_q_exc_[0, 7]_[3, 6]","[[0, 7], [3, 6]]",0.01070979494454931
29,19,-15.336433974934172,0.0002257090380766158,0.000370261142768058,81,343.0,867,124,127,"d_q_exc_[2, 5]_[7, 12]","[[2, 5], [7, 12]]",0.050114535721078976
