,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.19254430197931,0.16833429627806318,0.14425993409773596,6,13.0,33,11,11,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.5067699248410504
2,2,-15.227996853964541,0.03545255198523023,0.10880738211250573,101,26.0,66,12,20,"d_q_exc_[2, 5]_[6, 13]","[[2, 5], [6, 13]]",0.4992638754449095
3,3,-15.265835554994844,0.03783870103030296,0.07096868108220278,8,39.0,99,17,21,"d_q_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",1.0765708251052946
4,4,-15.280630697402463,0.014795142407619366,0.05617353867458341,13,42.0,106,17,21,s_q_exc_3_7,"[3, 7]",-0.12430055768001377
5,5,-15.289357772818978,0.008727075416514296,0.047446463258069116,142,55.0,139,22,25,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.2578197648856559
6,6,-15.296268068420627,0.006910295601649352,0.040536167656419764,100,68.0,172,33,35,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.36419113240221584
7,7,-15.302518253204703,0.006250184784075685,0.03428598287234408,12,81.0,205,44,45,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.39110806779931057
8,8,-15.305720053211603,0.0032018000069005126,0.031084182865443566,13,84.0,212,44,45,s_q_exc_4_12,"[4, 12]",-0.6030423220476174
9,9,-15.308511822299554,0.0027917690879508683,0.028292413777492698,19,87.0,219,44,49,s_q_exc_3_7,"[3, 7]",0.07897521852529302
10,10,-15.309655314530987,0.0011434922314332852,0.027148921546059412,82,90.0,226,47,49,s_q_exc_2_6,"[2, 6]",0.6899481772641161
11,11,-15.310714787962134,0.0010594734311464293,0.026089448114912983,115,103.0,259,58,59,"d_q_exc_[2, 4]_[6, 12]","[[2, 4], [6, 12]]",3.383146681839877
12,12,-15.311903121889772,0.0011883339276383964,0.024901114187274587,88,116.0,292,58,60,"d_q_exc_[3, 5]_[7, 13]","[[3, 5], [7, 13]]",-0.9812926379604819
13,13,-15.313211169726161,0.001308047836388937,0.02359306635088565,101,129.0,325,58,71,"d_q_exc_[3, 4]_[6, 13]","[[3, 4], [6, 13]]",-1.594977926183074
14,14,-15.315466825783988,0.002255656057826627,0.021337410293059023,77,142.0,358,69,71,"d_q_exc_[2, 5]_[7, 12]","[[2, 5], [7, 12]]",1.7796759701129516
15,15,-15.317358737659738,0.0018919118757505515,0.01944549841730847,90,145.0,365,69,71,s_q_exc_4_12,"[4, 12]",0.017816044433435003
16,16,-15.319651306664062,0.002292569004323397,0.017152929412985074,56,158.0,398,69,71,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.47613698736562843
17,17,-15.321703391973731,0.0020520853096694935,0.01510084410331558,170,161.0,405,69,71,s_q_exc_5_13,"[5, 13]",-1.92893779365647
18,18,-15.322261113448741,0.0005577214750100978,0.014543122628305483,47,164.0,412,69,75,s_q_exc_3_7,"[3, 7]",-0.8462912050382391
19,19,-15.325768455388348,0.0035073419396063343,0.011035780688699148,48,177.0,445,80,85,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.5059255839385051
20,20,-15.328345206924608,0.0025767515362602467,0.008459029152438902,51,190.0,478,91,92,"d_q_exc_[2, 5]_[6, 13]","[[2, 5], [6, 13]]",2.3686196806166606
21,21,-15.330555700054719,0.002210493130110791,0.0062485360223281106,152,203.0,511,91,92,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-2.5895315741942806
22,22,-15.334259389279428,0.0037036892247090947,0.002544846797619016,241,216.0,544,91,96,"d_q_exc_[3, 5]_[7, 13]","[[3, 5], [7, 13]]",-3.307449841728951
23,23,-15.334742769033092,0.0004833797536640816,0.0020614670439549343,103,229.0,577,91,107,"d_q_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",-1.96319674994313
24,24,-15.335154114848304,0.00041134581521262703,0.0016501212287423073,148,242.0,610,102,117,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.0008642793664971883
25,25,-15.335759641958951,0.0006055271106468751,0.0010445941180954321,126,255.0,643,113,127,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.0008810353979592179
26,26,-15.336010766730979,0.000251124772027822,0.0007934693460676101,87,268.0,676,124,127,"d_q_exc_[2, 4]_[6, 12]","[[2, 4], [6, 12]]",1.3522204043828927
27,27,-15.336290884491866,0.00028011776088732177,0.0005133515851802883,182,281.0,709,135,137,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.47754065709172033
28,28,-15.336336522646638,4.563815477176547e-05,0.00046771343040852287,128,294.0,742,141,146,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.006613372761584833
29,29,-15.336381166769085,4.464412244686855e-05,0.0004230693079616543,152,307.0,775,147,156,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.006608095282900296
30,30,-15.336423571770741,4.240500165586525e-05,0.00038066430630578907,184,310.0,782,147,156,s_q_exc_5_13,"[5, 13]",0.6884792312994132
31,31,-15.336460259773554,3.6688002813534126e-05,0.00034397630349225494,100,323.0,815,153,166,"d_q_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-0.20235771504081282
32,32,-15.33656979912466,0.000109539351106136,0.00023443695238611895,161,336.0,848,153,166,"d_q_exc_[3, 5]_[7, 13]","[[3, 5], [7, 13]]",-0.05807778465336802
