,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415826,0.005934828817073523,0.028490044304744444,5,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.6990336623074095
2,2,-15.57093520347372,0.0041786620578943,0.024311382246850144,7,26.0,66,12,20,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.08854367810812241
3,3,-15.575216182049312,0.004280978575591732,0.020030403671258412,9,39.0,99,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.07262979624673355
4,4,-15.579277222736495,0.0040610406871834925,0.01596936298407492,8,52.0,132,22,22,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.22399905455945499
5,5,-15.582317535773237,0.003040313036741793,0.012929049947333127,12,65.0,165,28,32,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",1.567575875904292
6,6,-15.584936284782513,0.0026187490092759447,0.010310300938057182,19,78.0,198,33,33,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.02235378460735153
7,7,-15.587453002167909,0.002516717385395495,0.007793583552661687,18,91.0,231,44,44,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.27535035945183745
8,8,-15.590201216702736,0.002748214534827653,0.005045369017834034,20,104.0,264,44,44,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.043269376243051716
9,9,-15.592604130798854,0.002402914096117925,0.0026424549217161086,17,117.0,297,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.02005173587454768
10,10,-15.594260925724534,0.0016567949256796055,0.0009856599960365031,61,130.0,330,66,66,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.24757091719266816
11,11,-15.594330794822477,6.986909794370888e-05,0.0009157908980927942,127,133.0,337,69,70,s_q_exc_2_10,"[2, 10]",-0.34506872089070045
12,12,-15.594400011508379,6.921668590109675e-05,0.0008465742121916975,71,136.0,344,69,70,s_q_exc_3_11,"[3, 11]",0.3009599506464598
13,13,-15.594453404299898,5.339279151961307e-05,0.0007931814206720844,194,149.0,377,69,77,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.03779636405063574
14,14,-15.594510864798492,5.746049859389757e-05,0.0007357209220781868,76,162.0,410,80,81,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",-1.4521097037086654
15,15,-15.594554196635347,4.333183685467645e-05,0.0006923890852235104,89,175.0,443,86,91,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0021629735697443115
16,16,-15.594597075763291,4.2879127944317474e-05,0.0006495099572791929,91,188.0,476,92,101,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.014607935163109978
17,17,-15.594638981388703,4.1905625412397285e-05,0.0006076043318667956,143,201.0,509,92,101,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.008987869717005732
18,18,-15.594680451495368,4.147010666422091e-05,0.0005661342252025747,40,214.0,542,92,101,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.010594239984147744
19,19,-15.594720444893412,3.999339804394708e-05,0.0005261408271586276,74,227.0,575,92,101,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0009508675007915563
20,20,-15.594756217172922,3.5772279510126737e-05,0.0004903685476485009,104,240.0,608,92,101,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",4.7828330882520314e-05
21,21,-15.594779626381243,2.3409208321112374e-05,0.00046695933932738853,49,253.0,641,92,101,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.005890143713932281
22,22,-15.594802801724676,2.3175343432768614e-05,0.0004437839958946199,165,266.0,674,92,101,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.007525823943303844
23,23,-15.59493340006452,0.00013059833984385705,0.00031318565605076287,103,279.0,707,103,112,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.11913461646511715
24,24,-15.594947031847505,1.3631782985967789e-05,0.0002995538730647951,58,282.0,714,103,112,s_q_exc_5_13,"[5, 13]",0.005238862695258442
25,25,-15.594960523934658,1.3492087152400245e-05,0.00028606178591239484,70,285.0,721,103,112,s_q_exc_4_12,"[4, 12]",-0.36537171015582626
26,26,-15.594972361207542,1.1837272884562822e-05,0.000274224513027832,79,298.0,754,103,112,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.03421345450863519
27,27,-15.594983332048015,1.0970840472523946e-05,0.00026325367255530807,59,311.0,787,109,122,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.013567487638974585
28,28,-15.594992894943582,9.562895566972429e-06,0.00025369077698833564,72,324.0,820,115,132,"d_q_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0002471961948999658
29,29,-15.595002251554163,9.356610581434666e-06,0.000244334166406901,127,337.0,853,115,132,"d_q_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",0.07423117191820697
30,30,-15.595104129477361,0.000101877923198046,0.00014245624320885497,140,350.0,886,126,143,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.1270214397455882
31,31,-15.59513556171402,3.143223665880157e-05,0.0001110240065500534,97,363.0,919,126,143,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.005007791316818581
32,32,-15.59514168780782,6.126093799352361e-06,0.00010489791275070104,151,376.0,952,126,143,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.027484378545419175
33,33,-15.595180913693127,3.9225885307914155e-05,6.567202744278688e-05,171,389.0,985,137,154,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.0343367519276035
34,34,-15.595187112197085,6.198503957222101e-06,5.947352348556478e-05,192,402.0,1018,148,165,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.09229567270405467
35,35,-15.59519107342439,3.9612273052824776e-06,5.5512296180282306e-05,123,415.0,1051,148,165,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.001964875950109575
36,36,-15.595197154351991,6.080927601459507e-06,4.94313685788228e-05,216,428.0,1084,159,176,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.1901958508799289
37,37,-15.595200598452854,3.4441008622820846e-06,4.5987267716540714e-05,208,441.0,1117,165,186,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.005496867395152753
38,38,-15.595203727947597,3.1294947433480047e-06,4.285777297319271e-05,112,454.0,1150,165,186,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.06573209029739434
39,39,-15.595206748577816,3.020630218841802e-06,3.983714275435091e-05,143,467.0,1183,171,196,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.012678515863255652
40,40,-15.595209753136363,3.004558546848557e-06,3.683258420750235e-05,255,480.0,1216,171,196,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.1437522879009145
41,41,-15.595223343182797,1.3590046433975544e-05,2.3242537773526806e-05,376,493.0,1249,171,200,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",2.054085494493802
