,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.1116666204040353,0.016712460574134003,0.02386797822758746,6,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.12564527582588114
2,2,-2.1167750715193576,0.005108451115322321,0.01875952711226514,8,26.0,66,17,21,"eff_d_f_exc_[1, 2]_[5, 6]","[[1, 2], [5, 6]]",0.04503344947185041
3,3,-2.1219943006244435,0.005219229105085876,0.013540298007179263,10,47.0,101,21,21,"eff_d_f_exc_[0, 3]_[4, 7]","[[0, 3], [4, 7]]",0.045033445622235345
4,4,-2.1251107094931587,0.003116408868715226,0.010423889138464038,12,60.0,134,24,22,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.02732257654050667
5,5,-2.1291599245160735,0.004049215022914776,0.0063746741155492614,12,73.0,167,35,33,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.04849465016006808
6,6,-2.131333590150242,0.0021736656341686533,0.004201008481380608,16,86.0,200,35,33,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.024974411191887452
7,7,-2.1322951388820774,0.0009615487318352933,0.003239459749545315,20,103.0,235,48,44,"eff_d_f_exc_[0, 3]_[5, 6]","[[0, 3], [5, 6]]",-0.022995331547808626
8,8,-2.1333189728386737,0.0010238339565962207,0.002215625792949094,20,120.0,270,48,44,"eff_d_f_exc_[1, 2]_[4, 7]","[[1, 2], [4, 7]]",-0.022995328097506446
9,9,-2.1343443278325585,0.0010253549938847861,0.001190270799064308,87,137.0,305,61,55,"eff_d_f_exc_[0, 2]_[4, 6]","[[0, 2], [4, 6]]",0.02249634059853191
10,10,-2.135429382126237,0.0010850542936786667,0.00010521650538564131,87,154.0,340,61,55,"eff_d_f_exc_[1, 3]_[5, 7]","[[1, 3], [5, 7]]",0.022496343639115735
11,11,-2.135463846830494,3.4464704256720324e-05,7.075180112892099e-05,31,163.0,351,66,63,eff_s_f_exc_4_0,"[0, 4]",0.0057761857500810325
12,12,-2.1354855955275487,2.174869705484639e-05,4.90031040740746e-05,68,172.0,362,66,63,eff_s_f_exc_7_3,"[3, 7]",-0.0033999059196944373
13,13,-2.1355083822207916,2.27866932429599e-05,2.62164108311147e-05,26,181.0,373,66,63,eff_s_f_exc_5_1,"[1, 5]",0.005775764339942756
14,14,-2.1355255228473617,1.714062657010018e-05,9.075784261014519e-06,81,190.0,384,66,63,eff_s_f_exc_6_2,"[2, 6]",-0.0033998974906432073
15,15,-2.1355301066223755,4.583775013777824e-06,4.492009247236695e-06,69,211.0,419,79,74,"eff_d_f_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",0.008290921908000747
16,16,-2.13553438220075,4.275578374457467e-06,2.1643087277922746e-07,149,228.0,454,79,74,"eff_d_f_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.008291193068338112
17,17,-2.1355344473635722,6.516282224922065e-08,1.512680505300068e-07,112,245.0,489,92,85,"eff_d_f_exc_[0, 1]_[3, 6]","[[0, 1], [3, 6]]",0.0011153307502008122
18,18,-2.135534506385159,5.902158672910218e-08,9.224646380090462e-08,30,266.0,524,105,96,"eff_d_f_exc_[0, 1]_[2, 7]","[[0, 1], [2, 7]]",-0.0011152495063364984
19,19,-2.1355345986316716,9.22465126507177e-08,-4.884981308350689e-14,220,279.0,557,105,96,"eff_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.013329614753215563
