,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.1116666204040344,0.016712460574133114,0.02386797822758835,6,6.0,9,4,3,1j [Y2 Y3 Y4 X5],[],-0.12557488260348146
2,2,-2.11671333189702,0.005046711492985523,0.018821266734602826,8,12.0,18,6,5,1j [Y1 Y2 Y5 X6],[],-0.04389190034814661
3,3,-2.121917654255962,0.005204322358942193,0.013616944375660633,10,18.0,27,8,5,1j [Y0 Y3 Y4 X7],[],-0.04428755416148985
4,4,-2.1249568825733283,0.0030392283173661383,0.010577716058294495,19,24.0,36,8,6,1j [Y0 X1 Y6 Y7],[],0.027691201904520082
5,5,-2.1288293854883817,0.0038725029150534773,0.006705213143241018,15,30.0,45,12,8,1j [Y0 X1 Y4 Y5],[],0.049379503279009876
6,6,-2.131064382595329,0.0022349971069473007,0.004470216036293717,16,36.0,54,12,9,1j [Y2 Y3 X6 Y7],[],-0.02442764346775064
7,7,-2.1322052312974757,0.0011408487021467018,0.0033293673341470154,19,42.0,63,16,10,1j [Y0 X3 Y5 Y6],[],-0.024673356122219683
8,8,-2.1334248032349867,0.0012195719375109881,0.0021097953966360272,22,48.0,72,16,12,1j [Y1 X2 Y4 Y7],[],-0.025067831882772132
9,9,-2.134380143683625,0.0009553404486384309,0.0011544549479975963,25,54.0,81,20,13,1j [Y0 Y2 Y4 X6],[],0.02120100392029841
10,10,-2.1351774325886277,0.0007972889050025245,0.0003571660429950718,22,60.0,90,20,15,1j [Y1 Y3 Y5 X7],[],0.018921772230589027
11,11,-2.1352929660073325,0.00011553341870484957,0.00024163262429022225,29,66.0,99,22,18,1j [Y4 X5 X6 X7],[],0.004957764209893077
12,12,-2.1353405804227346,4.7614415402019716e-05,0.00019401820888820254,27,72.0,108,22,18,1j [Y0 Y1 Y2 X3],[],0.003145320696689289
13,13,-2.1354024354753225,6.185505258793356e-05,0.00013216315630026898,77,78.0,117,26,18,1j [Y1 X3 Y4 Y6],[],0.006024332596351396
14,14,-2.1354294617716083,2.7026296285814766e-05,0.00010513686001445421,72,84.0,126,26,21,1j [X0 X2 Y5 X7],[],0.0039072228746717475
15,15,-2.135464690753237,3.5228981628776523e-05,6.990787838567769e-05,85,86.0,131,26,21,1j [Y1 X5],1j [Y1 X5],-0.0057842238858673845
16,16,-2.135499467291615,3.477653837791195e-05,3.5131340007765743e-05,34,88.0,136,28,21,1j [Y0 X4],1j [Y0 X4],0.005851626075555455
17,17,-2.1355116082438457,1.2140952230677016e-05,2.2990387777088728e-05,60,90.0,141,28,24,1j [X3 Y7],1j [X3 Y7],-0.002797709884863546
18,18,-2.1355236339825736,1.2025738727938773e-05,1.0964649049149955e-05,30,92.0,146,28,24,1j [X2 Y6],1j [X2 Y6],0.0029327186746375437
19,19,-2.135524979269118,1.3452865443852602e-06,9.619362504764695e-06,24,98.0,155,32,24,1j [X0 Y2 X3 X5],[],0.0005869921730723231
20,20,-2.1355261472257863,1.1679566682687437e-06,8.451405836495951e-06,24,104.0,164,36,24,1j [X1 Y2 Y3 Y4],[],-0.0008479394415748195
21,21,-2.1355264031457977,2.5592001140495313e-07,8.195485825090998e-06,23,110.0,173,36,27,1j [X1 Y4 X6 X7],[],0.003859599223673212
22,22,-2.1355295119083038,3.1087625060877144e-06,5.0867233190032835e-06,85,116.0,182,38,30,1j [X1 X4 Y6 X7],[],-0.004037137148926954
23,23,-2.135530643281156,1.1313728522921451e-06,3.955350466711138e-06,85,122.0,191,38,33,1j [Y0 Y5 X6 Y7],[],-0.003968054859226548
24,24,-2.1355312924843664,6.492032103011525e-07,3.306147256409986e-06,32,128.0,200,40,33,1j [X0 X1 Y3 X6],[],0.0009483285107327909
25,25,-2.13553437088544,3.078401073608461e-06,2.277461828015248e-07,43,134.0,209,40,36,1j [Y0 X5 Y6 Y7],[],0.003509664467043154
26,26,-2.135534443702909,7.281746894349794e-08,1.5492871385802687e-07,86,140.0,218,42,36,1j [X3 Y4 X5 X6],[],9.444643965313136e-05
27,27,-2.1355344997665946,5.6063685693885645e-08,9.886502816414122e-08,32,146.0,227,42,39,1j [Y0 Y1 Y2 X7],[],0.00020520757286586835
28,28,-2.1355345944110105,9.464441586004568e-08,4.220612304095539e-09,133,152.0,236,46,39,1j [X0 Y1 X3 X6],[],-0.0007028758866301329
29,29,-2.1355345969813797,2.570369250776139e-09,1.6502430533194001e-09,38,158.0,245,46,42,1j [X2 Y4 X5 X7],[],-3.131509228781248e-05
30,30,-2.135534597301628,3.202482723452249e-10,1.3299947809741752e-09,78,164.0,254,46,45,1j [X0 X1 X2 Y7],[],-4.021625321296648e-05
31,31,-2.1355345986316654,1.3300374135383208e-09,-4.263256414560601e-14,79,170.0,263,48,48,1j [X4 X5 Y6 X7],[],-0.0007881975024324325
32,32,-2.1355345986316663,8.881784197001252e-16,-4.3520742565306136e-14,56,176.0,272,52,48,1j [Y0 Y2 X4 Y6],[],4.492939117201724e-09
