,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-2.1116666204040353,0.016712460574134003,0.02386797822758746,6,13.0,33,11,11,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.18182123349069793
1,2,-2.1219943006244457,0.010327680220410418,0.013540298007177043,8,39.0,99,17,21,"d_q_exc_[1, 2]_[5, 6]","[[1, 2], [5, 6]]",-0.045446690747078175
2,2,-2.1219943006244457,0.010327680220410418,0.013540298007177043,8,39.0,99,17,21,"d_q_exc_[0, 3]_[4, 7]","[[0, 3], [4, 7]]",-0.04544669066298309
3,3,-2.126480515436128,0.00448621481168221,0.009054083195494833,12,52.0,132,22,27,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.7967501139163768
4,4,-2.1306536552942807,0.004173139858152819,0.004880943337342014,20,65.0,165,22,27,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.01033917551156304
5,5,-2.1326624745927214,0.002008819298440656,0.002872124038901358,21,91.0,231,33,37,"d_q_exc_[1, 2]_[4, 7]","[[1, 2], [4, 7]]",0.023046831068802422
6,5,-2.1326624745927214,0.002008819298440656,0.002872124038901358,21,91.0,231,33,37,"d_q_exc_[0, 3]_[5, 6]","[[0, 3], [5, 6]]",0.023046831059997535
7,6,-2.134624942520036,0.0019624679273144707,0.0009096561115868873,84,117.0,297,44,47,"d_q_exc_[1, 3]_[5, 7]","[[1, 3], [5, 7]]",0.022565207089873866
8,6,-2.134624942520036,0.0019624679273144707,0.0009096561115868873,84,117.0,297,44,47,"d_q_exc_[0, 2]_[4, 6]","[[0, 2], [4, 6]]",0.022565207064787256
9,7,-2.1354027220237195,0.0007777795036836288,0.0001318766079032585,100,130.0,330,55,55,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.02738317650333673
10,8,-2.13547917936516,7.645734144068328e-05,5.541926646257522e-05,124,156.0,396,66,66,"d_q_exc_[1, 4]_[3, 2]","[[1, 4], [3, 2]]",0.04715827838503609
11,8,-2.13547917936516,7.645734144068328e-05,5.541926646257522e-05,124,156.0,396,66,66,"d_q_exc_[0, 5]_[2, 3]","[[0, 5], [2, 3]]",-0.04721080620201018
12,9,-2.135505254780389,2.6075415228810073e-05,2.934385123376515e-05,157,169.0,429,66,70,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.020595584584974944
13,10,-2.135532412044919,2.7157264530064396e-05,2.1865867037007547e-06,56,195.0,495,66,81,"d_q_exc_[3, 6]_[5, 4]","[[3, 6], [5, 4]]",-0.023537048613712346
14,10,-2.135532412044919,2.7157264530064396e-05,2.1865867037007547e-06,56,195.0,495,66,81,"d_q_exc_[2, 7]_[4, 5]","[[2, 7], [4, 5]]",0.023543579063156926
15,11,-2.1355345709919327,2.1589470136085254e-06,2.763969009222933e-08,202,208.0,528,77,81,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.18050855997345414
16,12,-2.135534598631674,2.7639741162488463e-08,-5.10702591327572e-14,111,221.0,561,77,81,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.04487099843317958
