,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119623435884,0.013985934751609364,0.005642225310015014,234,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.1103404905460303
2,2,-7.8789150016501255,0.001795378214241694,0.0038468470957733203,292,34.0,68,24,22,"eff_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.057014662170293565
3,3,-7.880581566202985,0.0016665645528597395,0.002180282542913581,72,59.0,103,37,33,"eff_d_f_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",0.05710853823637441
4,4,-7.880668708374537,8.714217155159076e-05,0.00209314037136199,240,72.0,136,37,33,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.0004022577363799932
5,5,-7.881251449985322,0.0005827416107848649,0.0015103987605771252,515,85.0,169,48,44,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.028013031006184016
6,6,-7.8818069438595995,0.0005554938742777793,0.0009549048862993459,1017,98.0,202,59,55,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.039891836441947826
7,7,-7.882217915759647,0.00041097190004713013,0.0005439329862522158,985,111.0,235,70,66,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.017393223032203163
8,8,-7.882233950748459,1.6034988812307915e-05,0.0005278979974399078,663,124.0,268,70,66,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0002587342999139455
9,9,-7.882249868462658,1.5917714199176203e-05,0.0005119802832407316,2301,137.0,301,70,66,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0018761852224331308
10,10,-7.882270611904364,2.074344170566178e-05,0.0004912368415350699,985,150.0,334,76,76,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.002628962044905335
11,11,-7.882291346533774,2.07346294098798e-05,0.00047050221212519006,418,167.0,369,80,78,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0023245353200434804
12,12,-7.882311595621149,2.024908737574549e-05,0.00045025312474944457,1763,184.0,404,84,80,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.002629553784546983
13,13,-7.8823318395455955,2.024392444610612e-05,0.00043000920030333845,1347,197.0,437,90,90,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.002324182374393408
14,14,-7.882337633396024,5.793850428759129e-06,0.0004242153498745793,1565,210.0,470,90,90,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0012272145125066106
15,15,-7.882540979277111,0.00020334588108639196,0.00022086946878818736,3060,215.0,481,95,98,eff_s_f_exc_4_2,"[2, 4]",-0.03719335049558036
16,16,-7.882705461220827,0.0001644819437167655,5.638752507142186e-05,1273,220.0,492,95,98,eff_s_f_exc_5_3,"[3, 5]",-0.03718472203694686
17,17,-7.8827314036564315,2.594243560416487e-05,3.044508946725699e-05,762,237.0,503,100,106,eff_s_f_exc_10_2,"[2, 10]",0.004941939584888288
18,18,-7.882733562121291,2.158464859292053e-06,2.828662460796494e-05,1433,262.0,538,104,106,"eff_d_f_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",-0.0009561112043412073
19,19,-7.882735613546433,2.0514251417580454e-06,2.6235199466206893e-05,863,287.0,573,110,116,"eff_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",-0.0009558398821821897
20,20,-7.882737289176327,1.6756298943931824e-06,2.455956957181371e-05,1410,312.0,608,112,116,"eff_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008199312377512613
21,21,-7.882747287112595,9.997936268213437e-06,1.4561633303600274e-05,1060,329.0,619,112,116,eff_s_f_exc_11_3,"[3, 11]",0.0049424932517511
22,22,-7.8827489520715,1.6649589049677616e-06,1.2896674398632513e-05,3085,354.0,654,118,126,"eff_d_f_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.0008204566609423229
23,23,-7.882749819653009,8.675815088565741e-07,1.2029092889775939e-05,1177,375.0,665,120,126,eff_s_f_exc_11_1,"[1, 11]",0.0004970753258795367
24,24,-7.882750678612798,8.589597886299316e-07,1.1170133101146007e-05,1372,396.0,676,124,126,eff_s_f_exc_10_0,"[0, 10]",0.0004966860675445527
25,25,-7.882750985894757,3.072819589888809e-07,1.0862851142157126e-05,3747,409.0,709,130,136,"eff_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0002942167741592616
26,26,-7.882751290867067,3.0497231051640483e-07,1.0557878831640721e-05,3566,426.0,744,134,138,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0009346861567291102
27,27,-7.8827513397847815,4.891771432369296e-08,1.0508961117317028e-05,1017,451.0,779,134,138,"eff_d_f_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",0.00022828807364187555
28,28,-7.882751387916193,4.813141174508928e-08,1.0460829705571939e-05,3733,472.0,814,140,138,"eff_d_f_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.00022976155734978152
29,29,-7.882751492658163,1.0474196976417716e-07,1.0356087735807762e-05,2834,489.0,849,153,140,"eff_d_f_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",0.00397483751351805
30,30,-7.882751596114449,1.0345628620456182e-07,1.02526314496032e-05,2082,502.0,882,153,150,"eff_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.0029918343930849193
31,31,-7.882751712415014,1.1630056473421746e-07,1.0136330884868983e-05,5623,511.0,893,153,150,eff_s_f_exc_5_1,"[1, 5]",0.000297775081743482
32,32,-7.882751821469816,1.0905480163359016e-07,1.0027276083235392e-05,2835,520.0,904,158,150,eff_s_f_exc_4_0,"[0, 4]",0.0003164347556275443
33,33,-7.882751857848628,3.63788128510123e-08,9.99089727038438e-06,3796,549.0,939,171,159,"eff_d_f_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",0.0001363628387133293
34,34,-7.8827518943415384,3.6492910027163816e-08,9.954404360357216e-06,1298,570.0,974,171,160,"eff_d_f_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",0.0003242133788039895
35,35,-7.8827537552273075,1.860885769033871e-06,8.093518591323345e-06,1926,591.0,1009,184,170,"eff_d_f_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",-0.013898813216265416
36,36,-7.88275561846351,1.8632362026593796e-06,6.230282388663966e-06,4839,608.0,1044,184,170,"eff_d_f_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",0.017828353521396816
37,37,-7.882757445813592,1.8273500819177002e-06,4.4029323067462656e-06,2693,629.0,1079,197,181,"eff_d_f_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",-0.017929562927343438
38,38,-7.882759275834841,1.8300212492050605e-06,2.572911057541205e-06,7163,646.0,1114,197,181,"eff_d_f_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",0.013858002380738
39,39,-7.882759365332281,8.949743968145185e-08,2.4834136178597532e-06,1765,663.0,1149,210,192,"eff_d_f_exc_[0, 1]_[2, 5]","[[0, 1], [2, 5]]",0.001048769076615178
40,40,-7.882759455025559,8.969327769392521e-08,2.393720340165828e-06,5861,676.0,1182,221,203,"eff_d_f_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",-0.0007277204430129889
41,41,-7.882759712344788,2.573192290356019e-07,2.136401111130226e-06,9655,701.0,1217,221,206,"eff_d_f_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",-0.005049669387095318
42,42,-7.8827599599922005,2.4764741279881264e-07,1.8887536983314135e-06,7673,722.0,1252,234,214,"eff_d_f_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",0.017077783822971065
43,43,-7.882760431788934,4.717967332368289e-07,1.4169569650945846e-06,6572,735.0,1285,234,214,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.0005273799069776475
44,44,-7.8827604684517825,3.666284875691872e-08,1.3802941163376659e-06,10873,748.0,1318,234,217,"eff_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.0017266332555483943
45,45,-7.882760507489406,3.903762380019771e-08,1.3412564925374681e-06,3715,765.0,1353,247,225,"eff_d_f_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",-0.0027102886223770626
46,46,-7.882760510092944,2.60353782977063e-09,1.3386529547076975e-06,5296,794.0,1388,260,236,"eff_d_f_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",3.218828914595372e-05
47,47,-7.882760511985515,1.8925705447259134e-09,1.3367603841629716e-06,12660,819.0,1423,273,247,"eff_d_f_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",-0.00016287277942074482
48,48,-7.882760526635013,1.4649498503160885e-08,1.3221108856598107e-06,10908,832.0,1456,284,258,"eff_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.0022982949431837557
49,49,-7.882761730605411,1.2039703980448735e-06,1.1814048761493723e-07,15149,845.0,1489,284,258,"eff_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.4718704177358375
