,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.8771196234358785,0.013985934751604034,0.0056422253100203434,6,13.0,33,11,11,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.11036543100703604
2,2,-7.880581565166615,0.0034619417307366618,0.0021802835792836817,8,59.0,103,37,33,"spin_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.03366564038184433
3,3,-7.88066870733895,8.714217233496413e-05,0.0020931414069487175,10,72.0,136,37,33,"spin_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.003939484017741219
4,4,-7.881251449024681,0.0005827416857311363,0.0015103997212175813,14,85.0,169,48,44,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.027955647632504393
5,5,-7.881806942965788,0.0005554939411069881,0.0009549057801105931,15,98.0,202,59,55,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.027966476556904523
6,6,-7.8822179144019024,0.00041097143611423803,0.0005439343439963551,60,111.0,235,70,66,"spin_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.034127857484167835
7,7,-7.882257200653834,3.928625193161395e-05,0.0005046480920647411,15,141.0,303,80,78,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0031659100782670943
8,8,-7.882295915910791,3.871525695675615e-05,0.000465932835107985,17,171.0,371,90,90,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.003166118367405284
9,9,-7.882663591383583,0.0003676754727921505,9.825736231583448e-05,18,181.0,393,95,98,spin_s_f_exc_5_3,"[3, 5]",-0.036305510336147706
10,10,-7.882681731971601,1.8140588018411563e-05,8.011677429742292e-05,86,194.0,426,95,98,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0018592825350808217
11,11,-7.882699737422669,1.8005451067892864e-05,6.211132322953006e-05,85,207.0,459,95,98,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0018591085753999024
12,12,-7.882735450929727,3.571350705744436e-05,2.6397816172085697e-05,103,241.0,481,100,106,spin_s_f_exc_11_3,"[3, 11]",0.004093344411234651
13,13,-7.882741338804123,5.887874396037773e-06,2.0509941776047924e-05,174,254.0,514,100,106,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0011528743314746963
14,14,-7.8827456240398766,4.285235753798133e-06,1.622470602224979e-05,110,304.0,584,110,116,"spin_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",-0.009069850785883727
15,15,-7.882748951826416,3.327786539664146e-06,1.2896919482585645e-05,73,354.0,654,118,126,"spin_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008166963945561692
16,16,-7.882750678748479,1.7269220631277449e-06,1.11699974194579e-05,228,396.0,676,124,126,spin_s_f_exc_11_1,"[1, 11]",0.0005827989151774382
