,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.737007162912997,0.026177262964768744,0.06183599654220817,6,46.0,70,26,22,"spin_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.23220809081721075
2,2,-7.775439354216633,0.03843219130363629,0.023403805238571884,52,59.0,103,37,33,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.18813364273644173
3,3,-7.793048793160637,0.01760943894400402,0.005794366294567865,80,72.0,136,48,44,"spin_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.34713647698132016
4,4,-7.796117897635152,0.0030691044745143614,0.002725261820053504,90,82.0,158,53,52,spin_s_f_exc_5_3,"[3, 5]",-0.14715064442475628
5,5,-7.798356788385061,0.0022388907499095723,0.00048637107014393166,52,116.0,180,58,60,spin_s_f_exc_11_3,"[3, 11]",0.07412368023951174
6,6,-7.798404624823536,4.783643847439123e-05,0.00043853463166954043,57,146.0,248,68,72,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0030381211628247476
7,7,-7.798451794884928,4.717006139198787e-05,0.00039136457027755256,52,176.0,316,78,84,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.003037928139773466
8,8,-7.798478686823063,2.689193813498747e-05,0.0003644726321425651,84,189.0,349,78,84,"spin_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.004142196584703788
9,9,-7.798498149360606,1.9462537543368796e-05,0.0003450100945991963,74,202.0,382,78,84,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0019718818084185612
10,10,-7.798517491919135,1.9342558529089615e-05,0.0003256675360701067,49,215.0,415,78,84,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.001971898453695566
11,11,-7.798539092555395,2.160063626011066e-05,0.000304066899809996,94,257.0,437,84,84,spin_s_f_exc_11_1,"[1, 11]",0.0014636549846718816
12,12,-7.798561963029426,2.2870474031044807e-05,0.0002811964257789512,117,307.0,507,94,94,"spin_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",-0.00385448219087389
13,13,-7.7985807014631945,1.8738433768206164e-05,0.00026245799201074504,74,357.0,577,104,104,"spin_d_f_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",0.0024541771995176707
14,14,-7.798594158019816,1.3456556621882498e-05,0.00024900143538886255,68,387.0,645,114,116,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.001731105920273924
15,15,-7.798604530242876,1.0372223059995633e-05,0.0002386292123288669,56,400.0,678,114,116,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.002807529840094949
16,16,-7.798674382766263,6.985252338687076e-05,0.00016877668894199616,49,413.0,711,125,127,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.012344491644757727
17,17,-7.798742453051082,6.807028481858879e-05,0.00010070640412340737,85,426.0,744,136,138,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.012345436480270356
18,18,-7.798772588550299,3.013549921693226e-05,7.057090490647511e-05,85,464.0,814,142,138,"spin_d_f_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",0.006276862590116211
19,19,-7.798802337215641,2.974866534266596e-05,4.082223956380915e-05,96,502.0,884,148,138,"spin_d_f_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",0.0062768193551507884
20,20,-7.798803049511711,7.12296069238505e-07,4.0109943494570643e-05,34,548.0,954,166,151,"spin_d_f_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.0011423547599115392
21,21,-7.798826067802018,2.3018290307597056e-05,1.7091653186973588e-05,46,586.0,1024,179,162,"spin_d_f_exc_[1, 10]_[4, 11]","[[1, 10], [4, 11]]",-0.010763930924859577
22,22,-7.79882810977712,2.0419751018962984e-06,1.504967808507729e-05,49,636.0,1094,192,173,"spin_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008601823081256312
23,23,-7.798829834915245,1.725138124797354e-06,1.3324539960279935e-05,71,666.0,1162,205,184,"spin_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.0007040757699233553
24,24,-7.798836393639052,6.5587238067266185e-06,6.765816153553317e-06,63,704.0,1232,218,195,"spin_d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",0.003656250909136202
25,25,-7.7988364544121875,6.077313585706179e-08,6.705043017696255e-06,48,722.0,1254,223,203,spin_s_f_exc_5_1,"[1, 5]",0.0001463311227421599
26,26,-7.798836525469617,7.105742927393521e-08,6.63398558842232e-06,75,776.0,1324,249,225,"spin_d_f_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",0.001449130441597693
27,27,-7.798836594121275,6.865165858016553e-08,6.565333929842154e-06,107,789.0,1357,260,236,"spin_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.005942690590657245
28,28,-7.798836597346449,3.225173905718748e-09,6.5621087559364355e-06,58,819.0,1425,284,258,"spin_d_f_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",0.000770597153811979
29,29,-7.798836597355468,9.018563673635072e-12,6.562099737372762e-06,66,837.0,1447,289,266,spin_s_f_exc_5_1,"[1, 5]",-8.275030741362139e-07
