,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.7370071629129935,0.026177262854257144,0.061835996542211724,6,46.0,70,26,22,"spin_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.23217881016948233
2,2,-7.775439354216629,0.0384321913036354,0.023403805238576325,79,59.0,103,37,33,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.18818679229704693
3,3,-7.7930487931606205,0.017609438943991584,0.005794366294584741,57,72.0,136,48,44,"spin_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.34712595401722846
4,4,-7.796117897635153,0.003069104474532125,0.0027252618200526157,91,82.0,158,53,52,spin_s_f_exc_5_3,"[[3], [5]]",-0.14711978966399147
5,5,-7.798356788385068,0.0022388907499157895,0.00048637107013682623,46,116.0,180,58,60,spin_s_f_exc_11_3,"[[3], [11]]",0.07413398032600854
6,6,-7.7984046248235455,4.7836438477055765e-05,0.00043853463165977047,83,146.0,248,68,72,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.003541222994415795
7,7,-7.79845179488493,4.7170061384882445e-05,0.000391364570274888,75,176.0,316,78,84,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0035408401652107053
8,8,-7.798478686823068,2.6891938137652005e-05,0.000364472632137236,59,189.0,349,78,84,"spin_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.002797624336824137
9,9,-7.798498149360631,1.946253756290872e-05,0.0003450100945743273,78,202.0,382,78,84,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0019247340415144392
10,10,-7.7985174919191955,1.9342558564616752e-05,0.00032566753600971055,69,215.0,415,78,84,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0019248557035478793
11,11,-7.798539092555377,2.1600636181062782e-05,0.00030406689982864776,81,257.0,437,84,84,spin_s_f_exc_11_1,"[[1], [11]]",0.0015197103803159843
12,12,-7.798561963029206,2.2870473829428306e-05,0.00028119642599921946,61,307.0,507,94,94,"spin_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.0012057086478663127
13,13,-7.798580701463265,1.8738434058640507e-05,0.00026245799194057895,47,357.0,577,104,104,"spin_d_f_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-0.0002740090422884533
14,14,-7.798594158020095,1.3456556830604427e-05,0.0002490014351099745,93,387.0,645,114,116,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0013896780843650823
15,15,-7.798604530242496,1.0372222400967246e-05,0.00023862921270900728,47,400.0,678,114,116,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0025356345509710125
16,16,-7.798674382766251,6.985252375457662e-05,0.00016877668895443065,70,413.0,711,125,127,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.012347727975309794
17,17,-7.798742453051113,6.807028486210953e-05,0.00010070640409232112,82,426.0,744,136,138,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.012348669757612663
18,18,-7.7987725885503885,3.0135499275552036e-05,7.057090481676909e-05,61,464.0,814,142,138,"spin_d_f_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",0.00427364572111616
19,19,-7.798802337215507,2.9748665118844997e-05,4.082223969792409e-05,63,502.0,884,148,138,"spin_d_f_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",0.004272308509780282
20,20,-7.798803049511647,7.122961394046001e-07,4.010994355851949e-05,78,548.0,954,166,151,"spin_d_f_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.00014559102588999613
21,21,-7.798826067801795,2.301829014861312e-05,1.709165340990637e-05,74,586.0,1024,179,162,"spin_d_f_exc_[1, 10]_[4, 11]","[[1, 10], [4, 11]]",0.0008211644454636368
22,22,-7.798828109777044,2.0419752484457376e-06,1.5049678161460633e-05,49,636.0,1094,192,173,"spin_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008529889508955017
23,23,-7.798829834915185,1.725138141672744e-06,1.332454001978789e-05,69,666.0,1162,205,184,"spin_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",4.079561940231392e-05
24,24,-7.798836393639191,6.5587240056785845e-06,6.765816014109305e-06,90,704.0,1232,218,195,"spin_d_f_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",0.0036904114981834643
25,25,-7.798842861685666,6.4680464753053e-06,2.977695388040047e-07,99,717.0,1265,218,195,"spin_d_f_exc_[4, 11]_[10, 5]","[[4, 11], [10, 5]]",0.012858869669922963
26,26,-7.798842923450076,6.17644095868286e-08,2.360051292171761e-07,43,735.0,1287,223,203,spin_s_f_exc_5_1,"[[1], [5]]",0.00013390535793429697
27,27,-7.798842995140907,7.16908310494091e-08,1.64314298167767e-07,79,789.0,1357,249,225,"spin_d_f_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",0.0024804043656829313
28,28,-7.798843061418324,6.627741733211678e-08,9.803688083565021e-08,100,802.0,1390,260,236,"spin_d_f_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.004094664733114092
29,29,-7.798843065834249,4.415924514944436e-09,9.362095632070577e-08,105,832.0,1458,284,258,"spin_d_f_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",0.002597223135438866
30,30,-7.798843082231501,1.6397252444733112e-08,7.722370387597266e-08,57,882.0,1528,297,269,"spin_d_f_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-0.0015953997628979065
31,31,-7.798843111193641,2.8962139353438943e-08,4.826156452253372e-08,93,895.0,1561,297,269,"spin_d_f_exc_[2, 11]_[10, 3]","[[2, 11], [10, 3]]",-0.010594971300842422
