,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.779421404002884,0.012059268016390234,0.005038876264233494,6,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.09657879357802923
2,2,-7.780631944698348,0.0012105406954638909,0.003828335568769603,8,34.0,68,24,22,"eff_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.04350806356628148
3,3,-7.781764171963528,0.0011322272651801413,0.0026961083035894617,54,59.0,103,37,33,"eff_d_f_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.043564763796167
4,4,-7.782689018219677,0.0009248462561490811,0.0017712620474403806,12,72.0,136,48,44,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.03656248588392693
5,5,-7.783566783220087,0.0008777650004105908,0.0008934970470297898,127,85.0,169,59,55,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.036586845731972156
6,6,-7.783637876455936,7.109323584852945e-05,0.0008224038111812604,127,98.0,202,59,55,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.003231825464228868
7,7,-7.783690464251664,5.2587795727809805e-05,0.0007698160154534506,15,119.0,237,65,65,"eff_d_f_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",0.0058751193235082756
8,8,-7.783743149960558,5.2685708894273375e-05,0.0007171303065591772,77,148.0,272,69,65,"eff_d_f_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",-0.0005674928673043201
9,9,-7.7839280085155504,0.00018485855499239534,0.0005322717515667819,62,161.0,305,80,76,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.0006693901485026796
10,10,-7.783944049279781,1.6040764230673688e-05,0.0005162309873361082,63,186.0,340,80,76,"eff_d_f_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",0.005040291311003027
11,11,-7.783972380669518,2.833138973645788e-05,0.0004878995975996503,81,199.0,373,86,86,"eff_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0029328532038922846
12,12,-7.7839881288766595,1.574820714189684e-05,0.00047215139045775345,25,220.0,408,86,86,"eff_d_f_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.0012350625283988966
13,13,-7.784015820075466,2.769119880685622e-05,0.00044446019165089723,64,237.0,443,90,88,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.02501885501900197
14,14,-7.784029693335332,1.3873259865349041e-05,0.0004305869317855482,87,250.0,476,90,88,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.00020069077814486027
15,15,-7.784043451747188,1.3758411856024111e-05,0.0004168285199295241,78,263.0,509,90,88,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.00020063366212769954
16,16,-7.784063294105624,1.984235843632831e-05,0.00039698616149319577,40,288.0,544,98,98,"eff_d_f_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",0.005892693201547209
17,17,-7.784083205861445,1.9911755821055976e-05,0.0003770744056721398,84,313.0,579,98,98,"eff_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",0.0028199276400597832
18,18,-7.7841040371086105,2.0831247165453703e-05,0.0003562431585066861,79,330.0,614,111,100,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0035109419376913946
19,19,-7.784124857176513,2.0820067902604933e-05,0.00033542309060408115,89,343.0,647,111,110,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.002752630097401109
20,20,-7.784144967726474,2.011054996042816e-05,0.000315312540643653,96,360.0,682,124,112,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.0035118602270487595
21,21,-7.784165074069719,2.0106343245451797e-05,0.0002952061973982012,82,373.0,715,124,122,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0027533210720077036
22,22,-7.784169356510237,4.282440517755504e-06,0.0002909237568804457,108,386.0,748,135,122,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.01688110986356302
23,23,-7.784314383420643,0.00014502691040618743,0.00014589684647425827,72,391.0,759,135,130,eff_s_f_exc_4_2,"[2, 4]",-0.030302732813992934
24,24,-7.784438888522027,0.00012450510138428683,2.1391745089971437e-05,55,396.0,770,135,130,eff_s_f_exc_5_3,"[3, 5]",0.017515259088892423
25,25,-7.784444358238576,5.4697165490225075e-06,1.592202854094893e-05,78,421.0,805,135,140,"eff_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",-0.022018985902414825
26,26,-7.784449842048687,5.483810110895604e-06,1.0438218430053325e-05,82,446.0,840,148,140,"eff_d_f_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",-0.0014339999044047365
27,27,-7.784450596250686,7.542019986317428e-07,9.684016431421583e-06,236,467.0,851,153,140,eff_s_f_exc_10_0,"[0, 10]",-0.0005721905742165335
28,28,-7.784451344129657,7.478789711967693e-07,8.936137460224813e-06,98,488.0,862,153,140,eff_s_f_exc_11_1,"[1, 11]",-0.0003709718397601972
29,29,-7.7844519571921715,6.130625145317481e-07,8.323074945693065e-06,62,505.0,897,166,151,"eff_d_f_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",-0.00017187552967572458
30,30,-7.784452557813886,6.006217141418801e-07,7.722453231551185e-06,52,518.0,930,166,152,"eff_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.0002112518351910842
31,31,-7.784453027070649,4.6925676322473464e-07,7.2531964683264505e-06,59,527.0,941,171,159,eff_s_f_exc_4_0,"[0, 4]",0.007932238408002692
32,32,-7.784453482844503,4.5577385421324834e-07,6.797422614113202e-06,105,536.0,952,171,159,eff_s_f_exc_5_1,"[1, 5]",-0.010660524967943834
