,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119623435888,0.013985934751621798,0.0056422253100105735,6,6.0,9,4,3,1j [Y2 Y3 Y10 X11],[],-0.11171995763717266
2,2,-7.878887998607646,0.0017683751717578744,0.003873850138252699,8,12.0,18,8,5,1j [Y2 Y3 Y5 X10],[],0.05646316759197252
3,3,-7.880525932752602,0.0016379341449557216,0.0022359159932969774,60,18.0,27,12,6,1j [Y2 X3 Y4 Y11],[],0.05655449240317152
4,4,-7.880612764382969,8.683163036682373e-05,0.0021490843629301537,9,24.0,36,12,6,1j [Y0 X1 Y4 Y5],[],0.003848222003437021
5,5,-7.881177241373205,0.0005644769902364288,0.0015846073726937249,13,30.0,45,16,8,1j [Y2 X3 Y4 Y5],[],0.02961977632379258
6,6,-7.881650775418211,0.0004735340450059411,0.0011110733276877838,14,36.0,54,20,10,1j [Y2 Y3 Y8 X9],[],-0.027052126527243515
7,7,-7.882107920745092,0.0004571453268811254,0.0006539280008066584,14,42.0,63,24,12,1j [Y2 X3 Y6 Y7],[],0.014207821995510775
8,8,-7.882124205760435,1.62850153424543e-05,0.0006376429854642041,135,48.0,72,24,12,1j [X0 X1 Y6 X7],[],0.0018678449135113469
9,9,-7.882140112036332,1.590627589731497e-05,0.0006217367095668891,66,54.0,81,24,12,1j [Y0 X1 Y8 Y9],[],-0.0003692217381662401
10,10,-7.882167833976447,2.7721940115021937e-05,0.0005940147694518672,21,60.0,90,24,12,1j [Y6 X7 X10 X11],[],-0.0008831114562973757
11,11,-7.882195638380695,2.7804404248321646e-05,0.0005662103652035455,21,66.0,99,24,12,1j [Y8 Y9 X10 Y11],[],-0.0029963397740938964
12,12,-7.882215943075821,2.0304695126149852e-05,0.0005459056700773957,22,72.0,108,28,14,1j [Y0 Y3 Y8 X9],[],-9.790073504248629e-05
13,13,-7.882236227652872,2.0284577050944108e-05,0.0005256210930264515,24,78.0,117,28,14,1j [Y1 Y2 Y6 X7],[],-1.892014504101252e-05
14,14,-7.882256070229696,1.9842576823414504e-05,0.000505778516203037,101,84.0,126,28,16,1j [X1 X2 Y8 X9],[],0.0009720966149540796
15,15,-7.882275892530901,1.982230120489703e-05,0.00048595621499814,26,90.0,135,32,16,1j [X0 X3 Y6 X7],[],-0.0016990196989390225
16,16,-7.882281693404998,5.800874097516839e-06,0.0004801553409006232,24,96.0,144,32,16,1j [Y0 Y1 X10 Y11],[],0.0015721396693470972
17,17,-7.882457963143553,0.00017626973855477956,0.0003038856023458436,33,98.0,149,32,18,1j [X2 Y4],1j [X2 Y4],0.037763417091262456
18,18,-7.882614595382696,0.00015663223914330615,0.00014725336320253746,101,100.0,154,34,18,1j [X3 Y5],1j [X3 Y5],-0.03888508049502575
19,19,-7.882634288562142,1.9693179445390285e-05,0.00012756018375714717,32,106.0,163,36,20,1j [X3 X4 Y10 X11],[],0.0026546119670349108
20,20,-7.882649323803692,1.503524155044289e-05,0.00011252494220670428,117,112.0,172,36,21,1j [Y2 X5 X10 X11],[],0.003168456538130094
21,21,-7.882668608375333,1.9284571640909576e-05,9.32403705657947e-05,46,114.0,177,36,21,1j [X4 Y10],1j [X4 Y10],0.004736806329103786
22,22,-7.882686685181069,1.8076805735844914e-05,7.516356482994979e-05,104,116.0,182,36,24,1j [X5 Y11],1j [X5 Y11],-0.004513757568908957
23,23,-7.882692604537923,5.919356854455771e-06,6.924420797549402e-05,89,122.0,191,36,27,1j [Y4 X6 Y7 Y11],[],0.00040234818430396984
24,24,-7.882698599015963,5.99447803928399e-06,6.324972993621003e-05,53,128.0,200,36,30,1j [Y4 Y8 Y9 X11],[],-0.0016286637405347742
25,25,-7.882704407416973,5.8084010108316875e-06,5.744132892537834e-05,101,134.0,209,36,30,1j [X5 Y8 Y9 Y10],[],0.001346171129915028
26,26,-7.882710183677773,5.776260799450483e-06,5.166506812592786e-05,54,140.0,218,36,30,1j [Y5 X6 Y7 Y10],[],-0.0004833628372133768
27,27,-7.882712564208567,2.3805307938218334e-06,4.9284537332106026e-05,31,146.0,227,36,33,1j [Y1 X2 X4 X11],[],0.00011475608136526008
28,28,-7.882724875240746,1.2311032179468384e-05,3.697350515263764e-05,120,148.0,232,36,33,1j [Y2 X10],1j [Y2 X10],0.0053679932414844155
29,29,-7.882727244679867,2.3694391204642784e-06,3.4604066032173364e-05,111,154.0,241,40,33,1j [Y0 X3 X5 X10],[],0.0016403025196230219
30,30,-7.882729111444216,1.8667643493230912e-06,3.273730168285027e-05,31,160.0,250,44,36,1j [X1 X3 X5 Y11],[],-9.729857241409892e-05
31,31,-7.882730983766418,1.8723222021677088e-06,3.0864979480682564e-05,30,166.0,259,44,36,1j [X0 X2 X4 Y10],[],-2.986479618256415e-05
32,32,-7.882732630786844,1.6470204258212107e-06,2.9217959054861353e-05,85,172.0,268,44,36,1j [X4 X5 Y8 X9],[],0.00010020010650799357
33,33,-7.882736422031006,3.7912441621656967e-06,2.5426714892695657e-05,41,178.0,277,44,39,1j [X2 X4 X5 Y11],[],-0.0007304814979563972
34,34,-7.882737952166692,1.5301356857122528e-06,2.3896579206983404e-05,35,184.0,286,44,39,1j [Y4 Y5 Y6 X7],[],-5.754153548233084e-06
35,35,-7.882739106988203,1.1548215113066362e-06,2.2741757695676768e-05,35,190.0,295,44,39,1j [Y6 X7 Y8 Y9],[],-5.75607058073496e-05
36,36,-7.882741095759491,1.9887712880972686e-06,2.07529864075795e-05,89,196.0,304,46,39,1j [X3 X4 Y5 X10],[],-0.002210537603570388
37,37,-7.882741747505768,6.517462765032178e-07,2.010124013107628e-05,87,198.0,309,46,42,1j [Y1 X11],1j [Y1 X11],-0.0003550727978860987
38,38,-7.882742280821632,5.333158643594516e-07,1.956792426671683e-05,106,200.0,314,46,42,1j [Y0 X10],1j [Y0 X10],0.0006515982910383915
39,39,-7.882744017692659,1.7368710265586174e-06,1.7831053240158212e-05,71,202.0,319,48,45,1j [Y3 X11],1j [Y3 X11],-0.0018023866648069632
40,40,-7.882744150931899,1.3323924008545873e-07,1.7697814000072754e-05,106,208.0,328,52,45,1j [Y0 X1 Y3 Y4],[],-0.00040661281535907403
41,41,-7.882745168793316,1.017861417373922e-06,1.667995258269883e-05,81,214.0,337,54,45,1j [Y3 Y4 Y6 X7],[],0.00023957860277832975
42,42,-7.882746111911251,9.43117934859572e-07,1.573683464783926e-05,104,220.0,346,54,45,1j [X2 Y5 Y6 Y7],[],-0.000192270578938618
43,43,-7.882746231322562,1.1941131106141256e-07,1.5617423336777847e-05,87,226.0,355,54,45,1j [X0 Y1 Y2 Y5],[],0.00020887879128175118
44,44,-7.882746472575717,2.4125315523093604e-07,1.537617018154691e-05,30,232.0,364,54,48,1j [Y1 Y2 X10 Y11],[],0.00045646307191453736
45,45,-7.882747352649822,8.800741051473437e-07,1.4496096076399567e-05,160,238.0,373,56,48,1j [Y3 Y4 Y8 X9],[],0.0006394321947537093
46,46,-7.882747562909423,2.1025960084131157e-07,1.4285836475558256e-05,57,244.0,382,60,51,1j [Y0 Y3 Y10 X11],[],3.875562984976097e-05
47,47,-7.8827483299158265,7.670064032794244e-07,1.3518830072278831e-05,92,250.0,391,60,51,1j [X2 Y5 Y8 Y9],[],0.0010882447227876008
48,48,-7.882748385964959,5.604913244638965e-08,1.3462780939832442e-05,206,256.0,400,60,51,1j [X0 X1 X5 Y10],[],-0.003530384072823075
49,49,-7.882748544447703,1.5848274426133457e-07,1.3304298195571107e-05,47,258.0,405,60,51,1j [Y1 X5],1j [Y1 X5],-0.0003255666469142487
50,50,-7.882748584451182,4.0003478751771127e-08,1.3264294716819336e-05,28,264.0,414,60,54,1j [Y0 Y1 X4 Y11],[],-0.0006015789036103523
51,51,-7.882748694934215,1.1048303338867527e-07,1.315381168343066e-05,45,266.0,419,60,54,1j [X0 Y4],1j [X0 Y4],-0.0001243724516923741
52,52,-7.8827487847834865,8.98492711343124e-08,1.3063962412296348e-05,83,272.0,428,64,54,1j [Y1 Y2 Y4 X5],[],-0.0005845416187237152
