,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.87711962343588,0.013985934751609,0.005642225310016,22,6,9,4,3,1j [Y2 Y3 Y10 X11],[],-0.111859436136694
2,2,-7.87888799860763,0.001768375171747,0.003873850138269,244,12,18,8,5,1j [Y2 Y3 Y5 X10],[],0.05639721966429
3,3,-7.8805259327526,0.001637934144966,0.002235915993303,247,18,27,12,6,1j [Y2 X3 Y4 Y11],[],0.056862731296179
4,4,-7.88061276438295,8.68316303588301E-05,0.002149084362944,198,24,36,12,6,1j [Y0 X1 Y4 Y5],[],-0.003065423116307
5,5,-7.88117724137319,0.000564476990232,0.001584607372712,177,30,45,16,8,1j [Y2 X3 Y4 Y5],[],0.028846363774187
6,6,-7.88165077541813,0.000473534044938,0.001111073327774,98,36,54,20,10,1j [Y2 Y3 Y8 X9],[],-0.014176388372987
7,7,-7.88210792074504,0.000457145326917,0.000653928000857,155,42,63,24,12,1j [Y2 X3 Y6 Y7],[],0.027233188647275
8,8,-7.88212420576041,1.62850153637706E-05,0.000637642985494,162,48,72,24,12,1j [Y0 Y1 Y6 X7],[],-0.001927446024042
9,9,-7.88214011203631,1.59062758999795E-05,0.000621736709594,255,54,81,24,12,1j [Y0 X1 Y8 Y9],[],0.00190157571455
10,10,-7.8821678339764,2.7721940095482E-05,0.000594014769498,374,60,90,24,12,1j [Y6 X7 X10 X11],[],-0.003034754781294
11,11,-7.88219563838064,2.7804404240328E-05,0.000566210365258,366,66,99,24,12,1j [Y8 Y9 Y10 X11],[],-0.001883455048227
12,12,-7.88221594307581,2.03046951696706E-05,0.000545905670088,576,72,108,24,14,1j [Y1 Y2 Y8 X9],[],-0.000350906386097
13,13,-7.88223622765283,2.02845770234106E-05,0.000525621093065,467,78,117,28,14,1j [Y0 Y3 Y6 X7],[],-1.66978342110313E-05
14,14,-7.88225607022967,1.98425768340726E-05,0.000505778516231,434,84,126,32,16,1j [X0 X3 Y8 X9],[],-0.001355221374662
15,15,-7.88227589253088,1.9822301214667E-05,0.000485956215016,988,90,135,32,16,1j [X1 X2 Y6 X7],[],-0.000170015334472
16,16,-7.88228169340496,5.80087407620056E-06,0.00048015534094,470,96,144,32,16,1j [Y0 Y1 Y10 X11],[],-0.001354663310931
17,17,-7.88245796558265,0.000176272177695,0.000303883163244,2046,98,149,32,18,1j [X2 Y4],1j [X2 Y4],0.037992947394132
18,18,-7.88261456554479,0.000156599962137,0.000147283201107,1022,100,154,34,18,1j [X3 Y5],1j [X3 Y5],-0.038314146706691
19,19,-7.8826343191803,1.9753635504216E-05,0.000127529565603,758,106,163,36,20,1j [X3 X4 Y10 X11],[],0.001694911371861
20,20,-7.88264929927568,1.49800953854751E-05,0.000112549470217,1234,112,172,36,21,1j [Y2 X5 X10 X11],[],0.004112873689828
21,21,-7.88266845948645,1.91602107699751E-05,9.33892594474628E-05,853,114,177,36,21,1j [X4 Y10],1j [X4 Y10],0.004791385506333
22,22,-7.88268664860593,1.81891194825923E-05,7.52001399648705E-05,1130,116,182,36,24,1j [X5 Y11],1j [X5 Y11],-0.00462641914893
23,23,-7.8826926087392,5.96013326337186E-06,6.92400067014987E-05,1752,122,191,36,27,1j [X4 Y8 Y9 Y11],[],-0.001785531763183
24,24,-7.88269863847051,6.02973130892082E-06,6.32102753925778E-05,1458,128,200,36,30,1j [Y4 X6 Y7 Y11],[],0.001751830427066
25,25,-7.88270437043827,5.7319677591039E-06,5.74783076334739E-05,974,134,209,36,30,1j [Y5 Y8 Y9 X10],[],0.001575687254397
26,26,-7.88271015350536,5.78306709542176E-06,5.16952405380522E-05,982,140,218,36,30,1j [Y5 X6 Y7 Y10],[],-0.001860627928839
27,27,-7.88271253433322,2.38082785841698E-06,4.93144126796352E-05,3116,146,227,36,33,1j [Y1 X2 X4 X11],[],0.000144514464972
28,28,-7.88272485845049,1.23241172733657E-05,3.69902954062695E-05,992,148,232,36,33,1j [Y2 X10],1j [Y2 X10],0.005075625655051
29,29,-7.88272722756472,2.36911422923924E-06,3.46211811770303E-05,3478,154,241,40,33,1j [Y0 X3 X5 X10],[],0.000158945822549
30,30,-7.88272909342083,1.86585611228196E-06,3.27553250647483E-05,1090,160,250,44,36,1j [X1 X3 X5 Y11],[],3.79062418601413E-05
31,31,-7.88273096531548,1.87189464284643E-06,3.08834304219019E-05,1025,166,259,44,36,1j [X0 X2 X4 Y10],[],-7.94991664370407E-05
32,32,-7.88273261030975,1.64499426791309E-06,2.92384361539888E-05,1600,172,268,44,36,1j [X4 X5 Y8 X9],[],0.000797399616137
33,33,-7.8827363880725,3.77776275684027E-06,2.54606733971485E-05,1227,178,277,44,39,1j [X2 X4 X5 Y11],[],0.000680071299958
34,34,-7.88273791765819,1.52958568477857E-06,2.393108771237E-05,1514,184,286,44,39,1j [Y4 Y5 Y6 X7],[],0.000845495099213
35,35,-7.88273908796549,1.17030730528711E-06,2.27607804070828E-05,2370,190,295,44,39,1j [Y6 X7 Y8 Y9],[],-5.63911863761998E-05
36,36,-7.88274109651788,2.0085523875224E-06,2.07522280195604E-05,1522,196,304,46,39,1j [X3 X4 Y5 X10],[],-0.000173700765487
37,37,-7.88274174842741,6.51909531690365E-07,2.01003184878701E-05,1211,198,309,46,42,1j [Y1 X11],1j [Y1 X11],-0.000623652250111
38,38,-7.88274228159311,5.33165703586747E-07,1.95671527842833E-05,1002,200,314,46,42,1j [Y0 X10],1j [Y0 X10],0.000667189577635
39,39,-7.88274402361166,1.7420185463024E-06,1.78251342379809E-05,2052,202,319,48,45,1j [Y3 X11],1j [Y3 X11],-0.002126444555478
40,40,-7.88274506513728,1.04152562130366E-06,1.67836086166773E-05,1724,208,328,50,45,1j [Y3 Y4 Y6 X7],[],0.00235277159435
41,41,-7.8827451995875,1.34450216293658E-07,1.66491584003836E-05,1120,214,337,50,45,1j [X0 Y1 Y2 Y5],[],-0.000113340678722
42,42,-7.88274612512121,9.25533710116611E-07,1.5723624690267E-05,1850,220,346,50,45,1j [X2 Y5 Y6 Y7],[],0.001544581145131
43,43,-7.8827463666558,2.41534594991322E-07,1.54820900952757E-05,4457,226,355,50,48,1j [Y1 Y2 X10 Y11],[],0.001009864949695
44,44,-7.88274647865512,1.11999313823219E-07,1.53700907814525E-05,1566,232,364,54,48,1j [Y0 X1 Y3 Y4],[],-0.000530465167644
45,45,-7.88274734316739,8.64512275988716E-07,1.45055785054637E-05,2446,238,373,54,48,1j [X2 X5 Y8 X9],[],-2.22197226018213E-05
46,46,-7.88274755377773,2.10610334505645E-07,1.42949681709581E-05,2989,244,382,58,51,1j [Y0 Y3 Y10 X11],[],-0.001137478635865
47,47,-7.88274827996599,7.26188258859395E-07,1.35687799120987E-05,5010,250,391,60,51,1j [Y3 Y4 Y8 X9],[],7.83344295598321E-05
48,48,-7.88274834277081,6.28048226758438E-08,1.35059750894229E-05,2002,256,400,60,54,1j [Y0 Y1 X4 Y11],[],-0.001884490992193
49,49,-7.88274850460354,1.61832729439482E-07,1.33441423599834E-05,1532,258,405,60,54,1j [Y1 X5],1j [Y1 X5],-0.000238922956692
50,50,-7.88274861612087,1.11517329592914E-07,1.32326250303905E-05,2446,260,410,60,54,1j [X0 Y4],1j [X0 Y4],-4.74100005773295E-05
51,51,-7.88274914356754,5.27446672116128E-07,1.27051783582743E-05,4772,266,419,64,57,1j [X0 X1 Y4 X11],[],-0.008759154471259
52,52,-7.88274920575738,6.21898346153671E-08,1.2642988523659E-05,3080,272,428,64,60,1j [Y0 Y1 Y2 X11],[],0.000986625742165
53,53,-7.88274929599974,9.02423602511249E-08,1.25527461634078E-05,2697,278,437,68,60,1j [Y1 Y2 Y4 X5],[],0.000171416299924
54,54,-7.88274936806764,7.20679071974928E-08,1.24806782562104E-05,2578,284,446,70,63,1j [X4 Y5 X10 X11],[],0.00083371405883
55,55,-7.88274944490503,7.68373844550752E-08,1.24038408717553E-05,2909,290,455,74,63,1j [X1 X4 Y6 X7],[],0.005702999891542
56,56,-7.88275008542518,6.40520151584667E-07,1.17633207201706E-05,2960,296,464,74,63,1j [Y0 X3 Y6 Y7],[],0.000798869729492
57,57,-7.88275015805363,7.26284516971987E-08,1.16906922684734E-05,2716,302,473,74,63,1j [X0 X5 Y6 X7],[],0.003519673528441
58,58,-7.88275078426648,6.26212852239405E-07,1.1064479416234E-05,3542,308,482,74,63,1j [Y0 Y3 Y8 X9],[],0.002057186750964
59,59,-7.88275141439478,6.30128300649346E-07,1.04343511155847E-05,2320,314,491,74,63,1j [Y1 X2 Y8 Y9],[],0.001650054628169
60,60,-7.88275148833893,7.39441476937941E-08,1.03604069678909E-05,2792,320,500,78,63,1j [X1 X4 Y8 X9],[],0.00564785896604
61,61,-7.88275204507391,5.56734977230633E-07,9.80367199066023E-06,3719,326,509,78,63,1j [Y1 Y2 Y6 X7],[],-0.001891617280438
62,62,-7.88275210997522,6.49013136566623E-08,9.73877067700357E-06,2498,332,518,82,63,1j [Y0 Y3 X4 Y5],[],0.002856931878886
