,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.7442579579568225,0.033428058008594164,0.054585201498400515,6,6.0,9,4,3,1j [Y2 Y3 Y10 X11],[],-0.2076513002815302
2,2,-7.76094933053237,0.016691372575547092,0.03789382892285342,7,12.0,18,8,5,1j [Y2 Y3 Y5 X10],[],0.23517952512012824
3,3,-7.77234902369177,0.011399693159400037,0.026494135763453386,7,18.0,27,12,6,1j [Y2 X3 Y4 Y11],[],0.27281345555112585
4,4,-7.792984444020087,0.020635420328317444,0.005858715435135942,76,24.0,36,16,8,1j [Y2 X3 Y4 Y5],[],0.18777711290674434
5,5,-7.7930327057272395,4.82617071524416e-05,0.0058104537279835,64,30.0,45,16,8,1j [Y0 Y1 X4 Y5],[],-0.0026722267115209908
6,6,-7.793878278467552,0.0008455727403129387,0.004964880987670561,13,32.0,50,18,11,1j [X3 Y5],1j [X3 Y5],-0.22648273960561252
7,7,-7.794174080636093,0.0002958021685408596,0.004669078819129702,148,38.0,59,18,13,1j [X2 X5 Y10 X11],[],-0.07465263053469125
8,8,-7.794533794669673,0.0003597140335793725,0.004309364785550329,14,44.0,68,18,15,1j [X2 X4 X5 Y11],[],-0.0638396770222752
9,9,-7.795787976041823,0.001254181372150498,0.0030551834133998312,65,46.0,73,18,15,1j [Y2 X4],1j [Y2 X4],-0.22817345884482493
10,10,-7.796702294299303,0.0009143182574797848,0.0021408651559200464,18,52.0,82,22,15,1j [Y3 Y4 X10 Y11],[],-0.03260944212162538
11,11,-7.797533900685738,0.0008316063864350909,0.0013092587694849556,19,58.0,91,26,17,1j [Y3 X4 Y5 Y10],[],0.07427869956014241
12,12,-7.797551307935027,1.740724928911419e-05,0.0012918515201958414,15,64.0,100,26,17,1j [X0 Y1 Y8 Y9],[],0.0019472872782241028
13,13,-7.7975686080422975,1.7300107270301623e-05,0.0012745514129255398,63,70.0,109,26,17,1j [X0 Y1 Y6 Y7],[],0.0012910216944068836
14,14,-7.798067354829308,0.0004987467870103401,0.0007758046259151996,97,76.0,118,30,20,1j [Y2 X3 X4 X5],[],-0.07039170083737907
15,15,-7.798077416903734,1.0062074426109291e-05,0.0007657425514890903,84,82.0,127,30,20,1j [Y0 Y1 X10 Y11],[],-0.0029626429865576447
16,16,-7.7981010258800945,2.3608976360556255e-05,0.0007421335751285341,27,88.0,136,30,20,1j [X1 X2 Y8 X9],[],0.00042902766496729435
17,17,-7.7981244444082165,2.341852812204337e-05,0.0007187150470064907,30,94.0,145,30,20,1j [Y1 Y2 Y6 X7],[],0.0001172342984902577
18,18,-7.798146991817479,2.254740926233012e-05,0.0006961676377441606,26,100.0,154,34,22,1j [Y1 Y2 Y4 X11],[],0.0016926044828133855
19,19,-7.798166243469488,1.9251652009444342e-05,0.0006769159857347162,31,106.0,163,34,22,1j [X0 X3 Y8 X9],[],-0.0002129095209534684
20,20,-7.798185295454796,1.9051985307605435e-05,0.0006578640004271108,32,112.0,172,34,22,1j [Y0 Y3 Y6 X7],[],0.00041315966505367524
21,21,-7.798202318268345,1.7022813548983606e-05,0.0006408411868781272,94,118.0,181,38,22,1j [Y0 Y3 Y5 X10],[],-0.0005551270178166996
22,22,-7.798215969283547,1.3651015201787686e-05,0.0006271901716763395,93,124.0,190,38,24,1j [Y1 X2 Y10 Y11],[],0.0008953786219985648
23,23,-7.798247400514785,3.1431231238165935e-05,0.0005957589404381736,104,130.0,199,42,26,1j [Y2 Y3 Y6 X7],[],-0.00478770203396867
24,24,-7.798281412841303,3.4012326517895985e-05,0.0005617466139202776,198,136.0,208,46,28,1j [X2 Y3 Y6 Y7],[],0.0029780493076634815
25,25,-7.798294058965847,1.2646124543991277e-05,0.0005491004893762863,36,142.0,217,50,28,1j [Y0 X3 Y10 Y11],[],-0.0023026628726103473
26,26,-7.7983246651667075,3.060620086081656e-05,0.0005184942885154697,143,148.0,226,54,30,1j [Y2 X3 Y8 Y9],[],0.005429890960067319
27,27,-7.798357525256872,3.28600901644549e-05,0.00048563419835101485,42,154.0,235,58,32,1j [X2 X3 Y8 X9],[],0.004579915185946004
28,28,-7.798361729996726,4.204739854074546e-06,0.0004814294584969403,224,160.0,244,60,35,1j [X0 X1 X2 Y3],[],-0.0023152946532961575
29,29,-7.798371388510104,9.658513377530653e-06,0.00047177094511940965,59,166.0,253,60,36,1j [X1 X2 Y5 X10],[],0.003959319241923734
30,30,-7.798380223006873,8.834496769694056e-06,0.0004629364483497156,95,172.0,262,60,38,1j [Y1 X2 Y6 Y7],[],0.0002501974802356655
31,31,-7.798388977950114,8.754943240596447e-06,0.00045418150510911914,143,178.0,271,60,40,1j [X1 Y2 Y8 Y9],[],0.002720863691605297
32,32,-7.7985119363731235,0.00012295842300957815,0.000331223082099541,91,180.0,276,62,40,1j [X3 Y11],1j [X3 Y11],-0.03059579870573825
33,33,-7.798519060986093,7.124612969811039e-06,0.00032409846912972995,146,186.0,285,66,40,1j [X0 X3 X4 Y11],[],0.0009581721358984832
34,34,-7.798525528698546,6.467712452717933e-06,0.000317630756677012,115,192.0,294,70,41,1j [X0 X3 Y6 X7],[],-0.0025237601233329423
35,35,-7.798532065108427,6.5364098809084226e-06,0.0003110943467961036,78,198.0,303,74,43,1j [X0 Y3 Y8 Y9],[],-0.0026136546636266246
36,36,-7.798737780912902,0.00020571580447548143,0.00010537854232062216,49,200.0,308,74,43,1j [Y2 X10],1j [Y2 X10],0.07661878902323101
37,37,-7.7987418873749625,4.106462060171623e-06,0.00010127208026045054,66,206.0,317,74,43,1j [X0 Y5 Y10 Y11],[],-0.00128334048803774
38,38,-7.798744814402358,2.927027395571713e-06,9.834505286487882e-05,100,208.0,322,74,43,1j [Y1 X5],1j [Y1 X5],-0.0011548825938685876
39,39,-7.798747026628248,2.21222588958625e-06,9.613282697529257e-05,75,214.0,331,74,43,1j [Y1 X4 Y8 Y9],[],0.003360468867492898
40,40,-7.7987595033048205,1.2476676572781287e-05,8.365615040251129e-05,70,220.0,340,74,43,1j [Y1 Y4 Y8 X9],[],-0.0009799378314312981
41,41,-7.798761672018263,2.168713442607384e-06,8.14874369599039e-05,74,226.0,349,74,43,1j [Y1 X4 Y6 Y7],[],0.003368424422919368
42,42,-7.798773992946397,1.2320928133746634e-05,6.916650882615727e-05,50,232.0,358,74,43,1j [Y1 Y4 Y6 X7],[],-0.002566419728689413
43,43,-7.798776169213413,2.1762670163738562e-06,6.699024180978341e-05,52,238.0,367,74,44,1j [X0 Y2 X5 X11],[],0.0030711244914063225
44,44,-7.798780543123673,4.373910259758418e-06,6.2616331550025e-05,56,244.0,376,74,44,1j [X4 X5 X10 Y11],[],0.0056268461016446385
45,45,-7.798783010007385,2.4668837124153242e-06,6.014944783760967e-05,115,250.0,385,78,45,1j [Y1 X3 X5 X11],[],-0.002928808443753424
46,46,-7.798784614790226,1.6047828408360942e-06,5.8544664996773577e-05,119,256.0,394,78,45,1j [X1 X4 Y5 X10],[],0.002236316015915693
47,47,-7.798786186644147,1.5718539208009474e-06,5.697281107597263e-05,106,258.0,399,78,45,1j [X0 Y10],1j [X0 Y10],-0.0016235177112009272
48,48,-7.798787251396368,1.0647522206141957e-06,5.5908058855358433e-05,106,264.0,408,78,45,1j [Y0 Y1 Y4 X5],[],-0.0021200985450773335
49,49,-7.798788656991088,1.4055947206159658e-06,5.450246413474247e-05,89,270.0,417,78,48,1j [Y0 X4 X5 X11],[],0.0019633040669534167
50,50,-7.798791414138264,2.7571471754583854e-06,5.174531695928408e-05,150,276.0,426,78,48,1j [X2 X5 Y6 X7],[],0.0007137864746277772
51,51,-7.798793885315847,2.4711775834518335e-06,4.927413937583225e-05,201,282.0,435,78,48,1j [X2 Y5 Y8 Y9],[],0.0004384044932682454
52,52,-7.798808232003315,1.434668746824741e-05,3.492745190758484e-05,108,284.0,440,78,48,1j [Y4 X10],1j [Y4 X10],0.006808033056252912
53,53,-7.798810316926172,2.0849228565822386e-06,3.28425290510026e-05,119,290.0,449,78,48,1j [Y1 Y4 X5 Y10],[],-0.002447230527748118
54,54,-7.798811491989831,1.1750636588203633e-06,3.166746539218224e-05,133,292.0,454,78,51,1j [X1 Y11],1j [X1 Y11],0.0010882904318580886
55,55,-7.798812263926302,7.719364711888943e-07,3.089552892099334e-05,164,298.0,463,78,54,1j [X0 Y6 Y7 Y11],[],-0.003135587577608506
56,56,-7.798817666990881,5.403064578857197e-06,2.5492464342136145e-05,126,304.0,472,78,57,1j [X0 X6 Y7 X11],[],-0.0031177486219052105
