,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.87711962343588,0.013985934751605,0.005642225310037,167,13,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.109956124267059
2,2,-7.87891500165008,0.001795378214204,0.003846847095834,337,26,66,22,22,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.056722224224654
3,3,-7.88058156620296,0.001666564552873,0.002180282542961,542,39,99,33,33,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.067034897633474
4,4,-7.88066870837458,8.71421716190923E-05,0.002093140371342,636,52,132,33,33,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003905846028971
5,5,-7.88125144998523,0.000582741610652,0.00151039876069,551,65,165,44,44,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.028198115737719
6,6,-7.88180694385956,0.000555493874332,0.000954904886358,194,78,198,55,55,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.028117648110824
7,7,-7.8822179157596,0.000410971900037,0.000543932986321,562,91,231,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.01437391042018
8,8,-7.88223395074869,1.60349890894196E-05,0.000527897997231,667,104,264,66,66,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.001986746725147
9,9,-7.88224986846264,1.59177139531508E-05,0.000511980283278,376,117,297,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.001990787671114
10,10,-7.8822706119043,2.0743441662141E-05,0.000491236841616,1034,130,330,72,76,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.001997108622682
11,11,-7.88229134653323,2.07346289338162E-05,0.000470502212682,288,143,363,72,76,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.001332325561116
12,12,-7.88231159561991,2.02490866767491E-05,0.000450253126005,2005,156,396,72,80,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.001338772314552
13,13,-7.88233183954558,2.02439256646869E-05,0.000430009200341,2028,169,429,78,86,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.001904008343492
14,14,-7.8823376333958,5.79385022714263E-06,0.000424215350114,930,182,462,78,86,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.001001889709628
15,15,-7.88254177088763,0.000204137491827,0.000220077858287,546,185,469,81,90,s_q_exc_2_4,"[2, 4]",0.037752533158677
16,16,-7.88272437467219,0.000182603784561,3.74740737258961E-05,1965,188,476,81,90,s_q_exc_3_5,"[3, 5]",-0.03812516844017
17,17,-7.88273971583615,1.5341163956073E-05,2.21329097698231E-05,1799,191,483,84,94,s_q_exc_2_10,"[2, 10]",-0.005625817612754
18,18,-7.88274201819748,2.30236133003103E-06,1.9830548439792E-05,1114,204,516,90,104,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.000963583904515
19,19,-7.8827443222468,2.30404932644035E-06,1.75264991133517E-05,895,217,549,90,104,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.005717775028555
20,20,-7.88274611984108,1.79759427432202E-06,1.57289048390297E-05,1970,230,582,90,104,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.000828456299468
21,21,-7.88274791237952,1.79253844656557E-06,1.39363663924641E-05,2991,243,615,96,114,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.000800380102132
22,22,-7.88274876168386,8.4930433441599E-07,1.30870620580481E-05,1106,246,622,96,114,s_q_exc_1_11,"[1, 11]",0.000523277479708
23,23,-7.88274947471719,7.1303332838113E-07,1.2374028729667E-05,3937,249,629,96,114,s_q_exc_0_10,"[0, 10]",-0.000799660447
24,24,-7.88274979002499,3.15307807419174E-07,1.20587209222478E-05,2743,262,662,102,124,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.000213893197308
25,25,-7.88275005649596,2.66470967957844E-07,1.179224995429E-05,1849,275,695,102,124,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.009681685687368
26,26,-7.8827516657724,1.60927643921838E-06,1.01829735150716E-05,2783,278,702,102,124,s_q_exc_3_11,"[3, 11]",0.001448294215217
27,27,-7.88275183426628,1.68493874852516E-07,1.00144796402191E-05,2539,281,709,102,124,s_q_exc_1_5,"[1, 5]",0.000223345667027
28,28,-7.8827518865305,5.22642213951485E-08,9.96221541882392E-06,842,294,742,113,124,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",5.31452667227453E-05
29,29,-7.88275200939099,1.22860496887256E-07,9.83935492193666E-06,1563,307,775,113,134,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.003310905018367
30,30,-7.88275205855901,4.91680118841487E-08,9.79018691005251E-06,2925,320,808,124,134,"d_q_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",0.000404872375501
31,31,-7.88275216210483,1.03545822582873E-07,9.68664108746964E-06,4535,333,841,135,136,"d_q_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",0.003682341319648
32,32,-7.88275226100129,9.88964643511281E-08,9.58774462311851E-06,2563,336,848,138,140,s_q_exc_0_4,"[0, 4]",0.002788966806414
33,33,-7.88275230038723,3.93859389546947E-08,9.54835868416382E-06,5578,349,881,149,151,"d_q_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",-0.010532094981257
34,34,-7.88275233799211,3.76048783223837E-08,9.51075380584143E-06,3289,362,914,149,151,"d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",0.003289950420015
35,35,-7.88275427865854,1.94066642755786E-06,7.57008737828357E-06,2889,375,947,149,156,"d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.013329067518528
36,36,-7.88275619870839,1.92004985244409E-06,5.65003752583948E-06,6937,388,980,149,167,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.01327231332856
37,37,-7.88275776021903,1.56151063723797E-06,4.08852688860151E-06,2381,401,1013,160,167,"d_q_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",-0.037259153323988
38,38,-7.88275930744059,1.54722155976117E-06,2.54130532884034E-06,7092,414,1046,171,173,"d_q_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",-0.037115929396936
39,39,-7.88275935610017,4.86595794768618E-08,2.49264574936348E-06,5802,427,1079,182,184,"d_q_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",0.000786288502177
40,40,-7.88275962639897,2.70298802007574E-07,2.2223469473559E-06,2910,440,1112,182,188,"d_q_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",0.011591959694918
41,41,-7.8827596415331,1.51341295051566E-08,2.20721281785075E-06,5897,453,1145,193,198,"d_q_exc_[0, 1]_[2, 5]","[[0, 1], [2, 5]]",-0.052411303815908
42,42,-7.88276004319614,4.0166304415834E-07,1.80554977369241E-06,11944,466,1178,204,206,"d_q_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",0.019471444660183
