,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.877119623435893,0.013985934751627127,0.0056422253100008035,6,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.11033939450288231
1,2,-7.880581566203079,0.0034619427671866987,0.002180282542814105,9,39.0,99,28,32,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.05698398343753387
2,2,-7.880581566203079,0.0034619427671866987,0.002180282542814105,9,39.0,99,28,32,"d_q_exc_[3, 2]_[4, 11]","[[3, 2], [4, 11]]",-0.05732520809517464
3,3,-7.880668708374645,8.714217156580162e-05,0.002093140371248303,80,52.0,132,28,32,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003915773378408674
4,4,-7.881251449985466,0.000582741610820392,0.0015103987604279112,13,65.0,165,39,43,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.028010049292039194
5,5,-7.881806943859642,0.000555493874176527,0.0009549048862513843,13,78.0,198,50,54,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.028021169417229225
6,6,-7.882217915759778,0.000410971900135948,0.0005439329861154363,13,91.0,231,61,65,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.03139017108753022
7,7,-7.882233950748927,1.6034989148927536e-05,0.0005278979969665087,24,104.0,264,61,65,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0021217090274751787
8,8,-7.882249868462803,1.5917713875879258e-05,0.0005119802830906295,59,117.0,297,61,65,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.002121319516193217
9,9,-7.8822911540293825,4.128556657967408e-05,0.0004706947165109554,18,143.0,363,67,75,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.003421147814629044
10,9,-7.8822911540293825,4.128556657967408e-05,0.0004706947165109554,18,143.0,363,67,75,"d_q_exc_[1, 2]_[9, 8]","[[1, 2], [9, 8]]",-0.0035506035220592117
11,10,-7.882331839546547,4.0685517164185114e-05,0.0004300091993467703,70,169.0,429,73,85,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.00342135193510341
12,10,-7.882331839546547,4.0685517164185114e-05,0.0004300091993467703,70,169.0,429,73,85,"d_q_exc_[1, 2]_[7, 6]","[[1, 2], [7, 6]]",-0.003551072945642547
13,11,-7.882337633396636,5.793850089474972e-06,0.0004242153492572953,74,182.0,462,73,85,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0012290844228192265
14,12,-7.882724374672847,0.00038674127621085574,3.747407304643957e-05,101,188.0,476,76,89,s_q_exc_2_4,"[2, 4]",-0.038528581457990416
15,12,-7.882724374672847,0.00038674127621085574,3.747407304643957e-05,101,188.0,476,76,89,s_q_exc_3_5,"[3, 5]",0.03897971049612066
16,13,-7.882741306974246,1.6932301399208427e-05,2.0541771647231144e-05,29,194.0,490,79,93,s_q_exc_2_10,"[2, 10]",0.005755202876815314
17,13,-7.882741306974246,1.6932301399208427e-05,2.0541771647231144e-05,29,194.0,490,79,93,s_q_exc_3_11,"[3, 11]",-0.001639538099921524
18,14,-7.882745931382006,4.624407759834526e-06,1.591736388739662e-05,147,220.0,556,85,103,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.0009570458644833416
19,14,-7.882745931382006,4.624407759834526e-06,1.591736388739662e-05,147,220.0,556,85,103,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.0009569066935167765
20,15,-7.8827495281959985,3.5968139924236198e-06,1.2320549894972999e-05,79,246.0,622,91,113,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.008857527398217522
21,15,-7.8827495281959985,3.5968139924236198e-06,1.2320549894972999e-05,79,246.0,622,91,113,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",0.003423331219033033
22,16,-7.8827510818421995,1.5536462010246055e-06,1.0766903693948393e-05,137,252.0,636,91,113,s_q_exc_1_11,"[1, 11]",-0.0005276571447948891
23,16,-7.8827510818421995,1.5536462010246055e-06,1.0766903693948393e-05,137,252.0,636,91,113,s_q_exc_0_10,"[0, 10]",0.0005196832728877846
24,17,-7.882751664140968,5.822987683146152e-07,1.0184604925633778e-05,86,278.0,702,102,123,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0002950990563134189
25,17,-7.882751664140968,5.822987683146152e-07,1.0184604925633778e-05,86,278.0,702,102,123,"d_q_exc_[0, 3]_[11, 10]","[[0, 3], [11, 10]]",0.0002984848527454705
26,18,-7.882751942117987,2.779770191807529e-07,9.906627906453025e-06,124,284.0,716,105,123,s_q_exc_1_5,"[1, 5]",-0.016264238078149616
27,18,-7.882751942117987,2.779770191807529e-07,9.906627906453025e-06,124,284.0,716,105,123,s_q_exc_0_4,"[0, 4]",-0.011827197819832056
28,19,-7.882752044478731,1.0236074388103589e-07,9.804267162571989e-06,86,310.0,782,122,128,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",-9.446949692716319e-05
29,19,-7.882752044478731,1.0236074388103589e-07,9.804267162571989e-06,86,310.0,782,122,128,"d_q_exc_[1, 0]_[5, 10]","[[1, 0], [5, 10]]",0.00045161967586454315
30,20,-7.882752261018141,2.1653941040256086e-07,9.587727752169428e-06,78,336.0,848,133,139,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.008672994688781101
31,20,-7.882752261018141,2.1653941040256086e-07,9.587727752169428e-06,78,336.0,848,133,139,"d_q_exc_[0, 3]_[5, 4]","[[0, 3], [5, 4]]",-0.0002443567211394347
32,21,-7.8827523380554085,7.703726723207183e-08,9.510690484937356e-06,131,362.0,914,144,150,"d_q_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",-0.000381069865828933
33,21,-7.8827523380554085,7.703726723207183e-08,9.510690484937356e-06,131,362.0,914,144,150,"d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",5.7151669729966596e-05
34,22,-7.882755029955676,2.6919002671377257e-06,6.818790217799631e-06,64,388.0,980,155,161,"d_q_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",-0.0016066471931725837
35,22,-7.882755029955676,2.6919002671377257e-06,6.818790217799631e-06,64,388.0,980,155,161,"d_q_exc_[0, 11]_[8, 9]","[[0, 11], [8, 9]]",0.0038724583706515074
36,23,-7.8827576979142115,2.667958535873538e-06,4.150831681926093e-06,172,414.0,1046,166,172,"d_q_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",-0.001606633595277258
37,23,-7.8827576979142115,2.667958535873538e-06,4.150831681926093e-06,172,414.0,1046,166,172,"d_q_exc_[0, 11]_[6, 7]","[[0, 11], [6, 7]]",0.0038724960267647857
38,24,-7.882758334307159,6.363929472286145e-07,3.514438734697478e-06,96,440.0,1112,177,183,"d_q_exc_[1, 10]_[5, 4]","[[1, 10], [5, 4]]",-0.002860611148451101
39,24,-7.882758334307159,6.363929472286145e-07,3.514438734697478e-06,96,440.0,1112,177,183,"d_q_exc_[0, 11]_[4, 5]","[[0, 11], [4, 5]]",0.0031612707984013015
40,25,-7.882759658410289,1.3241031302513306e-06,2.1903356044461475e-06,133,466.0,1178,188,194,"d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.010896248585955878
41,25,-7.882759658410289,1.3241031302513306e-06,2.1903356044461475e-06,133,466.0,1178,188,194,"d_q_exc_[0, 5]_[9, 8]","[[0, 5], [9, 8]]",-0.006936977284960411
42,26,-7.882760965466184,1.3070558946282063e-06,8.832797098179412e-07,157,492.0,1244,199,205,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.010897287608256733
43,26,-7.882760965466184,1.3070558946282063e-06,8.832797098179412e-07,157,492.0,1244,199,205,"d_q_exc_[0, 5]_[7, 6]","[[0, 5], [7, 6]]",-0.0069374639618425315
44,27,-7.882761036002032,7.053584827332315e-08,8.127438615446181e-07,94,518.0,1310,216,226,"d_q_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",0.0010947353903327875
45,27,-7.882761036002032,7.053584827332315e-08,8.127438615446181e-07,94,518.0,1310,216,226,"d_q_exc_[1, 0]_[2, 5]","[[1, 0], [2, 5]]",-0.0002197031206921201
46,28,-7.8827617340888105,6.980867786055001e-07,1.1465708293911803e-07,138,544.0,1376,227,237,"d_q_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",0.017243455208648114
47,28,-7.8827617340888105,6.980867786055001e-07,1.1465708293911803e-07,138,544.0,1376,227,237,"d_q_exc_[0, 5]_[4, 11]","[[0, 5], [4, 11]]",0.004439276883574151
48,29,-7.882761752042747,1.795393611558893e-08,9.67031468235291e-08,152,570.0,1442,244,258,"d_q_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",0.0013488868138746392
49,29,-7.882761752042747,1.795393611558893e-08,9.67031468235291e-08,152,570.0,1442,244,258,"d_q_exc_[1, 0]_[3, 10]","[[1, 0], [3, 10]]",-0.0005110662335063163
50,30,-7.882761791090893,3.9048146049935895e-08,5.76550007735932e-08,187,596.0,1508,255,269,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",0.008037575469520672
51,30,-7.882761791090893,3.9048146049935895e-08,5.76550007735932e-08,187,596.0,1508,255,269,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.004244193315066843
52,31,-7.8827618262747015,3.518380875533467e-08,2.2471192018258535e-08,122,622.0,1574,266,280,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.008444385614311661
53,31,-7.8827618262747015,3.518380875533467e-08,2.2471192018258535e-08,122,622.0,1574,266,280,"d_q_exc_[0, 3]_[5, 4]","[[0, 3], [5, 4]]",0.0004723636710017456
54,32,-7.882761838146358,1.1871656546702525e-08,1.059953547155601e-08,119,635.0,1607,277,291,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.0021888202481577723
55,33,-7.882761844451129,6.304770927556547e-09,4.294764543999463e-09,158,641.0,1621,280,295,s_q_exc_0_4,"[0, 4]",0.012168485545079577
56,33,-7.882761844451129,6.304770927556547e-09,4.294764543999463e-09,158,641.0,1621,280,295,s_q_exc_1_5,"[1, 5]",0.01600041397434188
57,34,-7.882761846519624,2.0684947088511763e-09,2.226269835148287e-09,306,667.0,1687,291,306,"d_q_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",-0.012133606348717425
58,34,-7.882761846519624,2.0684947088511763e-09,2.226269835148287e-09,306,667.0,1687,291,306,"d_q_exc_[0, 5]_[4, 11]","[[0, 5], [4, 11]]",0.002074436416325742
