,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.8771196234358785,0.013985934751604034,0.0056422253100203434,0,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.13678353603129154
2,2,-7.878915001650168,0.0017953782142896557,0.0038468470957306877,0,16.0,40,11,11,s_q_exc_4_10,"[4, 10]",-0.4298522295002707
3,3,-7.880581566203079,0.0016665645529112538,0.002180282542819434,0,29.0,73,22,22,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.057004534058920635
4,4,-7.881164294635838,0.000582728432758195,0.001597554110061239,0,42.0,106,22,22,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.2874015789690031
5,5,-7.881719776104244,0.0005554814684067821,0.0010420726416544568,0,55.0,139,22,27,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.23397140380424636
6,6,-7.882133592810401,0.000413816706156922,0.0006282559354975348,0,68.0,172,33,33,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.022127332984075557
7,7,-7.882337609897068,0.00020401708666639706,0.0004242388488311377,0,71.0,179,36,37,s_q_exc_2_4,"[2, 4]",-0.012189888500339047
8,8,-7.882520162261161,0.00018255236409370212,0.0002416864847374356,0,74.0,186,36,37,s_q_exc_3_5,"[3, 5]",0.03844556087766011
9,9,-7.882597302358409,7.714009724768545e-05,0.00016454638748975015,0,87.0,219,36,37,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.0008175570761002007
10,10,-7.882619077995307,2.1775636898091477e-05,0.00014277075059165867,0,100.0,252,42,47,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.03879207910435457
11,11,-7.882640586018469,2.1508023161587175e-05,0.00012126272743007149,0,113.0,285,42,47,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.002415860720946879
12,12,-7.882661824999633,2.12389811640179e-05,0.00010002374626605359,0,126.0,318,48,57,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.005873123122857987
13,13,-7.882682802659557,2.0977659923815395e-05,7.90460863422382e-05,0,139.0,351,48,57,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.027767165872143566
14,14,-7.882700894633435,1.8091973878142653e-05,6.0954112464095545e-05,0,152.0,384,48,57,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0020986088729553734
15,15,-7.882718852479832,1.7957846397465005e-05,4.299626606663054e-05,0,165.0,417,55,57,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.00020524213318424815
16,16,-7.882734125277416,1.5272797583953945e-05,2.7723468482676594e-05,0,168.0,424,55,61,s_q_exc_2_10,"[2, 10]",0.00591897240466984
17,17,-7.8827398159775495,5.69070013334283e-06,2.2032768349333764e-05,0,181.0,457,66,66,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.008323385540750962
18,18,-7.882742117311385,2.3013338354971324e-06,1.9731434513836632e-05,0,194.0,490,66,73,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.0009913932939235382
19,19,-7.882744420223403,2.3029120184148155e-06,1.7428522495421817e-05,0,207.0,523,77,77,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.023773697230933297
20,20,-7.882746359671963,1.9394485599733002e-06,1.5489073935448516e-05,0,220.0,556,77,84,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.023521662394346294
21,21,-7.882748274490656,1.9148186929385247e-06,1.3574255242509992e-05,0,233.0,589,79,95,"d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.01714865033461601
22,22,-7.882750093328951,1.8188382950867776e-06,1.1755416947423214e-05,0,246.0,622,90,106,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008223702143751729
23,23,-7.882751886050869,1.79272191758173e-06,9.962695029841484e-06,0,259.0,655,90,106,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.0031165664760180426
24,24,-7.88275350181642,1.6157655506887636e-06,8.34692947915272e-06,0,262.0,662,90,106,s_q_exc_3_11,"[3, 11]",-0.003327750344627661
25,25,-7.882755080990808,1.5791743885884557e-06,6.767755090564265e-06,0,275.0,695,99,106,"d_q_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",0.025438322086334814
26,26,-7.882756642343463,1.5613526551661039e-06,5.206402435398161e-06,0,288.0,728,110,110,"d_q_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",-0.06436690987665787
27,27,-7.88275739303787,7.506944061930199e-07,4.455708029205141e-06,0,291.0,735,110,110,s_q_exc_1_11,"[1, 11]",-0.0005111162059109678
28,28,-7.882758033506229,6.40468359236479e-07,3.815239669968662e-06,0,294.0,742,113,114,s_q_exc_0_10,"[0, 10]",0.0005275946164834172
29,29,-7.882758592739785,5.592335563520123e-07,3.2560061136166496e-06,0,307.0,775,113,121,"d_q_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",0.018296968932105768
30,30,-7.882759347363247,7.54623461496351e-07,2.5013826521202986e-06,0,320.0,808,113,121,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.0020596083238643465
31,31,-7.8827596830877456,3.357244988677621e-07,2.1656581532525365e-06,0,323.0,815,116,121,s_q_exc_0_2,"[0, 2]",-0.007517268934642256
32,32,-7.882759910705098,2.276173525217473e-07,1.9380408007307892e-06,0,336.0,848,127,129,"d_q_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",0.00241264388373658
