,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.744257957956827,0.033428058008598605,0.054585201498396074,6,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.34573033326145997
1,2,-7.775440896154045,0.031182938197217958,0.023402263301178117,9,39.0,99,28,32,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.2871106011278217
2,2,-7.775440896154045,0.031182938197217958,0.023402263301178117,9,39.0,99,28,32,"d_q_exc_[3, 2]_[4, 11]","[[3, 2], [4, 11]]",-0.3381636373549051
3,3,-7.7930540396787125,0.017613143524667585,0.005789119776510532,14,52.0,132,28,32,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-1.0324458509225904
4,4,-7.797297265221212,0.004243225542499118,0.0015458942340114135,27,78.0,198,39,43,"d_q_exc_[3, 4]_[5, 10]","[[3, 4], [5, 10]]",0.5544607965173947
5,4,-7.797297265221212,0.004243225542499118,0.0015458942340114135,27,78.0,198,39,43,"d_q_exc_[2, 5]_[4, 11]","[[2, 5], [4, 11]]",0.6054065027605872
6,5,-7.7983634309227305,0.0010661657015189618,0.0004797285324924516,87,84.0,212,42,47,s_q_exc_2_10,"[2, 10]",0.06361027240371088
7,5,-7.7983634309227305,0.0010661657015189618,0.0004797285324924516,87,84.0,212,42,47,s_q_exc_3_11,"[3, 11]",-0.06346412448783699
8,6,-7.798434735533858,7.130461112758724e-05,0.0004084239213648644,32,97.0,245,53,58,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.012409139286625067
9,7,-7.798504222549514,6.948701565612225e-05,0.00033893690570874213,33,110.0,278,64,69,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.01241014197086538
10,8,-7.798565732933398,6.151038388413355e-05,0.0002774265218246086,32,136.0,344,69,75,"d_q_exc_[0, 4]_[2, 10]","[[0, 4], [2, 10]]",-0.002340872152819235
11,8,-7.798565732933398,6.151038388413355e-05,0.0002774265218246086,32,136.0,344,69,75,"d_q_exc_[1, 5]_[3, 11]","[[1, 5], [3, 11]]",-0.01142328985081665
12,9,-7.798616805751552,5.107281815330822e-05,0.00022635370367130037,105,162.0,410,75,85,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.004800706295812771
13,9,-7.798616805751552,5.107281815330822e-05,0.00022635370367130037,105,162.0,410,75,85,"d_q_exc_[1, 2]_[9, 8]","[[1, 2], [9, 8]]",-0.005542998340020627
14,10,-7.798667182930052,5.037717849987189e-05,0.00017597652517142848,35,188.0,476,81,95,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.004800358718305832
15,10,-7.798667182930052,5.037717849987189e-05,0.00017597652517142848,35,188.0,476,81,95,"d_q_exc_[1, 2]_[7, 6]","[[1, 2], [7, 6]]",-0.005542855475482966
