,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.779421404002884,0.012059268016390234,0.005038876264233494,5,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.064846301838164
2,2,-7.780631944698346,0.0012105406954621145,0.0038283355687713794,7,26.0,66,22,22,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",0.01990045789365904
3,3,-7.781764171963522,0.0011322272651765886,0.002696108303594791,11,39.0,99,33,33,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.021787349648300102
4,4,-7.782689018219687,0.0009248462561641801,0.0017712620474306107,62,52.0,132,44,44,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.03626591619383847
5,5,-7.783566783220082,0.0008777650003954918,0.0008934970470351189,11,65.0,165,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.03628730636479978
6,6,-7.78375281833355,0.00018603511346793056,0.0007074619335671883,15,78.0,198,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.0037601038219174463
7,7,-7.78388815187262,0.00013533353907035917,0.0005721283944968292,11,81.0,205,69,70,s_q_exc_2_4,"[2, 4]",-0.045004119237380374
8,8,-7.784019627289111,0.0001314754164907228,0.00044065297800610637,14,84.0,212,69,70,s_q_exc_3_5,"[3, 5]",0.04264041265304936
9,9,-7.7840804390836436,6.0811794532433794e-05,0.00037984118347367257,15,97.0,245,69,70,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.0031278427249477932
10,10,-7.784135855299812,5.54162161687799e-05,0.0003244249673048927,65,110.0,278,75,80,"d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",0.2852146161738367
11,11,-7.784191215766133,5.536046632048652e-05,0.00026906450098440615,112,123.0,311,75,80,"d_q_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",0.5654488417628527
12,12,-7.7842198551217825,2.8639355649673348e-05,0.0002404251453347328,59,136.0,344,81,90,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.004958039550427201
13,13,-7.784247538532119,2.768341033654309e-05,0.0002127417349981897,178,149.0,377,81,90,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.00286898989494361
14,14,-7.784268613172418,2.1074640298657243e-05,0.00019166709469953247,74,162.0,410,87,100,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.004582483711102652
15,15,-7.784289410965693,2.0797793275129095e-05,0.00017086930142440337,25,175.0,443,93,110,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.004560669528811726
16,16,-7.784309798284377,2.0387318683923183e-05,0.0001504819827404802,24,188.0,476,93,110,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",0.005123147576588918
17,17,-7.784330259290378,2.0461006001504245e-05,0.00013002097673897595,56,201.0,509,99,120,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",0.0044284780607467406
18,18,-7.7843504578139555,2.0198523577263927e-05,0.00010982245316171202,77,214.0,542,99,120,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.007362412671473944
19,19,-7.7843703912386015,1.9933424646012554e-05,8.988902851569947e-05,139,227.0,575,99,120,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.007379551583676221
