INFO 2021-02-14 16:19:20,183 H2, r=1.546 ,UCCSD ansatz
INFO 2021-02-14 16:19:20,183 n_qubits = 4, n_electrons = 2
INFO 2021-02-14 16:19:20,285 QiskitSimBackend result is -0.7075216365305751
INFO 2021-02-14 16:19:21,371 QasmBackend result is -0.9385646243954525 for n_shots=1
INFO 2021-02-14 16:19:21,371 time used = 1.0853726863861084s
INFO 2021-02-14 16:19:22,508 QasmBackend result is -0.6174213137600023 for n_shots=5
INFO 2021-02-14 16:19:22,508 time used = 1.1371104717254639s
INFO 2021-02-14 16:19:23,638 QasmBackend result is -0.658623827974481 for n_shots=10
INFO 2021-02-14 16:19:23,639 time used = 1.1303091049194336s
INFO 2021-02-14 16:19:24,678 QasmBackend result is -0.7541982758186229 for n_shots=50
INFO 2021-02-14 16:19:24,678 time used = 1.0393686294555664s
INFO 2021-02-14 16:19:25,805 QasmBackend result is -0.7304515893701499 for n_shots=100
INFO 2021-02-14 16:19:25,805 time used = 1.1263394355773926s
INFO 2021-02-14 16:19:26,848 QasmBackend result is -0.7582178519558305 for n_shots=200
INFO 2021-02-14 16:19:26,848 time used = 1.0430307388305664s
INFO 2021-02-14 16:19:27,985 QasmBackend result is -0.6941578049837444 for n_shots=500
INFO 2021-02-14 16:19:27,985 time used = 1.136814832687378s
