INFO 2021-03-18 00:17:46,972 H4 molecule, investigate how the landscape should change with noise for first two ansatz elements of H4(r=1), 1000000.0 shots
INFO 2021-03-18 00:17:46,986 Ansatz is [<src.ansatz_elements.DQExc object at 0x7f48fc26b990>, <src.ansatz_elements.DQExc object at 0x7f48f9bc5a50>]
INFO 2021-03-18 00:17:46,986 Noise model generated for prob_1 = 0, prob_2=1e-06, prob_meas=1e-06 time_single_gate=0, time_cx=0, time_meas=0, t1=50000.0, t2=50000.0. No coupling map.
INFO 2021-03-18 00:17:46,986 xlim=0.25, ylim=0.1, pixel number = 50 x 20
INFO 2021-03-18 00:21:28,071 [-0.25, -0.1], qiskitsim_energy=-2.1296744840675745, qiskitsim_time=0.40350842475891113, noisy_energy=-2.129493926742125, noisy_time=220.67548608779907
INFO 2021-03-18 00:25:08,859 [-0.25, -0.08947368421052632], qiskitsim_energy=-2.129706921133113, qiskitsim_time=0.33510327339172363, noisy_energy=-2.1288832217088167, noisy_time=220.44946885108948
INFO 2021-03-18 00:28:49,906 [-0.25, -0.07894736842105264], qiskitsim_energy=-2.1294341672233568, qiskitsim_time=0.33576250076293945, noisy_energy=-2.129681056717122, noisy_time=220.7073049545288
INFO 2021-03-18 00:32:30,840 [-0.25, -0.06842105263157895], qiskitsim_energy=-2.128856110806984, qiskitsim_time=0.3365964889526367, noisy_energy=-2.128892746957831, noisy_time=220.592839717865
INFO 2021-03-18 00:36:12,380 [-0.25, -0.05789473684210527], qiskitsim_energy=-2.1279727730355287, qiskitsim_time=0.3560757637023926, noisy_energy=-2.1277476790388534, noisy_time=221.1799876689911
INFO 2021-03-18 00:39:52,931 [-0.25, -0.04736842105263159], qiskitsim_energy=-2.126784307760091, qiskitsim_time=0.33713388442993164, noisy_energy=-2.1269541375442964, noisy_time=220.20703172683716
INFO 2021-03-18 00:43:33,849 [-0.25, -0.0368421052631579], qiskitsim_energy=-2.1252910014894413, qiskitsim_time=0.33583784103393555, noisy_energy=-2.1255650073600862, noisy_time=220.57795596122742
INFO 2021-03-18 00:47:14,583 [-0.25, -0.026315789473684223], qiskitsim_energy=-2.1234932732896956, qiskitsim_time=0.33673810958862305, noisy_energy=-2.1235941037027732, noisy_time=220.3927779197693
INFO 2021-03-18 00:50:55,337 [-0.25, -0.015789473684210534], qiskitsim_energy=-2.1213916746254524, qiskitsim_time=0.43778085708618164, noisy_energy=-2.1212604320576656, noisy_time=220.31176853179932
INFO 2021-03-18 00:54:36,243 [-0.25, -0.005263157894736845], qiskitsim_energy=-2.118986889142582, qiskitsim_time=0.33731508255004883, noisy_energy=-2.1186006552991303, noisy_time=220.564927816391
INFO 2021-03-18 00:58:16,978 [-0.25, 0.005263157894736831], qiskitsim_energy=-2.1162797323926887, qiskitsim_time=0.4373502731323242, noisy_energy=-2.1161476324392843, noisy_time=220.2937388420105
INFO 2021-03-18 01:01:57,807 [-0.25, 0.01578947368421052], qiskitsim_energy=-2.1132711514993856, qiskitsim_time=0.3372957706451416, noisy_energy=-2.113457061918552, noisy_time=220.48712635040283
INFO 2021-03-18 01:05:38,968 [-0.25, 0.02631578947368421], qiskitsim_energy=-2.1099622247665217, qiskitsim_time=0.33591437339782715, noisy_energy=-2.1101939741336313, noisy_time=220.82076406478882
INFO 2021-03-18 01:09:19,861 [-0.25, 0.0368421052631579], qiskitsim_energy=-2.1063541612285603, qiskitsim_time=0.33840441703796387, noisy_energy=-2.1066292206719632, noisy_time=220.55089044570923
INFO 2021-03-18 01:13:00,901 [-0.25, 0.04736842105263156], qiskitsim_energy=-2.102448300143265, qiskitsim_time=0.4392564296722412, noisy_energy=-2.102549244077956, noisy_time=220.59684252738953
INFO 2021-03-18 01:16:41,579 [-0.25, 0.05789473684210525], qiskitsim_energy=-2.098246110426915, qiskitsim_time=0.33747172355651855, noisy_energy=-2.098648689099352, noisy_time=220.33616995811462
INFO 2021-03-18 01:20:22,678 [-0.25, 0.06842105263157894], qiskitsim_energy=-2.0937491900323657, qiskitsim_time=0.3385274410247803, noisy_energy=-2.093153136849956, noisy_time=220.75562739372253
INFO 2021-03-18 01:24:03,118 [-0.25, 0.07894736842105263], qiskitsim_energy=-2.0889592652701046, qiskitsim_time=0.33772873878479004, noisy_energy=-2.088929621037136, noisy_time=220.09799981117249
INFO 2021-03-18 01:27:43,872 [-0.25, 0.08947368421052632], qiskitsim_energy=-2.0838781900727468, qiskitsim_time=0.45153307914733887, noisy_energy=-2.0841385669225687, noisy_time=220.2982280254364
INFO 2021-03-18 01:31:24,982 [-0.25, 0.1], qiskitsim_energy=-2.078507945203137, qiskitsim_time=0.33705592155456543, noisy_energy=-2.078481136427466, noisy_time=220.76895570755005
INFO 2021-03-18 01:35:06,059 [-0.23979591836734693, -0.1], qiskitsim_energy=-2.1306318353927987, qiskitsim_time=0.337522029876709, noisy_energy=-2.1311337523817815, noisy_time=220.7353253364563
INFO 2021-03-18 01:38:47,505 [-0.23979591836734693, -0.08947368421052632], qiskitsim_energy=-2.1306939374283385, qiskitsim_time=0.4365208148956299, noisy_energy=-2.1302703353674217, noisy_time=221.00552439689636
INFO 2021-03-18 01:42:28,669 [-0.23979591836734693, -0.07894736842105264], qiskitsim_energy=-2.1304496284246404, qiskitsim_time=0.3370664119720459, noisy_energy=-2.130661485134956, noisy_time=220.82223868370056
INFO 2021-03-18 01:46:09,472 [-0.23979591836734693, -0.06842105263157895], qiskitsim_energy=-2.1298987929737834, qiskitsim_time=0.33744359016418457, noisy_energy=-2.129670398072366, noisy_time=220.46146416664124
INFO 2021-03-18 01:49:50,344 [-0.23979591836734693, -0.05789473684210527], qiskitsim_energy=-2.1290414489918037, qiskitsim_time=0.3371613025665283, noisy_energy=-2.129661877635789, noisy_time=220.53106236457825
INFO 2021-03-18 01:53:31,284 [-0.23979591836734693, -0.04736842105263159], qiskitsim_energy=-2.1278777477358464, qiskitsim_time=0.4400649070739746, noisy_energy=-2.1277028986757056, noisy_time=220.49501180648804
INFO 2021-03-18 01:57:12,059 [-0.23979591836734693, -0.0368421052631579], qiskitsim_energy=-2.1264079737624506, qiskitsim_time=0.337921142578125, noisy_energy=-2.126490360852295, noisy_time=220.43284487724304
INFO 2021-03-18 02:00:53,498 [-0.23979591836734693, -0.026315789473684223], qiskitsim_energy=-2.124632544827064, qiskitsim_time=0.337235689163208, noisy_energy=-2.124619000831186, noisy_time=221.09739589691162
INFO 2021-03-18 02:04:34,035 [-0.23979591836734693, -0.015789473684210534], qiskitsim_energy=-2.1225520117247787, qiskitsim_time=0.33536410331726074, noisy_energy=-2.1227645024158184, noisy_time=220.19747757911682
INFO 2021-03-18 02:08:14,855 [-0.23979591836734693, -0.005263157894736845], qiskitsim_energy=-2.120167058072372, qiskitsim_time=0.4333040714263916, noisy_energy=-2.1195114300862516, noisy_time=220.38290190696716
INFO 2021-03-18 02:11:55,986 [-0.23979591836734693, 0.005263157894736831], qiskitsim_energy=-2.1174785000317664, qiskitsim_time=0.3378181457519531, noisy_energy=-2.1176325200869845, noisy_time=220.7888810634613
INFO 2021-03-18 02:15:36,499 [-0.23979591836734693, 0.01578947368421052], qiskitsim_energy=-2.1144872859749824, qiskitsim_time=0.3370838165283203, noisy_energy=-2.1147361193740917, noisy_time=220.17120885849
INFO 2021-03-18 02:19:17,421 [-0.23979591836734693, 0.02631578947368421], qiskitsim_energy=-2.111194496090767, qiskitsim_time=0.33617448806762695, noisy_energy=-2.11059593696455, noisy_time=220.5814619064331
INFO 2021-03-18 02:22:58,705 [-0.23979591836734693, 0.0368421052631579], qiskitsim_energy=-2.1076013419330746, qiskitsim_time=0.35822033882141113, noisy_energy=-2.107847896248918, noisy_time=220.9220314025879
INFO 2021-03-18 02:26:39,685 [-0.23979591836734693, 0.04736842105263156], qiskitsim_energy=-2.103709165911556, qiskitsim_time=0.4335505962371826, noisy_energy=-2.1036744127983695, noisy_time=220.54210710525513
INFO 2021-03-18 02:30:20,735 [-0.23979591836734693, 0.05789473684210525], qiskitsim_energy=-2.0995194407243107, qiskitsim_time=0.3363034725189209, noisy_energy=-2.0994990811925835, noisy_time=220.70898604393005
INFO 2021-03-18 02:34:01,153 [-0.23979591836734693, 0.06842105263157894], qiskitsim_energy=-2.095033768733166, qiskitsim_time=0.3362398147583008, noisy_energy=-2.0947221832015264, noisy_time=220.0776309967041
INFO 2021-03-18 02:37:42,246 [-0.23979591836734693, 0.07894736842105263], qiskitsim_energy=-2.0902538812816878, qiskitsim_time=0.33596181869506836, noisy_energy=-2.090153889759774, noisy_time=220.75258350372314
INFO 2021-03-18 02:41:23,500 [-0.23979591836734693, 0.08947368421052632], qiskitsim_energy=-2.08518163795633, qiskitsim_time=0.33539509773254395, noisy_energy=-2.085659034562775, noisy_time=220.9144570827484
INFO 2021-03-18 02:45:04,275 [-0.23979591836734693, 0.1], qiskitsim_energy=-2.0798190257909157, qiskitsim_time=0.4343268871307373, noisy_energy=-2.079911564529443, noisy_time=220.3366129398346
INFO 2021-03-18 02:48:45,570 [-0.22959183673469388, -0.1], qiskitsim_energy=-2.1314181088835062, qiskitsim_time=0.3376586437225342, noisy_energy=-2.131450352610802, noisy_time=220.95210886001587
INFO 2021-03-18 02:52:26,362 [-0.22959183673469388, -0.08947368421052632], qiskitsim_energy=-2.131510010547379, qiskitsim_time=0.33765530586242676, noisy_energy=-2.1313773804415748, noisy_time=220.45038533210754
INFO 2021-03-18 02:56:07,365 [-0.22959183673469388, -0.07894736842105264], qiskitsim_energy=-2.1312943427951176, qiskitsim_time=0.3368873596191406, noisy_energy=-2.131518717311735, noisy_time=220.66154623031616
INFO 2021-03-18 02:59:48,064 [-0.22959183673469388, -0.06842105263157895], qiskitsim_energy=-2.130770986348347, qiskitsim_time=0.33971691131591797, noisy_energy=-2.13025572172569, noisy_time=220.35471272468567
INFO 2021-03-18 03:03:29,327 [-0.22959183673469388, -0.05789473684210527], qiskitsim_energy=-2.1299399558674503, qiskitsim_time=0.4343605041503906, noisy_energy=-2.130691854244734, noisy_time=220.82517552375793
INFO 2021-03-18 03:07:10,403 [-0.22959183673469388, -0.04736842105263159], qiskitsim_energy=-2.1288013999691864, qiskitsim_time=0.3548753261566162, noisy_energy=-2.1289038196323338, noisy_time=220.71645331382751
INFO 2021-03-18 03:10:51,171 [-0.22959183673469388, -0.0368421052631579], qiskitsim_energy=-2.1273556011851307, qiskitsim_time=0.33640408515930176, noisy_energy=-2.1274282794228885, noisy_time=220.42709851264954
INFO 2021-03-18 03:14:32,314 [-0.22959183673469388, -0.026315789473684223], qiskitsim_energy=-2.1256029758610953, qiskitsim_time=0.338667631149292, noisy_energy=-2.125688372178271, noisy_time=220.80015110969543
INFO 2021-03-18 03:18:13,213 [-0.22959183673469388, -0.015789473684210534], qiskitsim_energy=-2.123544073997447, qiskitsim_time=0.33708739280700684, noisy_energy=-2.123617383545554, noisy_time=220.55705499649048
INFO 2021-03-18 03:21:53,669 [-0.22959183673469388, -0.005263157894736845], qiskitsim_energy=-2.121179579030486, qiskitsim_time=0.43277549743652344, noisy_energy=-2.12097580048464, noisy_time=220.01915073394775
INFO 2021-03-18 03:25:34,730 [-0.22959183673469388, 0.005263157894736831], qiskitsim_energy=-2.118510307554937, qiskitsim_time=0.3366680145263672, noisy_energy=-2.118421869815678, noisy_time=220.71932530403137
INFO 2021-03-18 03:29:15,338 [-0.22959183673469388, 0.01578947368421052], qiskitsim_energy=-2.1155372089876576, qiskitsim_time=0.3393726348876953, noisy_energy=-2.115537706390472, noisy_time=220.26451420783997
INFO 2021-03-18 03:32:55,959 [-0.22959183673469388, 0.02631578947368421], qiskitsim_energy=-2.112261365172738, qiskitsim_time=0.33583903312683105, noisy_energy=-2.112746148046978, noisy_time=220.28122305870056
INFO 2021-03-18 03:36:36,834 [-0.22959183673469388, 0.0368421052631579], qiskitsim_energy=-2.108683989928182, qiskitsim_time=0.33647799491882324, noisy_energy=-2.108331861510227, noisy_time=220.53405046463013
INFO 2021-03-18 03:40:17,446 [-0.22959183673469388, 0.04736842105263156], qiskitsim_energy=-2.1048064285343084, qiskitsim_time=0.434828519821167, noisy_energy=-2.104731040933351, noisy_time=220.17249011993408
INFO 2021-03-18 03:43:58,119 [-0.22959183673469388, 0.05789473684210525], qiskitsim_energy=-2.1006301571641286, qiskitsim_time=0.33781933784484863, noisy_energy=-2.1007542327029007, noisy_time=220.33034420013428
INFO 2021-03-18 03:47:38,866 [-0.22959183673469388, 0.06842105263157894], qiskitsim_energy=-2.096156782255993, qiskitsim_time=0.33530569076538086, noisy_energy=-2.0961090176546056, noisy_time=220.40722393989563
INFO 2021-03-18 03:51:19,723 [-0.22959183673469388, 0.07894736842105263], qiskitsim_energy=-2.091388039828681, qiskitsim_time=0.33652710914611816, noisy_energy=-2.09148839976402, noisy_time=220.51592564582825
INFO 2021-03-18 03:55:00,822 [-0.22959183673469388, 0.08947368421052632], qiskitsim_energy=-2.0863257947393534, qiskitsim_time=0.33639001846313477, noisy_energy=-2.0856048770278406, noisy_time=220.75789713859558
INFO 2021-03-18 03:58:41,711 [-0.22959183673469388, 0.1], qiskitsim_energy=-2.0809720398845664, qiskitsim_time=0.45790934562683105, noisy_energy=-2.0807655810527126, noisy_time=220.42725658416748
INFO 2021-03-18 04:02:22,780 [-0.2193877551020408, -0.1], qiskitsim_energy=-2.132032977073562, qiskitsim_time=0.3372304439544678, noisy_energy=-2.1321793341692423, noisy_time=220.7275140285492
INFO 2021-03-18 04:06:03,696 [-0.2193877551020408, -0.08947368421052632], qiskitsim_energy=-2.1321548006131903, qiskitsim_time=0.33739185333251953, noisy_energy=-2.1331961357805556, noisy_time=220.57319831848145
INFO 2021-03-18 04:09:44,574 [-0.2193877551020408, -0.07894736842105264], qiskitsim_energy=-2.131967958529276, qiskitsim_time=0.33853840827941895, noisy_energy=-2.1320596615961005, noisy_time=220.53549361228943
INFO 2021-03-18 04:13:25,162 [-0.2193877551020408, -0.06842105263157895], qiskitsim_energy=-2.131472327680741, qiskitsim_time=0.336928129196167, noisy_energy=-2.131580055242787, noisy_time=220.24600410461426
INFO 2021-03-18 04:17:06,094 [-0.2193877551020408, -0.05789473684210527], qiskitsim_energy=-2.1306679194535274, qiskitsim_time=0.43836474418640137, noisy_energy=-2.1304896011853707, noisy_time=220.48996925354004
INFO 2021-03-18 04:20:47,209 [-0.2193877551020408, -0.04736842105263159], qiskitsim_energy=-2.1295548797786616, qiskitsim_time=0.33672046661376953, noisy_energy=-2.1291931934016644, noisy_time=220.77376747131348
INFO 2021-03-18 04:24:27,955 [-0.2193877551020408, -0.0368421052631579], qiskitsim_energy=-2.128133489090883, qiskitsim_time=0.3366568088531494, noisy_energy=-2.127889624795095, noisy_time=220.4049093723297
INFO 2021-03-18 04:28:08,780 [-0.2193877551020408, -0.026315789473684223], qiskitsim_energy=-2.126404162227966, qiskitsim_time=0.35618042945861816, noisy_energy=-2.126205588443923, noisy_time=220.46397519111633
INFO 2021-03-18 04:31:49,489 [-0.2193877551020408, -0.015789473684210534], qiskitsim_energy=-2.124367448270683, qiskitsim_time=0.33831119537353516, noisy_energy=-2.1238691156375826, noisy_time=220.36590552330017
INFO 2021-03-18 04:35:30,453 [-0.2193877551020408, -0.005263157894736845], qiskitsim_energy=-2.122024030323546, qiskitsim_time=0.4327692985534668, noisy_energy=-2.121623981493087, noisy_time=220.52658009529114
INFO 2021-03-18 04:39:10,839 [-0.2193877551020408, 0.005263157894736831], qiskitsim_energy=-2.1193747252363804, qiskitsim_time=0.3383910655975342, noisy_energy=-2.118932455333043, noisy_time=220.04372692108154
INFO 2021-03-18 04:42:51,584 [-0.2193877551020408, 0.01578947368421052], qiskitsim_energy=-2.116420483266872, qiskitsim_time=0.33821725845336914, noisy_energy=-2.11631894658727, noisy_time=220.40190744400024
INFO 2021-03-18 04:46:32,110 [-0.2193877551020408, 0.02631578947368421], qiskitsim_energy=-2.1131623876842225, qiskitsim_time=0.3572275638580322, noisy_energy=-2.112806198958973, noisy_time=220.16427373886108
INFO 2021-03-18 04:50:12,789 [-0.2193877551020408, 0.0368421052631579], qiskitsim_energy=-2.1096016543140967, qiskitsim_time=0.33695149421691895, noisy_energy=-2.1095002194763373, noisy_time=220.3373155593872
INFO 2021-03-18 04:53:53,787 [-0.2193877551020408, 0.04736842105263156], qiskitsim_energy=-2.105739631025051, qiskitsim_time=0.4342186450958252, noisy_energy=-2.106076858705592, noisy_time=220.55925798416138
INFO 2021-03-18 04:57:34,926 [-0.2193877551020408, 0.05789473684210525], qiskitsim_energy=-2.1015777971566685, qiskitsim_time=0.33679723739624023, noisy_energy=-2.102325135045063, noisy_time=220.79725003242493
INFO 2021-03-18 05:01:15,858 [-0.2193877551020408, 0.06842105263157894], qiskitsim_energy=-2.097117762889672, qiskitsim_time=0.33809947967529297, noisy_energy=-2.097709285332566, noisy_time=220.58980131149292
INFO 2021-03-18 05:04:56,750 [-0.2193877551020408, 0.07894736842105263], qiskitsim_energy=-2.0923612685582444, qiskitsim_time=0.3373410701751709, noisy_energy=-2.0925322663358172, noisy_time=220.54974937438965
INFO 2021-03-18 05:08:37,170 [-0.2193877551020408, 0.08947368421052632], qiskitsim_energy=-2.087310183904923, qiskitsim_time=0.34052324295043945, noisy_energy=-2.0875801984158744, noisy_time=220.0749385356903
INFO 2021-03-18 05:12:18,187 [-0.2193877551020408, 0.1], qiskitsim_energy=-2.0819665072783184, qiskitsim_time=0.4363696575164795, noisy_energy=-2.0816391772135323, noisy_time=220.5766086578369
INFO 2021-03-18 05:15:58,655 [-0.20918367346938777, -0.1], qiskitsim_energy=-2.1324761838834783, qiskitsim_time=0.34079599380493164, noisy_energy=-2.1321833001038804, noisy_time=220.12201738357544
INFO 2021-03-18 05:19:39,390 [-0.20918367346938777, -0.08947368421052632], qiskitsim_energy=-2.1326280390844565, qiskitsim_time=0.3378410339355469, noisy_energy=-2.1322406718489244, noisy_time=220.39264464378357
INFO 2021-03-18 05:23:20,255 [-0.20918367346938777, -0.07894736842105264], qiskitsim_energy=-2.1324701950805247, qiskitsim_time=0.3375685214996338, noisy_energy=-2.132628361513862, noisy_time=220.52299046516418
INFO 2021-03-18 05:27:00,903 [-0.20918367346938777, -0.06842105263157895], qiskitsim_energy=-2.1320025248772585, qiskitsim_time=0.3376600742340088, noisy_energy=-2.1317015900586354, noisy_time=220.30548334121704
INFO 2021-03-18 05:30:41,462 [-0.20918367346938777, -0.05789473684210527], qiskitsim_energy=-2.131225036568726, qiskitsim_time=0.43456554412841797, noisy_energy=-2.1307834767822524, noisy_time=220.11957573890686
INFO 2021-03-18 05:34:22,493 [-0.20918367346938777, -0.04736842105263159], qiskitsim_energy=-2.130137873356001, qiskitsim_time=0.33683323860168457, noisy_energy=-2.129418091113087, noisy_time=220.68945121765137
INFO 2021-03-18 05:38:02,991 [-0.20918367346938777, -0.0368421052631579], qiskitsim_energy=-2.1287413135059814, qiskitsim_time=0.3394951820373535, noisy_energy=-2.1284913778089027, noisy_time=220.15474605560303
INFO 2021-03-18 05:41:44,021 [-0.20918367346938777, -0.026315789473684223], qiskitsim_energy=-2.1270357702506413, qiskitsim_time=0.3574988842010498, noisy_energy=-2.126897229458197, noisy_time=220.66726112365723
INFO 2021-03-18 05:45:24,365 [-0.20918367346938777, -0.015789473684210534], qiskitsim_energy=-2.125021791626666, qiskitsim_time=0.33774733543395996, noisy_energy=-2.1247307116627696, noisy_time=220.00136041641235
INFO 2021-03-18 05:49:05,717 [-0.20918367346938777, -0.005263157894736845], qiskitsim_energy=-2.122700060255595, qiskitsim_time=0.4322998523712158, noisy_energy=-2.122770777850486, noisy_time=220.91563153266907
INFO 2021-03-18 05:52:46,608 [-0.20918367346938777, 0.005263157894736831], qiskitsim_energy=-2.1200713930645647, qiskitsim_time=0.33708763122558594, noisy_energy=-2.120125390795912, noisy_time=220.54856038093567
INFO 2021-03-18 05:56:27,351 [-0.20918367346938777, 0.01578947368421052], qiskitsim_energy=-2.1171367409477306, qiskitsim_time=0.3394134044647217, noisy_energy=-2.1172592510269697, noisy_time=220.39934754371643
INFO 2021-03-18 06:00:08,628 [-0.20918367346938777, 0.02631578947368421], qiskitsim_energy=-2.11389718836856, qiskitsim_time=0.33745336532592773, noisy_energy=-2.1144735964117722, noisy_time=220.934415102005
INFO 2021-03-18 06:03:49,231 [-0.20918367346938777, 0.0368421052631579], qiskitsim_energy=-2.110353952903167, qiskitsim_time=0.3529505729675293, noisy_energy=-2.1104830242698127, noisy_time=220.24588322639465
INFO 2021-03-18 06:07:29,594 [-0.20918367346938777, 0.04736842105263156], qiskitsim_energy=-2.106508384724848, qiskitsim_time=0.4329874515533447, noisy_energy=-2.106141350243651, noisy_time=219.92567348480225
INFO 2021-03-18 06:11:10,712 [-0.20918367346938777, 0.05789473684210525], qiskitsim_energy=-2.1023619660300836, qiskitsim_time=0.3368082046508789, noisy_energy=-2.1022858632539916, noisy_time=220.7757089138031
INFO 2021-03-18 06:14:51,458 [-0.20918367346938777, 0.06842105263157894], qiskitsim_energy=-2.0979163104062653, qiskitsim_time=0.3368971347808838, noisy_energy=-2.097785404438763, noisy_time=220.40486598014832
INFO 2021-03-18 06:18:32,524 [-0.20918367346938777, 0.07894736842105263], qiskitsim_energy=-2.093173162141365, qiskitsim_time=0.33643507957458496, noisy_energy=-2.093028999208316, noisy_time=220.72443771362305
INFO 2021-03-18 06:22:13,234 [-0.20918367346938777, 0.08947368421052632], qiskitsim_energy=-2.0881343954759424, qiskitsim_time=0.33518075942993164, noisy_energy=-2.0882455088186864, noisy_time=220.37086701393127
INFO 2021-03-18 06:25:54,043 [-0.20918367346938777, 0.1], qiskitsim_energy=-2.082802013797708, qiskitsim_time=0.43679213523864746, noisy_energy=-2.0828270920084337, noisy_time=220.36746287345886
INFO 2021-03-18 06:29:34,833 [-0.1989795918367347, -0.1], qiskitsim_energy=-2.132747544727073, qiskitsim_time=0.3365974426269531, noisy_energy=-2.132815909184397, noisy_time=220.44795989990234
INFO 2021-03-18 06:33:15,385 [-0.1989795918367347, -0.08947368421052632], qiskitsim_energy=-2.132929528867455, qiskitsim_time=0.3387329578399658, noisy_energy=-2.1330213054013556, noisy_time=220.20890927314758
INFO 2021-03-18 06:36:56,319 [-0.1989795918367347, -0.07894736842105264], qiskitsim_energy=-2.132800843278056, qiskitsim_time=0.33576345443725586, noisy_energy=-2.133192548454941, noisy_time=220.59314227104187
INFO 2021-03-18 06:40:36,916 [-0.1989795918367347, -0.06842105263157895], qiskitsim_energy=-2.132361357122074, qiskitsim_time=0.3353583812713623, noisy_energy=-2.1317540824761116, noisy_time=220.25731658935547
INFO 2021-03-18 06:44:18,272 [-0.1989795918367347, -0.05789473684210527], qiskitsim_energy=-2.131611075185647, qiskitsim_time=0.43433547019958496, noisy_energy=-2.1316514255492733, noisy_time=220.9164900779724
INFO 2021-03-18 06:47:58,897 [-0.1989795918367347, -0.04736842105263159], qiskitsim_energy=-2.130550137896813, qiskitsim_time=0.337615966796875, noisy_energy=-2.130382557166391, noisy_time=220.2826542854309
INFO 2021-03-18 06:51:39,731 [-0.1989795918367347, -0.0368421052631579], qiskitsim_energy=-2.129178821284522, qiskitsim_time=0.35526180267333984, noisy_energy=-2.129257238562165, noisy_time=220.47433805465698
INFO 2021-03-18 06:55:20,208 [-0.1989795918367347, -0.026315789473684223], qiskitsim_energy=-2.127497536877854, qiskitsim_time=0.33611536026000977, noisy_energy=-2.127366832007793, noisy_time=220.13604092597961
INFO 2021-03-18 06:59:01,124 [-0.1989795918367347, -0.015789473684210534], qiskitsim_energy=-2.1255068315453443, qiskitsim_time=0.3373548984527588, noisy_energy=-2.125410118690419, noisy_time=220.57392692565918
INFO 2021-03-18 07:02:41,895 [-0.1989795918367347, -0.005263157894736845], qiskitsim_energy=-2.1232073872745896, qiskitsim_time=0.4363436698913574, noisy_energy=-2.123347030683353, noisy_time=220.32974553108215
INFO 2021-03-18 07:06:22,380 [-0.1989795918367347, 0.005263157894736831], qiskitsim_energy=-2.120600020892202, qiskitsim_time=0.3365304470062256, noisy_energy=-2.1204376917130796, noisy_time=220.1440029144287
INFO 2021-03-18 07:10:03,115 [-0.1989795918367347, 0.01578947368421052], qiskitsim_energy=-2.117685683724185, qiskitsim_time=0.337782621383667, noisy_energy=-2.1176535637877154, noisy_time=220.3926064968109
INFO 2021-03-18 07:13:43,780 [-0.1989795918367347, 0.02631578947368421], qiskitsim_energy=-2.1144654611969416, qiskitsim_time=0.3374326229095459, noisy_energy=-2.115259798454529, noisy_time=220.32269048690796
INFO 2021-03-18 07:17:24,452 [-0.1989795918367347, 0.0368421052631579], qiskitsim_energy=-2.1109405723790795, qiskitsim_time=0.3384671211242676, noisy_energy=-2.110963649981902, noisy_time=220.3281569480896
INFO 2021-03-18 07:21:05,298 [-0.1989795918367347, 0.04736842105263156], qiskitsim_energy=-2.1071123694641787, qiskitsim_time=0.434067964553833, noisy_energy=-2.1071106040665493, noisy_time=220.407386302948
