INFO 2021-03-28 10:47:08,749 H4 molecule, investigate how the landscape should change with noise for first two ansatz elements of H4(r=1), 1000000.0 shots
INFO 2021-03-28 10:47:08,762 Ansatz is [<src.ansatz_elements.DQExc object at 0x7f0a4675ef90>, <src.ansatz_elements.DQExc object at 0x7f0a2e1f7590>]
INFO 2021-03-28 10:47:08,763 Noise model generated for prob_1 = 0.001, prob_2=0.01, prob_meas=0.01 time_single_gate=0, time_cx=900, time_meas=0, t1=50000.0, t2=50000.0. No coupling map.
INFO 2021-03-28 10:47:08,763 xlim=0.25, ylim=0.1, pixel number = 25 x 10
INFO 2021-03-28 10:49:56,485 [-0.25, -0.1], qiskitsim_energy=-2.1296744840675745, qiskitsim_time=0.378429651260376, noisy_energy=-1.519796397516775, noisy_time=167.33686661720276
INFO 2021-03-28 10:53:23,196 [-0.25, -0.08888888888888889], qiskitsim_energy=-2.1296997763162184, qiskitsim_time=0.32677721977233887, noisy_energy=-1.5193559268426582, noisy_time=206.38042521476746
INFO 2021-03-28 10:56:58,712 [-0.25, -0.07777777777777778], qiskitsim_energy=-2.1293850161589134, qiskitsim_time=0.32575130462646484, noisy_energy=-1.5204718641806605, noisy_time=215.18664693832397
INFO 2021-03-28 11:00:34,648 [-0.25, -0.06666666666666668], qiskitsim_energy=-2.1287300854267053, qiskitsim_time=0.3268320560455322, noisy_energy=-1.5207226310449746, noisy_time=215.60591173171997
INFO 2021-03-28 11:04:06,970 [-0.25, -0.05555555555555556], qiskitsim_energy=-2.127735030672448, qiskitsim_time=0.34668540954589844, noisy_energy=-1.5185734453023405, noisy_time=211.97173142433167
INFO 2021-03-28 11:07:34,457 [-0.25, -0.044444444444444446], qiskitsim_energy=-2.1264000631820275, qiskitsim_time=0.32946348190307617, noisy_energy=-1.5189017608224136, noisy_time=207.15355467796326
INFO 2021-03-28 11:11:06,323 [-0.25, -0.03333333333333334], qiskitsim_energy=-2.124725558904575, qiskitsim_time=0.4004504680633545, noisy_energy=-1.5194077132054606, noisy_time=211.46141076087952
INFO 2021-03-28 11:14:38,760 [-0.25, -0.022222222222222227], qiskitsim_energy=-2.1227120583018064, qiskitsim_time=0.37662792205810547, noisy_energy=-1.5184406331000826, noisy_time=212.05693888664246
INFO 2021-03-28 11:18:12,747 [-0.25, -0.011111111111111113], qiskitsim_energy=-2.1203602661164904, qiskitsim_time=0.32941341400146484, noisy_energy=-1.5176157477491412, noisy_time=213.6538314819336
INFO 2021-03-28 11:21:45,735 [-0.25, 0.0], qiskitsim_energy=-2.117671051060201, qiskitsim_time=0.34948062896728516, noisy_energy=-1.5158926088961802, noisy_time=212.6343493461609
INFO 2021-03-28 11:25:16,791 [-0.23958333333333334, -0.1], qiskitsim_energy=-2.1306499622840334, qiskitsim_time=0.3977842330932617, noisy_energy=-1.5202309086383066, noisy_time=210.6553499698639
INFO 2021-03-28 11:28:47,115 [-0.23958333333333334, -0.08888888888888889], qiskitsim_energy=-2.1307071850079526, qiskitsim_time=0.3296966552734375, noisy_energy=-1.5206192415494804, noisy_time=209.9907660484314
INFO 2021-03-28 11:32:18,510 [-0.23958333333333334, -0.07777777777777778], qiskitsim_energy=-2.130422968084836, qiskitsim_time=0.32713818550109863, noisy_energy=-1.5205394625469533, noisy_time=211.06322264671326
INFO 2021-03-28 11:35:47,242 [-0.23958333333333334, -0.06666666666666668], qiskitsim_energy=-2.1297971887556515, qiskitsim_time=0.4291505813598633, noisy_energy=-1.5216559756546364, noisy_time=208.29872870445251
INFO 2021-03-28 11:39:14,410 [-0.23958333333333334, -0.05555555555555556], qiskitsim_energy=-2.1288298897953797, qiskitsim_time=0.35324931144714355, noisy_energy=-1.5214462806223834, noisy_time=206.81122469902039
INFO 2021-03-28 11:42:43,547 [-0.23958333333333334, -0.044444444444444446], qiskitsim_energy=-2.127521279524761, qiskitsim_time=0.34389209747314453, noisy_energy=-1.5200748413431875, noisy_time=208.78908848762512
INFO 2021-03-28 11:46:13,710 [-0.23958333333333334, -0.03333333333333334], qiskitsim_energy=-2.1258717317406752, qiskitsim_time=0.3474256992340088, noisy_energy=-1.5193607972968375, noisy_time=209.81181359291077
INFO 2021-03-28 11:49:46,840 [-0.23958333333333334, -0.022222222222222227], qiskitsim_energy=-2.1238817855651857, qiskitsim_time=0.3291029930114746, noisy_energy=-1.5192650853231537, noisy_time=212.79774355888367
INFO 2021-03-28 11:53:19,719 [-0.23958333333333334, -0.011111111111111113], qiskitsim_energy=-2.1215521452133177, qiskitsim_time=0.426363468170166, noisy_energy=-1.5181484097722582, noisy_time=212.44942998886108
INFO 2021-03-28 11:56:49,251 [-0.23958333333333334, 0.0], qiskitsim_energy=-2.1188836796797035, qiskitsim_time=0.32943105697631836, noisy_energy=-1.5170184622920169, noisy_time=209.19857668876648
INFO 2021-03-28 12:00:21,995 [-0.22916666666666666, -0.1], qiskitsim_energy=-2.131447152563561, qiskitsim_time=0.3461945056915283, noisy_energy=-1.5198756798992115, noisy_time=212.3939826488495
INFO 2021-03-28 12:03:52,458 [-0.22916666666666666, -0.08888888888888889], qiskitsim_energy=-2.1315364554872507, qiskitsim_time=0.34764671325683594, noisy_energy=-1.5209451847084061, noisy_time=210.1115448474884
INFO 2021-03-28 12:07:23,784 [-0.22916666666666666, -0.07777777777777778], qiskitsim_energy=-2.1312830031607994, qiskitsim_time=0.3419327735900879, noisy_energy=-1.520746612129366, noisy_time=210.98099970817566
INFO 2021-03-28 12:10:55,573 [-0.22916666666666666, -0.06666666666666668], qiskitsim_energy=-2.130686668239988, qiskitsim_time=0.32827305793762207, noisy_energy=-1.5195609972460487, noisy_time=211.4569525718689
INFO 2021-03-28 12:14:31,539 [-0.22916666666666666, -0.05555555555555556], qiskitsim_energy=-2.129747489692773, qiskitsim_time=0.3294658660888672, noisy_energy=-1.5209225459038522, noisy_time=215.63270092010498
INFO 2021-03-28 12:18:04,947 [-0.22916666666666666, -0.044444444444444446], qiskitsim_energy=-2.1284656728116027, qiskitsim_time=0.349423885345459, noisy_energy=-1.5205252017941826, noisy_time=213.05463767051697
INFO 2021-03-28 12:21:39,435 [-0.22916666666666666, -0.03333333333333334], qiskitsim_energy=-2.1268415891439445, qiskitsim_time=0.3496217727661133, noisy_energy=-1.5199816958325287, noisy_time=214.1307532787323
INFO 2021-03-28 12:25:07,414 [-0.22916666666666666, -0.022222222222222227], qiskitsim_energy=-2.1248757763410837, qiskitsim_time=0.33768320083618164, noisy_energy=-1.5206430531252717, noisy_time=207.6376359462738
INFO 2021-03-28 12:28:43,823 [-0.22916666666666666, -0.011111111111111113], qiskitsim_energy=-2.1225689379252626, qiskitsim_time=0.34706974029541016, noisy_energy=-1.5195286182150323, noisy_time=216.057852268219
INFO 2021-03-28 12:32:15,194 [-0.22916666666666666, 0.0], qiskitsim_energy=-2.119921942975274, qiskitsim_time=0.32796430587768555, noisy_energy=-1.5179363372369077, noisy_time=211.03890085220337
INFO 2021-03-28 12:35:50,601 [-0.21875, -0.1], qiskitsim_energy=-2.132065708915948, qiskitsim_time=0.4450533390045166, noisy_energy=-1.5219415351151528, noisy_time=214.95797681808472
INFO 2021-03-28 12:39:26,977 [-0.21875, -0.08888888888888889], qiskitsim_energy=-2.1321872278407112, qiskitsim_time=0.3467590808868408, noisy_energy=-1.521534923748759, noisy_time=216.0258765220642
INFO 2021-03-28 12:42:55,672 [-0.21875, -0.07777777777777778], qiskitsim_energy=-2.1319647481212, qiskitsim_time=0.3666653633117676, noisy_energy=-1.522334377988716, noisy_time=208.3241093158722
INFO 2021-03-28 12:46:22,282 [-0.21875, -0.06666666666666668], qiskitsim_energy=-2.131398137834876, qiskitsim_time=0.34925174713134766, noisy_energy=-1.5208257596432255, noisy_time=206.25671887397766
INFO 2021-03-28 12:49:48,768 [-0.21875, -0.05555555555555556], qiskitsim_energy=-2.1304874321151908, qiskitsim_time=0.3294816017150879, noisy_energy=-1.5212420529415644, noisy_time=206.15307664871216
INFO 2021-03-28 12:53:20,445 [-0.21875, -0.044444444444444446], qiskitsim_energy=-2.1292328331644605, qiskitsim_time=0.34291696548461914, noisy_energy=-1.5219999198031895, noisy_time=211.32951068878174
INFO 2021-03-28 12:56:52,319 [-0.21875, -0.03333333333333334], qiskitsim_energy=-2.127634710184556, qiskitsim_time=0.32701969146728516, noisy_energy=-1.5212392744138603, noisy_time=211.54379987716675
INFO 2021-03-28 13:00:21,612 [-0.21875, -0.022222222222222227], qiskitsim_energy=-2.125693599225501, qiskitsim_time=0.32688212394714355, noisy_energy=-1.5194087402824583, noisy_time=208.96214532852173
INFO 2021-03-28 13:03:52,535 [-0.21875, -0.011111111111111113], qiskitsim_energy=-2.123410202952011, qiskitsim_time=0.3271677494049072, noisy_energy=-1.5187109573518747, noisy_time=210.59257698059082
INFO 2021-03-28 13:07:20,786 [-0.21875, 0.0], qiskitsim_energy=-2.1207853903281046, qiskitsim_time=0.4129829406738281, noisy_energy=-1.5195699047885085, noisy_time=207.83207416534424
INFO 2021-03-28 13:10:44,411 [-0.20833333333333334, -0.1], qiskitsim_energy=-2.1325053628802615, qiskitsim_time=0.35387420654296875, noisy_energy=-1.5226212812650848, noisy_time=203.26567769050598
INFO 2021-03-28 13:14:20,662 [-0.20833333333333334, -0.08888888888888889], qiskitsim_energy=-2.132659219625265, qiskitsim_time=0.3598308563232422, noisy_energy=-1.5220832458379212, noisy_time=215.88735055923462
INFO 2021-03-28 13:17:52,157 [-0.20833333333333334, -0.07777777777777778], qiskitsim_energy=-2.1324679070804815, qiskitsim_time=0.3293118476867676, noisy_energy=-1.5213824146333457, noisy_time=211.16215348243713
INFO 2021-03-28 13:21:19,899 [-0.20833333333333334, -0.06666666666666668], qiskitsim_energy=-2.1319312887539095, qiskitsim_time=0.3504049777984619, noisy_energy=-1.5223839690806469, noisy_time=207.38747668266296
INFO 2021-03-28 13:24:50,949 [-0.20833333333333334, -0.05555555555555556], qiskitsim_energy=-2.131049395918682, qiskitsim_time=0.438046932220459, noisy_energy=-1.5223528614400685, noisy_time=210.60850071907043
INFO 2021-03-28 13:28:18,988 [-0.20833333333333334, -0.044444444444444446], qiskitsim_energy=-2.1298224276264692, qiskitsim_time=0.4298887252807617, noisy_energy=-1.521536902830761, noisy_time=207.60411190986633
INFO 2021-03-28 13:31:55,004 [-0.20833333333333334, -0.03333333333333334], qiskitsim_energy=-2.128250750638396, qiskitsim_time=0.34737682342529297, noisy_energy=-1.521790643814908, noisy_time=215.66523957252502
INFO 2021-03-28 13:35:21,987 [-0.20833333333333334, -0.022222222222222227], qiskitsim_energy=-2.1263348992734223, qiskitsim_time=0.32934045791625977, noisy_energy=-1.5210903536768328, noisy_time=206.6495304107666
INFO 2021-03-28 13:38:56,137 [-0.20833333333333334, -0.011111111111111113], qiskitsim_energy=-2.124075575174369, qiskitsim_time=0.4099743366241455, noisy_energy=-1.5201843602243001, noisy_time=213.73589086532593
INFO 2021-03-28 13:42:29,325 [-0.20833333333333334, 0.0], qiskitsim_energy=-2.121473646991607, qiskitsim_time=0.35112595558166504, noisy_energy=-1.519484104071395, noisy_time=212.83294367790222
INFO 2021-03-28 13:46:01,348 [-0.19791666666666669, -0.1], qiskitsim_energy=-2.132765923641372, qiskitsim_time=0.32326221466064453, noisy_energy=-1.5216696554019218, noisy_time=211.6957070827484
INFO 2021-03-28 13:49:35,569 [-0.19791666666666669, -0.08888888888888889], qiskitsim_energy=-2.13295222599078, qiskitsim_time=0.3294038772583008, noisy_energy=-1.5227493559445449, noisy_time=213.8876428604126
INFO 2021-03-28 13:53:08,634 [-0.19791666666666669, -0.07777777777777778], qiskitsim_energy=-2.1327922616615824, qiskitsim_time=0.3468790054321289, noisy_energy=-1.5229577710196949, noisy_time=212.71409487724304
INFO 2021-03-28 13:56:40,590 [-0.19791666666666669, -0.06666666666666668], qiskitsim_energy=-2.132285889603156, qiskitsim_time=0.3264315128326416, noisy_energy=-1.5235420320709705, noisy_time=211.62490820884705
INFO 2021-03-28 14:00:17,195 [-0.19791666666666669, -0.05555555555555556], qiskitsim_energy=-2.131433137204163, qiskitsim_time=0.32869744300842285, noisy_energy=-1.522483550329403, noisy_time=216.27136492729187
INFO 2021-03-28 14:03:47,262 [-0.19791666666666669, -0.044444444444444446], qiskitsim_energy=-2.130234200306513, qiskitsim_time=0.3423018455505371, noisy_energy=-1.5215868902884044, noisy_time=209.72078585624695
INFO 2021-03-28 14:07:21,797 [-0.19791666666666669, -0.03333333333333334], qiskitsim_energy=-2.128689443136463, qiskitsim_time=0.33010125160217285, noisy_energy=-1.5214744660968784, noisy_time=214.2011969089508
INFO 2021-03-28 14:10:51,753 [-0.19791666666666669, -0.022222222222222227], qiskitsim_energy=-2.1267993981528828, qiskitsim_time=0.3304758071899414, noisy_energy=-1.5210485275680095, noisy_time=209.62226176261902
INFO 2021-03-28 14:14:22,756 [-0.19791666666666669, -0.011111111111111113], qiskitsim_energy=-2.124564765812763, qiskitsim_time=0.34803342819213867, noisy_energy=-1.5206641326179702, noisy_time=210.65060329437256
INFO 2021-03-28 14:17:52,576 [-0.19791666666666669, 0.0], qiskitsim_energy=-2.12198641425408, qiskitsim_time=0.32772254943847656, noisy_energy=-1.5196507136691508, noisy_time=209.48748254776
INFO 2021-03-28 14:21:20,307 [-0.1875, -0.1], qiskitsim_energy=-2.132847278112758, qiskitsim_time=0.42888855934143066, noisy_energy=-1.5225883310887067, noisy_time=207.29884505271912
INFO 2021-03-28 14:24:51,512 [-0.1875, -0.08888888888888889], qiskitsim_energy=-2.133066119768952, qiskitsim_time=0.3495640754699707, noisy_energy=-1.521536094966097, noisy_time=210.85080242156982
INFO 2021-03-28 14:28:19,882 [-0.1875, -0.07777777777777778], qiskitsim_energy=-2.13293767109069, qiskitsim_time=0.3464775085449219, noisy_energy=-1.5225065133358688, noisy_time=208.01893043518066
INFO 2021-03-28 14:31:54,228 [-0.1875, -0.06666666666666668], qiskitsim_energy=-2.1324617864815596, qiskitsim_time=0.36531877517700195, noisy_energy=-1.522383677803464, noisy_time=213.97669005393982
INFO 2021-03-28 14:35:22,938 [-0.1875, -0.05555555555555556], qiskitsim_energy=-2.131638489423282, qiskitsim_time=0.32947206497192383, noisy_energy=-1.5225206803183446, noisy_time=208.3760323524475
INFO 2021-03-28 14:38:56,163 [-0.1875, -0.044444444444444446], qiskitsim_energy=-2.1304679724902704, qiskitsim_time=0.3296375274658203, noisy_energy=-1.5215597884580163, noisy_time=212.892249584198
INFO 2021-03-28 14:42:28,288 [-0.1875, -0.03333333333333334], qiskitsim_energy=-2.128950597280913, qiskitsim_time=0.328446626663208, noisy_energy=-1.5218940948362836, noisy_time=211.79217767715454
INFO 2021-03-28 14:45:57,049 [-0.1875, -0.022222222222222227], qiskitsim_energy=-2.1270868942657524, qiskitsim_time=0.32921814918518066, noisy_energy=-1.5212559008704072, noisy_time=208.4283745288849
INFO 2021-03-28 14:49:28,444 [-0.1875, -0.011111111111111113], qiskitsim_energy=-2.1248775625525393, qiskitsim_time=0.35427188873291016, noisy_energy=-1.5201663048721792, noisy_time=211.03637385368347
INFO 2021-03-28 14:53:02,540 [-0.1875, 0.0], qiskitsim_energy=-2.1223234695683337, qiskitsim_time=0.38555145263671875, noisy_energy=-1.5195830568554842, noisy_time=213.7061812877655
INFO 2021-03-28 14:56:35,597 [-0.17708333333333334, -0.1], qiskitsim_energy=-2.1327493909856052, qiskitsim_time=0.44189953804016113, noisy_energy=-1.5222045167618083, noisy_time=212.610826253891
INFO 2021-03-28 15:00:09,097 [-0.17708333333333334, -0.08888888888888889], qiskitsim_energy=-2.1330008515285117, qiskitsim_time=0.346752405166626, noisy_energy=-1.5227939981568905, noisy_time=213.14902901649475
INFO 2021-03-28 15:03:41,100 [-0.17708333333333334, -0.07777777777777778], qiskitsim_energy=-2.1329040722583694, qiskitsim_time=0.3471696376800537, noisy_energy=-1.5222749657670387, noisy_time=211.6524612903595
INFO 2021-03-28 15:07:13,568 [-0.17708333333333334, -0.06666666666666668], qiskitsim_energy=-2.1324589030477545, qiskitsim_time=0.32820558547973633, noisy_energy=-1.5231281824703575, noisy_time=212.13563871383667
