INFO 2021-03-28 10:49:22,871 H4 molecule, investigate how the landscape should change with noise for first two ansatz elements of H4(r=1), 1000000.0 shots
INFO 2021-03-28 10:49:22,885 Ansatz is [<src.ansatz_elements.DQExc object at 0x7fc6480cae50>, <src.ansatz_elements.DQExc object at 0x7fc6480da510>]
INFO 2021-03-28 10:49:22,885 Noise model generated for prob_1 = 0, prob_2=0.0001, prob_meas=0.0001 time_single_gate=0, time_cx=10, time_meas=0, t1=50000.0, t2=50000.0. No coupling map.
INFO 2021-03-28 10:49:22,886 xlim=0.25, ylim=0.1, pixel number = 25 x 10
INFO 2021-03-28 10:52:46,383 [-0.25, -0.1], qiskitsim_energy=-2.1296744840675745, qiskitsim_time=0.39625072479248047, noisy_energy=-2.1201827454159643, noisy_time=203.09577012062073
INFO 2021-03-28 10:56:17,025 [-0.25, -0.08888888888888889], qiskitsim_energy=-2.1296997763162184, qiskitsim_time=0.3292393684387207, noisy_energy=-2.1201760831103744, noisy_time=210.3082857131958
INFO 2021-03-28 10:59:50,584 [-0.25, -0.07777777777777778], qiskitsim_energy=-2.1293850161589134, qiskitsim_time=0.43495988845825195, noisy_energy=-2.119810195203551, noisy_time=213.1207184791565
INFO 2021-03-28 11:03:24,129 [-0.25, -0.06666666666666668], qiskitsim_energy=-2.1287300854267053, qiskitsim_time=0.3784823417663574, noisy_energy=-2.119682679084713, noisy_time=213.16184306144714
INFO 2021-03-28 11:06:49,882 [-0.25, -0.05555555555555556], qiskitsim_energy=-2.127735030672448, qiskitsim_time=0.4353635311126709, noisy_energy=-2.119064103002808, noisy_time=205.31321477890015
INFO 2021-03-28 11:10:18,790 [-0.25, -0.044444444444444446], qiskitsim_energy=-2.1264000631820275, qiskitsim_time=0.3285815715789795, noisy_energy=-2.1173074042430926, noisy_time=208.57538509368896
INFO 2021-03-28 11:13:47,186 [-0.25, -0.03333333333333334], qiskitsim_energy=-2.124725558904575, qiskitsim_time=0.32863402366638184, noisy_energy=-2.115009449723007, noisy_time=208.06273198127747
INFO 2021-03-28 11:17:18,448 [-0.25, -0.022222222222222227], qiskitsim_energy=-2.1227120583018064, qiskitsim_time=0.351818323135376, noisy_energy=-2.1138503559823913, noisy_time=210.9063913822174
INFO 2021-03-28 11:20:47,323 [-0.25, -0.011111111111111113], qiskitsim_energy=-2.1203602661164904, qiskitsim_time=0.5553040504455566, noisy_energy=-2.111258105671481, noisy_time=208.31528067588806
INFO 2021-03-28 11:24:14,841 [-0.25, 0.0], qiskitsim_energy=-2.117671051060201, qiskitsim_time=0.3325192928314209, noisy_energy=-2.108913938352687, noisy_time=207.1809482574463
INFO 2021-03-28 11:27:43,248 [-0.23958333333333334, -0.1], qiskitsim_energy=-2.1306499622840334, qiskitsim_time=0.32750988006591797, noisy_energy=-2.1219639758639737, noisy_time=208.07538866996765
INFO 2021-03-28 11:31:09,900 [-0.23958333333333334, -0.08888888888888889], qiskitsim_energy=-2.1307071850079526, qiskitsim_time=0.34485316276550293, noisy_energy=-2.1209835234073116, noisy_time=206.30303812026978
INFO 2021-03-28 11:34:34,361 [-0.23958333333333334, -0.07777777777777778], qiskitsim_energy=-2.130422968084836, qiskitsim_time=0.5527393817901611, noisy_energy=-2.121143901875755, noisy_time=203.9037206172943
INFO 2021-03-28 11:37:56,013 [-0.23958333333333334, -0.06666666666666668], qiskitsim_energy=-2.1297971887556515, qiskitsim_time=0.33052659034729004, noisy_energy=-2.1204346995181003, noisy_time=201.3174786567688
INFO 2021-03-28 11:41:25,974 [-0.23958333333333334, -0.05555555555555556], qiskitsim_energy=-2.1288298897953797, qiskitsim_time=0.4454967975616455, noisy_energy=-2.1195635895046627, noisy_time=209.51125049591064
INFO 2021-03-28 11:44:53,555 [-0.23958333333333334, -0.044444444444444446], qiskitsim_energy=-2.127521279524761, qiskitsim_time=0.3509364128112793, noisy_energy=-2.1185995880936956, noisy_time=207.2262146472931
INFO 2021-03-28 11:48:22,105 [-0.23958333333333334, -0.03333333333333334], qiskitsim_energy=-2.1258717317406752, qiskitsim_time=0.32872581481933594, noisy_energy=-2.11683709198922, noisy_time=208.21714973449707
INFO 2021-03-28 11:51:48,829 [-0.23958333333333334, -0.022222222222222227], qiskitsim_energy=-2.1238817855651857, qiskitsim_time=0.35347938537597656, noisy_energy=-2.1148130056202517, noisy_time=206.36571836471558
INFO 2021-03-28 11:55:16,291 [-0.23958333333333334, -0.011111111111111113], qiskitsim_energy=-2.1215521452133177, qiskitsim_time=0.4311971664428711, noisy_energy=-2.1120296484108203, noisy_time=207.02652978897095
INFO 2021-03-28 11:58:46,394 [-0.23958333333333334, 0.0], qiskitsim_energy=-2.1188836796797035, qiskitsim_time=0.41121578216552734, noisy_energy=-2.109456922677546, noisy_time=209.68773317337036
INFO 2021-03-28 12:02:14,337 [-0.22916666666666666, -0.1], qiskitsim_energy=-2.131447152563561, qiskitsim_time=0.5522949695587158, noisy_energy=-2.1217926605646356, noisy_time=207.38575720787048
