,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.8771196234358785,0.013985934751604034,0.0056422253100203434,6,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.1423577771479331
1,2,-7.879912392033622,0.002792768597743134,0.0028494567122772096,10,19.0,47,11,11,s_q_exc_5_11,"[5, 11]",0.46322457185778676
2,2,-7.879912392033622,0.002792768597743134,0.0028494567122772096,10,19.0,47,11,11,s_q_exc_4_10,"[4, 10]",-0.4647099270355299
3,3,-7.8811282209395195,0.0012158289058978866,0.001633627806379323,121,32.0,80,22,22,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.056293917625553684
4,4,-7.8816407155307555,0.0005124945912360346,0.0011211332151432885,19,45.0,113,22,22,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.2470929677332309
5,5,-7.882133592810424,0.0004928772796688463,0.0006282559354744421,22,58.0,146,33,33,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.028037832062892197
6,6,-7.882520162261139,0.0003865694507148021,0.00024168648475964005,31,64.0,160,36,37,s_q_exc_2_4,"[2, 4]",-0.03839274315668603
7,6,-7.882520162261139,0.0003865694507148021,0.00024168648475964005,31,64.0,160,36,37,s_q_exc_3_5,"[3, 5]",0.03892706052013122
8,7,-7.882597302358406,7.714009726722537e-05,0.00016454638749241468,25,77.0,193,36,37,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.0038218045308469617
9,8,-7.882640357219909,4.3054861502689334e-05,0.00012149152598972535,28,103.0,259,42,47,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0035959971626115745
10,8,-7.882640357219909,4.3054861502689334e-05,0.00012149152598972535,28,103.0,259,42,47,"d_q_exc_[0, 3]_[7, 6]","[[0, 3], [7, 6]]",0.0034233628924678064
11,9,-7.88268280265986,4.244543995124417e-05,7.904608603848118e-05,93,129.0,325,48,57,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0035964890390096766
12,9,-7.88268280265986,4.244543995124417e-05,7.904608603848118e-05,93,129.0,325,48,57,"d_q_exc_[0, 3]_[9, 8]","[[0, 3], [9, 8]]",0.003423597234980589
13,10,-7.882700894634348,1.809197448743305e-05,6.095411155104813e-05,149,142.0,358,48,57,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.001856738949622484
14,11,-7.882718852480212,1.7957845864557953e-05,4.2996265686490176e-05,80,155.0,391,55,57,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0018563513156363335
15,12,-7.882735691916502,1.6839436289828313e-05,2.6156829396661863e-05,42,161.0,405,55,61,s_q_exc_2_10,"[2, 10]",0.005774930436202773
16,12,-7.882735691916502,1.6839436289828313e-05,2.6156829396661863e-05,42,161.0,405,55,61,s_q_exc_3_11,"[3, 11]",-0.001786041399916607
17,13,-7.882741406697036,5.714780534127328e-06,2.0442048862534534e-05,77,174.0,438,66,66,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0011681315883747957
18,14,-7.8827460289181195,4.622221083216971e-06,1.5819827779317563e-05,102,200.0,504,77,77,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.006322999409279528
19,14,-7.8827460289181195,4.622221083216971e-06,1.5819827779317563e-05,102,200.0,504,77,77,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",-0.0005724933649767533
20,15,-7.882749629178115,3.6002599959061854e-06,1.2219567783411378e-05,146,226.0,570,88,88,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.010741325420150674
21,15,-7.882749629178115,3.6002599959061854e-06,1.2219567783411378e-05,146,226.0,570,88,88,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",0.0030565270126499105
22,16,-7.882753156668945,3.5274908292137752e-06,8.692076954197603e-06,108,252.0,636,99,99,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.011975742330328184
23,16,-7.882753156668945,3.5274908292137752e-06,8.692076954197603e-06,108,252.0,636,99,99,"d_q_exc_[0, 5]_[7, 6]","[[0, 5], [7, 6]]",-0.00684109635027827
24,17,-7.882756633281413,3.4766124681340216e-06,5.215464486063581e-06,111,278.0,702,110,110,"d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.011976376834635235
25,17,-7.882756633281413,3.4766124681340216e-06,5.215464486063581e-06,111,278.0,702,110,110,"d_q_exc_[0, 5]_[9, 8]","[[0, 5], [9, 8]]",-0.006841043306116911
26,18,-7.8827577615394615,1.1282580487659288e-06,4.0872064372976524e-06,106,304.0,768,121,121,"d_q_exc_[0, 11]_[3, 2]","[[0, 11], [3, 2]]",-0.028325014971171715
27,18,-7.8827577615394615,1.1282580487659288e-06,4.0872064372976524e-06,106,304.0,768,121,121,"d_q_exc_[1, 10]_[2, 3]","[[1, 10], [2, 3]]",-0.023558065729517734
28,19,-7.882758562125059,8.005855978154841e-07,3.2866208394821683e-06,70,310.0,782,124,125,s_q_exc_1_11,"[1, 11]",-0.003194743944300808
29,19,-7.882758562125059,8.005855978154841e-07,3.2866208394821683e-06,70,310.0,782,124,125,s_q_exc_0_10,"[0, 10]",-0.002618696624897921
30,20,-7.882759114909313,5.527842539265748e-07,2.7338365855555935e-06,85,316.0,796,127,129,s_q_exc_1_5,"[1, 5]",0.001096261177958666
31,20,-7.882759114909313,5.527842539265748e-07,2.7338365855555935e-06,85,316.0,796,127,129,s_q_exc_0_4,"[0, 4]",-0.0012977768432424984
32,21,-7.882759570150271,4.552409578195693e-07,2.278595627736024e-06,109,342.0,862,138,140,"d_q_exc_[0, 11]_[7, 6]","[[0, 11], [7, 6]]",0.004242685395029508
33,21,-7.882759570150271,4.552409578195693e-07,2.278595627736024e-06,109,342.0,862,138,140,"d_q_exc_[1, 10]_[6, 7]","[[1, 10], [6, 7]]",-0.0008281146618629924
34,22,-7.8827600704541485,5.003038774376023e-07,1.778291750298422e-06,172,368.0,928,149,151,"d_q_exc_[0, 11]_[9, 8]","[[0, 11], [9, 8]]",0.004242813168221732
35,22,-7.8827600704541485,5.003038774376023e-07,1.778291750298422e-06,172,368.0,928,149,151,"d_q_exc_[1, 10]_[8, 9]","[[1, 10], [8, 9]]",-0.0008282199977849926
36,23,-7.88276066005989,5.896057411192146e-07,1.1886860091792073e-06,115,394.0,994,160,162,"d_q_exc_[1, 10]_[5, 4]","[[1, 10], [5, 4]]",-0.006741516778427073
37,23,-7.88276066005989,5.896057411192146e-07,1.1886860091792073e-06,115,394.0,994,160,162,"d_q_exc_[0, 11]_[4, 5]","[[0, 11], [4, 5]]",0.01565355665853722
38,24,-7.882761283942551,6.238826610882597e-07,5.648033480909476e-07,100,420.0,1060,171,173,"d_q_exc_[0, 5]_[2, 11]","[[0, 5], [2, 11]]",0.005007848158024488
39,24,-7.882761283942551,6.238826610882597e-07,5.648033480909476e-07,100,420.0,1060,171,173,"d_q_exc_[1, 4]_[3, 10]","[[1, 4], [3, 10]]",0.004954752708671995
40,25,-7.882761535122423,2.511798724569303e-07,3.1362347563401727e-07,99,446.0,1126,182,184,"d_q_exc_[0, 11]_[5, 2]","[[0, 11], [5, 2]]",-0.012617213405214179
41,25,-7.882761535122423,2.511798724569303e-07,3.1362347563401727e-07,99,446.0,1126,182,184,"d_q_exc_[1, 10]_[4, 3]","[[1, 10], [4, 3]]",0.047750300138360326
42,26,-7.882761626790863,9.166843994989904e-08,2.2195503568411823e-07,108,459.0,1159,193,195,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.0018357243253300255
43,27,-7.882761696359853,6.956898968013547e-08,1.5238604600398276e-07,121,485.0,1225,210,216,"d_q_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",0.0008850829659948149
44,27,-7.882761696359853,6.956898968013547e-08,1.5238604600398276e-07,121,485.0,1225,210,216,"d_q_exc_[1, 0]_[2, 5]","[[1, 0], [2, 5]]",2.7012226947532884e-05
45,28,-7.8827617452723935,4.891254068439821e-08,1.0347350531958455e-07,156,511.0,1291,221,227,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",0.010024168415011714
46,28,-7.8827617452723935,4.891254068439821e-08,1.0347350531958455e-07,156,511.0,1291,221,227,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.003989467816304122
47,29,-7.882761787773125,4.250073182276992e-08,6.097277349681463e-08,137,537.0,1357,238,248,"d_q_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",0.0013481033849814248
48,29,-7.882761787773125,4.250073182276992e-08,6.097277349681463e-08,137,537.0,1357,238,248,"d_q_exc_[1, 0]_[3, 10]","[[1, 0], [3, 10]]",-0.00011427783922498045
49,30,-7.882761812432459,2.4659334130205934e-08,3.631343936660869e-08,140,563.0,1423,249,259,"d_q_exc_[1, 2]_[3, 4]","[[1, 2], [3, 4]]",0.021404338443292467
50,30,-7.882761812432459,2.4659334130205934e-08,3.631343936660869e-08,140,563.0,1423,249,259,"d_q_exc_[0, 3]_[2, 5]","[[0, 3], [2, 5]]",-0.006838105462479694
51,31,-7.882761824157542,1.1725082238456253e-08,2.4588357128152438e-08,243,589.0,1489,260,270,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.003713539823342486
52,31,-7.882761824157542,1.1725082238456253e-08,2.4588357128152438e-08,243,589.0,1489,260,270,"d_q_exc_[0, 3]_[5, 4]","[[0, 3], [5, 4]]",-0.0006502427154376956
53,32,-7.882761841512762,1.7355220371939595e-08,7.2331367562128435e-09,320,615.0,1555,277,291,"d_q_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",0.0001847229972462857
54,32,-7.882761841512762,1.7355220371939595e-08,7.2331367562128435e-09,320,615.0,1555,277,291,"d_q_exc_[1, 0]_[4, 11]","[[1, 0], [4, 11]]",-0.00015264922986851618
55,33,-7.882761847155782,5.643020273282673e-09,1.5901164829301706e-09,158,641.0,1621,288,302,"d_q_exc_[0, 11]_[10, 5]","[[0, 11], [10, 5]]",-0.024913799934607538
56,33,-7.882761847155782,5.643020273282673e-09,1.5901164829301706e-09,158,641.0,1621,288,302,"d_q_exc_[1, 10]_[11, 4]","[[1, 10], [11, 4]]",-0.009282123584198252
57,34,-7.882761848670042,1.514259828638842e-09,7.58566542913286e-11,162,654.0,1654,288,302,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.003780022105914296
58,35,-7.8827618486825655,1.2523315717771766e-11,6.333333857355683e-11,89,680.0,1720,299,313,"d_q_exc_[0, 4]_[2, 10]","[[0, 4], [2, 10]]",5.575186197524728e-05
59,35,-7.8827618486825655,1.2523315717771766e-11,6.333333857355683e-11,89,680.0,1720,299,313,"d_q_exc_[1, 5]_[3, 11]","[[1, 5], [3, 11]]",-5.244860824254818e-05
60,36,-7.882761848682809,2.433608869978343e-13,6.3089977686559e-11,28,693.0,1753,299,313,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",6.540440608887176e-07
